actor_id,label,sample_size,method,metric,count,mean,std,ci_low,ci_high
0,exact_advantage,128,analytic,direction_error,3,0.0016152595589430461,0.0013499447119230171,0.000518217615942596,0.0031228034481685283
0,exact_advantage,128,analytic,score,3,0.05838474044105696,0.0013499447119230176,0.05687719655183147,0.05948178238405741
0,exact_advantage,128,sampled,direction_error,3,0.0016152595589430461,0.0013499447119230171,0.000518217615942596,0.0031228034481685283
0,exact_advantage,128,sampled,score,3,0.05838474044105696,0.0013499447119230176,0.05687719655183147,0.05948178238405741
0,return,128,analytic,direction_error,3,0.0016152595589430461,0.0013499447119230171,0.000518217615942596,0.0031228034481685283
0,return,128,analytic,score,3,0.05838474044105696,0.0013499447119230176,0.05687719655183147,0.05948178238405741
0,return,128,sampled,direction_error,3,0.0016152595589430461,0.0013499447119230171,0.000518217615942596,0.0031228034481685283
0,return,128,sampled,score,3,0.05838474044105696,0.0013499447119230176,0.05687719655183147,0.05948178238405741
0,exact_advantage,512,analytic,direction_error,3,0.0005038073947205246,0.0006454898479645665,5.6531178624966135e-05,0.0012437933832827382
0,exact_advantage,512,analytic,score,3,0.059496192605279476,0.0006454898479645669,0.058756206616717266,0.059943468821375044
0,exact_advantage,512,sampled,direction_error,3,0.0005038073947205246,0.0006454898479645665,5.6531178624966135e-05,0.0012437933832827382
0,exact_advantage,512,sampled,score,3,0.059496192605279476,0.0006454898479645669,0.058756206616717266,0.059943468821375044
0,return,512,analytic,direction_error,3,0.0005038073947205246,0.0006454898479645665,5.6531178624966135e-05,0.0012437933832827382
0,return,512,analytic,score,3,0.059496192605279476,0.0006454898479645669,0.058756206616717266,0.059943468821375044
0,return,512,sampled,direction_error,3,0.0005038073947205246,0.0006454898479645665,5.6531178624966135e-05,0.0012437933832827382
0,return,512,sampled,score,3,0.059496192605279476,0.0006454898479645669,0.058756206616717266,0.059943468821375044
0,exact_advantage,2048,analytic,direction_error,3,0.00015494510034098146,0.00014908256049262015,6.74862659561265e-05,0.0003270833336601361
0,exact_advantage,2048,analytic,score,3,0.05984505489965902,0.00014908256049261899,0.05967291666633987,0.05993251373404388
0,exact_advantage,2048,sampled,direction_error,3,0.00015494510034098146,0.00014908256049262015,6.74862659561265e-05,0.0003270833336601361
0,exact_advantage,2048,sampled,score,3,0.05984505489965902,0.00014908256049261899,0.05967291666633987,0.05993251373404388
0,return,2048,analytic,direction_error,3,0.00015494510034098146,0.00014908256049262015,6.74862659561265e-05,0.0003270833336601361
0,return,2048,analytic,score,3,0.05984505489965902,0.00014908256049261899,0.05967291666633987,0.05993251373404388
0,return,2048,sampled,direction_error,3,0.00015494510034098146,0.00014908256049262015,6.74862659561265e-05,0.0003270833336601361
0,return,2048,sampled,score,3,0.05984505489965902,0.00014908256049261899,0.05967291666633987,0.05993251373404388
1,exact_advantage,128,analytic,direction_error,3,0.002457251712555336,0.0014600801321230526,0.0011150681749687395,0.004011939263250131
1,exact_advantage,128,analytic,score,3,0.19819042828744468,0.0014600801321230596,0.19663574073674986,0.19953261182503126
1,exact_advantage,128,sampled,direction_error,3,0.001994698577384511,0.003127066071589576,0.00010613766426437246,0.005604226766175636
1,exact_advantage,128,sampled,score,3,0.19865298142261548,0.0031270660715895814,0.19504345323382435,0.20054154233573562
1,return,128,analytic,direction_error,3,0.0024088690542831584,0.0036455303540194276,5.061021985110336e-06,0.006603459450588237
1,return,128,analytic,score,3,0.19823881094571685,0.003645530354019428,0.19404422054941176,0.2006426189780149
1,return,128,sampled,direction_error,3,0.004158525845738395,0.004267902147023263,0.0004707699008880014,0.008833539774803827
1,return,128,sampled,score,3,0.1964891541542616,0.004267902147023262,0.19181414022519616,0.20017691009911198
1,exact_advantage,512,analytic,direction_error,3,0.00024205549757150562,0.0002270583664010101,5.8468307739904675e-05,0.0004959518671396764
1,exact_advantage,512,analytic,score,3,0.2004056245024285,0.000227058366401022,0.2001517281328603,0.2005892116922601
1,exact_advantage,512,sampled,direction_error,3,0.00019441190068042113,0.00012698218220141025,5.812991327301613e-05,0.00030940254249217327
1,exact_advantage,512,sampled,score,3,0.2004532680993196,0.0001269821822014182,0.20033827745750785,0.200589550086727
1,return,512,analytic,direction_error,3,0.00029010595245117373,0.0002019565651631277,6.0175834784138386e-05,0.0004387690817740551
1,return,512,analytic,score,3,0.2003575740475488,0.00020195656516314064,0.20020891091822593,0.20058750416521587
1,return,512,sampled,direction_error,3,0.0008166445666794512,0.0005715620636039805,0.00015703998416584996,0.0011657998576141803
1,return,512,sampled,score,3,0.19983103543332056,0.000571562063603972,0.1994818801423858,0.20049064001583414
1,exact_advantage,2048,analytic,direction_error,3,8.847489301014414e-05,0.0001281015033975155,9.77741000556781e-06,0.00023629033354610803
1,exact_advantage,2048,analytic,score,3,0.20055920510698985,0.0001281015033975157,0.2004113896664539,0.2006379025899944
1,exact_advantage,2048,sampled,direction_error,3,0.00011328821961323258,9.760442015585299e-05,3.669634234507419e-05,0.00022318643535052134
1,exact_advantage,2048,sampled,score,3,0.20053439178038676,9.760442015585196e-05,0.20042449356464945,0.20061098365765492
1,return,2048,analytic,direction_error,3,0.0001636274420359868,9.074707095658126e-05,6.04492883729741e-05,0.00023105104892738438
1,return,2048,analytic,score,3,0.200484052557964,9.07470709565696e-05,0.20041662895107262,0.200587230711627
1,return,2048,sampled,direction_error,3,0.0003501047495353766,0.0002915649827626387,0.00012124849968590707,0.0006783756948960701
1,return,2048,sampled,score,3,0.20029757525046463,0.000291564982762643,0.19996930430510393,0.2005264315003141
