experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,actor_class,fit_steps,direction_method,variant,source_n,target_n
P-E,AN,mc_raw,32,False,source_steps_validation,500.0,0.0,4,500.0,500.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,direction_error,0.08095464173973596,0.11569003476202969,4,0.008430369573646257,0.1921192910079892,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,direction_norm,0.20592061950699556,0.17534715757703917,4,0.08068401946453338,0.379343182143053,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,exact_score,-0.014426641739736033,0.11569003476202969,4,-0.12559129100798927,0.05809763042635366,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,validation_score,0.01343116055782461,0.13743752403540765,4,-0.12406344162352467,0.08576790019114239,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,validation_score_variance,1.6736299449761125,1.7206559403524533,4,0.452866760226181,3.2331246045465116,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,validation_gradient_trace_variance,4.557613599913006,1.1425436286213677,4,3.5713971145875725,5.576938223709817,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,fixed_oracle_q_score_variance,0.39907588766819546,0.10578955858975589,4,0.3130937773363355,0.4850579980000554,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,fixed_oracle_q_gradient_trace_variance,4.51975504057639,1.0701875929570204,4,3.6013271670019886,5.498471820007233,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,curvature_min,0.84,0.0,4,0.84,0.84,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,curvature_max,0.8400000000000001,0.0,4,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,optimization_seconds,0.005578750045970082,0.00045364059024466163,4,0.005233600037172437,0.005955150118097663,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,direction_loss,-0.2044538755498266,0.165875547901608,4,-0.36866578482378276,-0.08307241643948973,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,direction_steps,100.0,0.0,4,100.0,100.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,q_bound,5.0,0.0,4,5.0,5.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,q_coefficient_0,0.3429248753262976,0.3870816924231439,4,0.037380005334798204,0.648469745317797,training_seed_or_data_batch,True,,,,,,
P-E,AN,mc_raw,32,False,q_coefficient_1,0.489603303555179,0.14397606830555051,4,0.37147988505809537,0.6057682380048856,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,source_steps_total,532.0,0.0,4,532.0,532.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,source_steps_training,32.0,0.0,4,32.0,32.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,source_steps_validation,500.0,0.0,4,500.0,500.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,direction_error,0.07561117120700889,0.09716949713459559,4,0.012561777022619998,0.17233599184829096,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,direction_norm,0.21083685449681092,0.15908067031269435,4,0.09362271510001718,0.3635979927551197,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,exact_score,-0.009083171207008967,0.09716949713459559,4,-0.10580799184829101,0.05396622297737992,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,validation_score,0.02177060094400466,0.1162329296165721,4,-0.09400492947088845,0.0858113963741815,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,validation_score_variance,1.6494668311499798,1.5784955187897716,4,0.5672977047711452,3.140187804331549,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,validation_gradient_trace_variance,4.922672171320947,1.2101391388261715,4,3.898118506966892,5.947225835675003,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,fixed_oracle_q_score_variance,0.42138163732958855,0.11334724820190098,4,0.32915639045830414,0.513606884200873,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,fixed_oracle_q_gradient_trace_variance,4.823527618179595,1.1648549104926136,4,3.821662714897775,5.8596742932417065,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,curvature_min,0.36,0.0,4,0.36,0.36,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,curvature_max,1.9599999999999997,0.0,4,1.9599999999999997,1.9599999999999997,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,optimization_seconds,0.005478200037032366,0.00038720809595811683,4,0.005167399998754263,0.005789000075310469,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,direction_loss,-0.20759030503018286,0.15844751740111365,4,-0.36424867095467206,-0.08812811668854223,training_seed_or_data_batch,True,,,,,,
