condition,metric,planned_runs,failed_or_interrupted,statistics_scope,count,mean,std,ci_low,ci_high
no_direction_check,decline_fraction,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
no_direction_check,candidate_count,10,0,completed_runs_only,10,93.6,0.9660917830792959,93.0,94.2
no_direction_check,mean_fit_kl,10,0,completed_runs_only,10,0.00018529825349770324,1.7962892382930804e-05,0.00017458829679745498,0.00019560835332259796
no_direction_check,optimizer_updates,10,0,completed_runs_only,10,82636.8,647.6344648024841,82227.2,82995.2
no_direction_check,reached_1_95,10,0,completed_runs_only,10,1.0,0.0,1.0,1.0
no_direction_check,episodes_to_1_95,10,0,completed_threshold_reachers_only,10,50790.4,4268.714175382455,48742.4,53555.2
no_direction_check,reached_1_96,10,0,completed_runs_only,10,1.0,0.0,1.0,1.0
no_direction_check,episodes_to_1_96,10,0,completed_threshold_reachers_only,10,53964.8,3863.2540342738703,51814.4,56320.0
no_direction_check,direction_check_rejections,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
no_direction_check,return_check_false_rejections,10,0,completed_runs_only,10,2.7,1.8287822299126937,1.8,3.9
no_direction_check,direction_check_episodes,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
no_direction_check,return_old_episodes,10,0,completed_runs_only,10,95846.4,989.277985873199,95232.0,96460.8
no_direction_check,return_candidate_episodes,10,0,completed_runs_only,10,95846.4,989.277985873199,95232.0,96460.8
no_return_check,final_return,10,0,completed_runs_only,10,1.9626655999664593,6.976604934642369e-13,1.9626655999660343,1.9626655999668443
no_return_check,budget_normalized_auc,10,0,completed_runs_only,10,1.882223356038248,0.00079188887789591,1.8817390356279078,1.882666298392049
no_return_check,seconds,10,0,completed_runs_only,10,332.3507211200893,1.8432366249650622,331.2213101875817,333.38851451012306
no_return_check,source_episodes,10,0,completed_runs_only,10,262144.0,0.0,262144.0,262144.0
no_return_check,decline_fraction,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
no_return_check,candidate_count,10,0,completed_runs_only,10,128.0,0.0,128.0,128.0
no_return_check,mean_fit_kl,10,0,completed_runs_only,10,0.0003325389139792513,3.3920915034729403e-06,0.0003304956056552594,0.0003344774789013271
no_return_check,optimizer_updates,10,0,completed_runs_only,10,131072.0,0.0,131072.0,131072.0
no_return_check,reached_1_95,10,0,completed_runs_only,10,1.0,0.0,1.0,1.0
no_return_check,episodes_to_1_95,10,0,completed_threshold_reachers_only,10,32768.0,0.0,32768.0,32768.0
no_return_check,reached_1_96,10,0,completed_runs_only,10,1.0,0.0,1.0,1.0
no_return_check,episodes_to_1_96,10,0,completed_threshold_reachers_only,10,33996.8,1057.5826524043719,33382.4,34611.2
no_return_check,direction_check_rejections,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
no_return_check,return_check_false_rejections,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
no_return_check,direction_check_episodes,10,0,completed_runs_only,10,131072.0,0.0,131072.0,131072.0
no_return_check,return_old_episodes,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
no_return_check,return_candidate_episodes,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
fit_quarter,final_return,10,0,completed_runs_only,10,1.9626655992905953,1.2795350217095807e-10,1.9626655992120927,1.9626655993615123
fit_quarter,budget_normalized_auc,10,0,completed_runs_only,10,1.8018659446636012,0.0028021417115924384,1.8002333064618365,1.8035287249268812
fit_quarter,seconds,10,0,completed_runs_only,10,114.53385684997775,3.9134432643722916,112.32368402939406,116.85953171001748
fit_quarter,source_episodes,10,0,completed_runs_only,10,260710.4,989.2779858731989,260096.0,261324.8
