condition,seed,status,run_dir,seconds,source_episodes,budget,unused_budget,rounds,stop_reason,initial_return,final_return,budget_normalized_auc,accepted_updates,declining_updates,decline_fraction,total_decline,candidate_count,return_check_rejections,mean_fit_kl,reached_1_95,episodes_to_1_95,reached_1_96,episodes_to_1_96,return_check_false_rejections,direction_check_rejections,direction_train_episodes,pg_train_episodes,critic_episodes,direction_check_episodes,return_old_episodes,return_candidate_episodes,optimizer_updates
sampled,107,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\sampled\seed_107,165.7749113002792,260096,262144,2048,55,source_budget,0.38376000000000043,1.962665599872745,1.8044165545952267,51,0,0.0,-0.0,72,21,0.00018994161029675316,True,61440,True,65536,2,0,56320,0,0,56320,73728,73728,65024
sampled,108,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\sampled\seed_108,162.11214990029112,262144,262144,0,55,source_budget,0.38376000000000016,1.9626655998565807,1.8053903569889043,46,0,0.0,-0.0,73,27,0.0001803725027519793,True,71680,True,75776,2,0,56320,0,0,56320,74752,74752,65536
sampled,109,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\sampled\seed_109,158.69710730016232,260096,262144,2048,53,source_budget,0.3837599999999999,1.9626655998176454,1.804198821759447,41,0,0.0,-0.0,74,33,0.00016777762962105584,True,61440,True,65536,5,0,54272,0,0,54272,75776,75776,65024
pg,100,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\pg\seed_100,66.88943229988217,262144,262144,0,256,source_budget,0.3837600000000004,1.9613307556400768,1.8674155071089062,256,0,0.0,-0.0,0,0,,True,57344,True,163840,0,0,0,262144,0,0,0,0,256
pg,101,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\pg\seed_101,66.55668219970539,262144,262144,0,256,source_budget,0.3837599999999998,1.9613420462967923,1.8703158337456425,256,0,0.0,-0.0,0,0,,True,56320,True,162816,0,0,0,262144,0,0,0,0,256
pg,102,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\pg\seed_102,66.28151180036366,262144,262144,0,256,source_budget,0.3837600000000004,1.9613529903071958,1.8688073169785469,256,0,0.0,-0.0,0,0,,True,57344,True,162816,0,0,0,262144,0,0,0,0,256
pg,103,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\pg\seed_103,66.55099999997765,262144,262144,0,256,source_budget,0.38375999999999993,1.961364345145383,1.8709641461287723,256,0,0.0,-0.0,0,0,,True,56320,True,160768,0,0,0,262144,0,0,0,0,256
pg,104,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\pg\seed_104,66.25916090002283,262144,262144,0,256,source_budget,0.3837599999999998,1.961407729388349,1.872384586543011,256,0,0.0,-0.0,0,0,,True,55296,True,156672,0,0,0,262144,0,0,0,0,256
pg,105,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\pg\seed_105,67.07271940028295,262144,262144,0,256,source_budget,0.38375999999999993,1.961307531488408,1.8684699432442948,256,0,0.0,-0.0,0,0,,True,57344,True,165888,0,0,0,262144,0,0,0,0,256
pg,106,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\pg\seed_106,66.75280799996108,262144,262144,0,256,source_budget,0.38376000000000016,1.9614252506286034,1.8722043434282623,256,0,0.0,-0.0,0,0,,True,55296,True,156672,0,0,0,262144,0,0,0,0,256
