condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
pg,109,222822,222208,217,1.9611819648316733
pg,109,235929,235520,230,1.9613077379141415
pg,109,249036,248832,243,1.9614184161455193
pg,109,262144,262144,256,1.9615158963447277
no_direction_check,100,0,0,0,0.3837600000000004
no_direction_check,100,13107,12288,4,0.9136938134967254
no_direction_check,100,26214,24576,8,1.4751500216340452
no_direction_check,100,39321,36864,12,1.8226236757587606
no_direction_check,100,52428,52224,17,1.9626542289943276
no_direction_check,100,65536,63488,20,1.9626655969676523
no_direction_check,100,78643,74752,23,1.962665598873355
no_direction_check,100,91750,89088,27,1.9626655994665991
no_direction_check,100,104857,104448,30,1.9626655995673308
no_direction_check,100,117964,117760,33,1.962665599651735
no_direction_check,100,131072,126976,36,1.962665599726862
no_direction_check,100,144179,142336,39,1.9626655997471238
no_direction_check,100,157286,153600,42,1.9626655997772484
no_direction_check,100,170393,169984,46,1.9626655998069165
no_direction_check,100,183500,183296,49,1.9626655998217573
no_direction_check,100,196608,196608,52,1.9626655998338245
no_direction_check,100,209715,206848,54,1.9626655998375446
no_direction_check,100,222822,218112,57,1.9626655998542417
no_direction_check,100,235929,234496,61,1.962665599865142
no_direction_check,100,249036,248832,65,1.9626655998794482
no_direction_check,100,262144,262144,68,1.9626655998873694
no_direction_check,101,0,0,0,0.3837599999999998
no_direction_check,101,13107,12288,4,0.9200286186960029
no_direction_check,101,26214,24576,8,1.4882344345807255
no_direction_check,101,39321,36864,12,1.8253190574303828
no_direction_check,101,52428,49152,16,1.9590382132082358
no_direction_check,101,65536,63488,20,1.9626655982966583
no_direction_check,101,78643,77824,24,1.9626655993458622
no_direction_check,101,91750,91136,27,1.962665599446377
no_direction_check,101,104857,104448,30,1.962665599515173
no_direction_check,101,117964,116736,34,1.9626655996771327
no_direction_check,101,131072,129024,38,1.9626655997584588
no_direction_check,101,144179,142336,41,1.9626655997789926
no_direction_check,101,157286,154624,45,1.9626655998186762
no_direction_check,101,170393,167936,48,1.9626655998315516
no_direction_check,101,183500,181248,51,1.9626655998387537
no_direction_check,101,196608,196608,54,1.9626655998454483
no_direction_check,101,209715,207872,57,1.9626655998595026
no_direction_check,101,222822,221184,60,1.9626655998698401
no_direction_check,101,235929,234496,63,1.9626655998764857
no_direction_check,101,249036,244736,65,1.9626655998764857
no_direction_check,101,262144,261120,69,1.9626655998858593
no_direction_check,102,0,0,0,0.3837600000000004
no_direction_check,102,13107,12288,4,0.9115658372360081
no_direction_check,102,26214,24576,8,1.482897971206965
no_direction_check,102,39321,36864,12,1.8296225012222824
no_direction_check,102,52428,52224,17,1.962660422192792
no_direction_check,102,65536,62464,19,1.9626655869308953
no_direction_check,102,78643,75776,22,1.9626655978249679
no_direction_check,102,91750,89088,25,1.962665598838063
no_direction_check,102,104857,102400,28,1.9626655992939623
no_direction_check,102,117964,117760,31,1.96266559935803
no_direction_check,102,131072,130048,35,1.9626655996253577
no_direction_check,102,144179,141312,38,1.96266559969939
no_direction_check,102,157286,154624,41,1.962665599723961
no_direction_check,102,170393,165888,44,1.9626655997683693
no_direction_check,102,183500,182272,48,1.9626655998025782
no_direction_check,102,196608,192512,50,1.9626655998078704
no_direction_check,102,209715,205824,53,1.9626655998268627
no_direction_check,102,222822,222208,57,1.9626655998496714
no_direction_check,102,235929,235520,60,1.9626655998586533
no_direction_check,102,249036,248832,63,1.9626655998666025
no_direction_check,102,262144,260096,66,1.9626655998781035
no_direction_check,103,0,0,0,0.38375999999999993
no_direction_check,103,13107,12288,4,0.9376687720883657
no_direction_check,103,26214,24576,8,1.5240438313352629
no_direction_check,103,39321,36864,12,1.851211554813936
no_direction_check,103,52428,49152,16,1.9626456485851642
no_direction_check,103,65536,65536,20,1.9626655981149252
no_direction_check,103,78643,76800,23,1.962665599028275
no_direction_check,103,91750,90112,26,1.9626655993651156
no_direction_check,103,104857,100352,28,1.9626655994162732
no_direction_check,103,117964,115712,31,1.9626655994566053
no_direction_check,103,131072,130048,35,1.962665599613726
no_direction_check,103,144179,143360,38,1.962665599678276
no_direction_check,103,157286,156672,41,1.9626655997144318
no_direction_check,103,170393,167936,44,1.9626655997512426
no_direction_check,103,183500,181248,47,1.9626655997795568
no_direction_check,103,196608,195584,51,1.962665599811885
no_direction_check,103,209715,206848,54,1.962665599831839
no_direction_check,103,222822,220160,57,1.9626655998384102
no_direction_check,103,235929,233472,60,1.962665599850361
no_direction_check,103,249036,246784,63,1.962665599855714
no_direction_check,103,262144,261120,67,1.9626655998719424
no_direction_check,104,0,0,0,0.3837599999999998
no_direction_check,104,13107,12288,4,0.9542747181387099
no_direction_check,104,26214,24576,8,1.522374260903097
no_direction_check,104,39321,36864,12,1.8443214041627085
no_direction_check,104,52428,48128,15,1.9374031835770391
no_direction_check,104,65536,64512,19,1.962664951655532
no_direction_check,104,78643,76800,23,1.9626655990372741
no_direction_check,104,91750,91136,27,1.9626655995013438
no_direction_check,104,104857,101376,29,1.962665599568009
no_direction_check,104,117964,115712,33,1.9626655996820315
no_direction_check,104,131072,126976,36,1.9626655997289402
no_direction_check,104,144179,141312,40,1.9626655997843288
no_direction_check,104,157286,152576,43,1.9626655998060816
no_direction_check,104,170393,165888,46,1.9626655998194216
no_direction_check,104,183500,182272,50,1.9626655998432645
no_direction_check,104,196608,194560,54,1.9626655998657456
no_direction_check,104,209715,205824,57,1.9626655998772045
no_direction_check,104,222822,220160,61,1.9626655998878304
no_direction_check,104,235929,234496,65,1.9626655998988243
no_direction_check,104,249036,247808,68,1.9626655999031724
no_direction_check,104,262144,261120,71,1.962665599908041
no_direction_check,105,0,0,0,0.38375999999999993
no_direction_check,105,13107,12288,4,0.9315801749312078
no_direction_check,105,26214,24576,8,1.4975286507052556
no_direction_check,105,39321,36864,12,1.8350344779895575
no_direction_check,105,52428,49152,16,1.959278474638488
no_direction_check,105,65536,62464,19,1.962665591862726
no_direction_check,105,78643,75776,22,1.9626655974243017
no_direction_check,105,91750,91136,25,1.9626655980973295
no_direction_check,105,104857,100352,28,1.962665599278393
no_direction_check,105,117964,115712,31,1.9626655994015165
no_direction_check,105,131072,126976,34,1.9626655995699247
no_direction_check,105,144179,143360,38,1.9626655996690137
no_direction_check,105,157286,152576,41,1.9626655997421456
no_direction_check,105,170393,168960,45,1.9626655997749587
no_direction_check,105,183500,182272,48,1.9626655997890623
no_direction_check,105,196608,195584,51,1.962665599805079
no_direction_check,105,209715,206848,54,1.962665599828317
no_direction_check,105,222822,220160,57,1.9626655998364761
no_direction_check,105,235929,233472,60,1.9626655998436033
no_direction_check,105,249036,248832,63,1.9626655998470424
no_direction_check,105,262144,262144,66,1.962665599856303
no_direction_check,106,0,0,0,0.38376000000000016
no_direction_check,106,13107,12288,4,0.9576081142261785
no_direction_check,106,26214,24576,8,1.5142299514597903
no_direction_check,106,39321,38912,12,1.8095305395952923
no_direction_check,106,52428,51200,16,1.9555434206738667
no_direction_check,106,65536,62464,19,1.9626655955973535
no_direction_check,106,78643,75776,22,1.9626655979871153
no_direction_check,106,91750,91136,27,1.9626655994377928
no_direction_check,106,104857,102400,30,1.9626655995905797
no_direction_check,106,117964,115712,33,1.9626655996601823
no_direction_check,106,131072,129024,36,1.9626655997120313
no_direction_check,106,144179,142336,39,1.9626655997420017
no_direction_check,106,157286,155648,42,1.9626655997740068
no_direction_check,106,170393,169984,46,1.9626655998067066
no_direction_check,106,183500,181248,49,1.962665599824184
no_direction_check,106,196608,195584,53,1.9626655998483833
no_direction_check,106,209715,208896,56,1.9626655998569627
no_direction_check,106,222822,220160,59,1.9626655998692657
no_direction_check,106,235929,231424,62,1.962665599877453
no_direction_check,106,249036,244736,65,1.962665599885252
no_direction_check,106,262144,261120,69,1.9626655998932
no_direction_check,107,0,0,0,0.38376000000000043
no_direction_check,107,13107,12288,4,0.9442690060710826
no_direction_check,107,26214,24576,8,1.506512134101727
no_direction_check,107,39321,36864,12,1.8294491748069397
no_direction_check,107,52428,52224,17,1.9626598871719627
no_direction_check,107,65536,63488,20,1.9626655972478815
no_direction_check,107,78643,77824,24,1.962665599255485
no_direction_check,107,91750,89088,27,1.9626655994765316
no_direction_check,107,104857,102400,30,1.9626655995661015
no_direction_check,107,117964,116736,34,1.9626655996812092
no_direction_check,107,131072,130048,37,1.9626655997292533
no_direction_check,107,144179,143360,40,1.9626655997663096
no_direction_check,107,157286,155648,44,1.9626655998121891
no_direction_check,107,170393,166912,47,1.962665599832981
no_direction_check,107,183500,181248,51,1.9626655998561646
no_direction_check,107,196608,194560,54,1.9626655998670124
no_direction_check,107,209715,207872,57,1.9626655998737943
no_direction_check,107,222822,218112,59,1.9626655998761369
no_direction_check,107,235929,233472,62,1.9626655998761369
no_direction_check,107,249036,246784,65,1.9626655998821814
no_direction_check,107,262144,260096,68,1.9626655998859057
no_direction_check,108,0,0,0,0.38376000000000016
no_direction_check,108,13107,12288,4,0.9415413513902277
no_direction_check,108,26214,24576,8,1.5176080830461138
no_direction_check,108,39321,36864,12,1.8399106659126625
no_direction_check,108,52428,52224,17,1.9626644513844225
no_direction_check,108,65536,62464,19,1.9626644513844225
no_direction_check,108,78643,75776,22,1.9626655973187916
no_direction_check,108,91750,90112,26,1.9626655991476916
no_direction_check,108,104857,101376,29,1.962665599431324
no_direction_check,108,117964,116736,32,1.9626655995134297
no_direction_check,108,131072,131072,36,1.9626655996712241
no_direction_check,108,144179,142336,39,1.9626655997215383
no_direction_check,108,157286,156672,43,1.962665599774078
no_direction_check,108,170393,167936,46,1.9626655998044822
no_direction_check,108,183500,179200,49,1.9626655998254046
no_direction_check,108,196608,193536,53,1.9626655998519862
no_direction_check,108,209715,208896,56,1.9626655998551747
no_direction_check,108,222822,220160,59,1.962665599865354
no_direction_check,108,235929,234496,63,1.9626655998792173
no_direction_check,108,249036,244736,65,1.962665599881277
no_direction_check,108,262144,262144,70,1.9626655998933011
no_direction_check,109,0,0,0,0.3837599999999999
no_direction_check,109,13107,12288,4,0.951497122200947
no_direction_check,109,26214,24576,8,1.5073302344073443
no_direction_check,109,39321,36864,12,1.8304624254087918
no_direction_check,109,52428,51200,16,1.942271442560981
no_direction_check,109,65536,65536,20,1.962665597296584
no_direction_check,109,78643,76800,23,1.9626655990162438
no_direction_check,109,91750,90112,26,1.9626655992291129
no_direction_check,109,104857,101376,29,1.9626655994489801
no_direction_check,109,117964,117760,33,1.9626655996011069
no_direction_check,109,131072,131072,36,1.9626655996560172
no_direction_check,109,144179,141312,38,1.9626655996712061
no_direction_check,109,157286,155648,42,1.962665599748044
no_direction_check,109,170393,165888,44,1.9626655997570854
no_direction_check,109,183500,179200,47,1.962665599786012
no_direction_check,109,196608,195584,51,1.9626655998177993
no_direction_check,109,209715,205824,53,1.9626655998177993
no_direction_check,109,222822,221184,56,1.962665599821921
no_direction_check,109,235929,231424,58,1.962665599821921
no_direction_check,109,249036,244736,61,1.9626655998342128
no_direction_check,109,262144,260096,64,1.9626655998378928
no_return_check,100,0,0,0,0.3837600000000004
no_return_check,100,13107,12288,6,1.225815971186464
no_return_check,100,26214,24576,12,1.8409653319516672
no_return_check,100,39321,38912,19,1.9626655978623253
no_return_check,100,52428,51200,25,1.9626655994961055
no_return_check,100,65536,65536,32,1.962665599746926
no_return_check,100,78643,77824,38,1.9626655998213005
no_return_check,100,91750,90112,44,1.9626655998626492
no_return_check,100,104857,104448,51,1.9626655998921019
no_return_check,100,117964,116736,57,1.9626655999082938
no_return_check,100,131072,131072,64,1.962665599922143
no_return_check,100,144179,143360,70,1.9626655999309777
no_return_check,100,157286,155648,76,1.962665599938029
no_return_check,100,170393,169984,83,1.962665599944525
no_return_check,100,183500,182272,89,1.9626655999491895
no_return_check,100,196608,196608,96,1.9626655999536657
no_return_check,100,209715,208896,102,1.9626655999569913
no_return_check,100,222822,221184,108,1.9626655999598384
no_return_check,100,235929,235520,115,1.9626655999626896
no_return_check,100,249036,247808,121,1.9626655999649394
no_return_check,100,262144,262144,128,1.9626655999671634
no_return_check,101,0,0,0,0.3837599999999998
no_return_check,101,13107,12288,6,1.2392869212066047
no_return_check,101,26214,24576,12,1.8362308291594345
no_return_check,101,39321,38912,19,1.962665597617768
no_return_check,101,52428,51200,25,1.9626655994999784
no_return_check,101,65536,65536,32,1.962665599736908
no_return_check,101,78643,77824,38,1.96266559981549
no_return_check,101,91750,90112,44,1.9626655998589828
no_return_check,101,104857,104448,51,1.9626655998894955
no_return_check,101,117964,116736,57,1.9626655999062823
no_return_check,101,131072,131072,64,1.962665599920664
no_return_check,101,144179,143360,70,1.9626655999296068
no_return_check,101,157286,155648,76,1.9626655999365787
no_return_check,101,170393,169984,83,1.9626655999433762
no_return_check,101,183500,182272,89,1.9626655999481564
no_return_check,101,196608,196608,96,1.9626655999528213
no_return_check,101,209715,208896,102,1.9626655999561171
no_return_check,101,222822,221184,108,1.9626655999589566
no_return_check,101,235929,235520,115,1.9626655999618114
no_return_check,101,249036,247808,121,1.962665599963995
no_return_check,101,262144,262144,128,1.9626655999661942
no_return_check,102,0,0,0,0.3837600000000004
no_return_check,102,13107,12288,6,1.2343860137768174
no_return_check,102,26214,24576,12,1.839044356310873
no_return_check,102,39321,38912,19,1.9626655977517584
no_return_check,102,52428,51200,25,1.9626655995036755
no_return_check,102,65536,65536,32,1.9626655997383884
no_return_check,102,78643,77824,38,1.9626655998136835
no_return_check,102,91750,90112,44,1.9626655998561309
no_return_check,102,104857,104448,51,1.9626655998856597
no_return_check,102,117964,116736,57,1.9626655999027458
no_return_check,102,131072,131072,64,1.9626655999176077
no_return_check,102,144179,143360,70,1.9626655999267217
no_return_check,102,157286,155648,76,1.962665599934392
no_return_check,102,170393,169984,83,1.9626655999411695
no_return_check,102,183500,182272,89,1.9626655999461269
no_return_check,102,196608,196608,96,1.9626655999509253
no_return_check,102,209715,208896,102,1.9626655999544005
no_return_check,102,222822,221184,108,1.9626655999574867
no_return_check,102,235929,235520,115,1.9626655999605496
no_return_check,102,249036,247808,121,1.9626655999628133
no_return_check,102,262144,262144,128,1.9626655999651301
no_return_check,103,0,0,0,0.38375999999999993
no_return_check,103,13107,12288,6,1.2422272030038055
no_return_check,103,26214,24576,12,1.8381399876602045
no_return_check,103,39321,38912,19,1.962665598016588
no_return_check,103,52428,51200,25,1.9626655995236297
no_return_check,103,65536,65536,32,1.9626655997547229
no_return_check,103,78643,77824,38,1.9626655998247304
no_return_check,103,91750,90112,44,1.962665599864296
no_return_check,103,104857,104448,51,1.9626655998921212
no_return_check,103,117964,116736,57,1.962665599908476
no_return_check,103,131072,131072,64,1.962665599921958
no_return_check,103,144179,143360,70,1.9626655999307923
no_return_check,103,157286,155648,76,1.9626655999377505
no_return_check,103,170393,169984,83,1.962665599944384
no_return_check,103,183500,182272,89,1.9626655999489517
no_return_check,103,196608,196608,96,1.9626655999535871
no_return_check,103,209715,208896,102,1.9626655999569402
no_return_check,103,222822,221184,108,1.9626655999597953
no_return_check,103,235929,235520,115,1.962665599962712
no_return_check,103,249036,247808,121,1.9626655999647837
no_return_check,103,262144,262144,128,1.9626655999670932
no_return_check,104,0,0,0,0.3837599999999998
no_return_check,104,13107,12288,6,1.251341547274677
no_return_check,104,26214,24576,12,1.8451908157391643
no_return_check,104,39321,38912,19,1.9626655977679672
no_return_check,104,52428,51200,25,1.9626655995245612
no_return_check,104,65536,65536,32,1.9626655997526161
no_return_check,104,78643,77824,38,1.962665599824074
no_return_check,104,91750,90112,44,1.9626655998629026
no_return_check,104,104857,104448,51,1.9626655998914753
no_return_check,104,117964,116736,57,1.9626655999082965
no_return_check,104,131072,131072,64,1.9626655999218157
no_return_check,104,144179,143360,70,1.962665599930746
no_return_check,104,157286,155648,76,1.9626655999379352
no_return_check,104,170393,169984,83,1.9626655999444687
no_return_check,104,183500,182272,89,1.9626655999492568
no_return_check,104,196608,196608,96,1.9626655999537204
no_return_check,104,209715,208896,102,1.9626655999570768
no_return_check,104,222822,221184,108,1.9626655999598723
no_return_check,104,235929,235520,115,1.9626655999628488
no_return_check,104,249036,247808,121,1.9626655999649854
no_return_check,104,262144,262144,128,1.962665599967176
no_return_check,105,0,0,0,0.38375999999999993
no_return_check,105,13107,12288,6,1.2195938388507899
no_return_check,105,26214,24576,12,1.8260352180039376
no_return_check,105,39321,38912,19,1.962665597363264
no_return_check,105,52428,51200,25,1.9626655994934055
no_return_check,105,65536,65536,32,1.962665599738988
no_return_check,105,78643,77824,38,1.962665599818533
no_return_check,105,91750,90112,44,1.962665599859494
no_return_check,105,104857,104448,51,1.9626655998889706
no_return_check,105,117964,116736,57,1.9626655999058404
no_return_check,105,131072,131072,64,1.9626655999200902
no_return_check,105,144179,143360,70,1.962665599929359
no_return_check,105,157286,155648,76,1.9626655999367872
no_return_check,105,170393,169984,83,1.9626655999436
no_return_check,105,183500,182272,89,1.9626655999483569
no_return_check,105,196608,196608,96,1.962665599952854
no_return_check,105,209715,208896,102,1.9626655999561744
no_return_check,105,222822,221184,108,1.962665599959107
no_return_check,105,235929,235520,115,1.9626655999620444
no_return_check,105,249036,247808,121,1.9626655999642326
no_return_check,105,262144,262144,128,1.9626655999664315
no_return_check,106,0,0,0,0.38376000000000016
no_return_check,106,13107,12288,6,1.2406912823051315
no_return_check,106,26214,24576,12,1.8371585598255484
no_return_check,106,39321,38912,19,1.9626655980111924
no_return_check,106,52428,51200,25,1.9626655995410864
no_return_check,106,65536,65536,32,1.9626655997539442
no_return_check,106,78643,77824,38,1.9626655998256404
no_return_check,106,91750,90112,44,1.9626655998639
no_return_check,106,104857,104448,51,1.9626655998921043
no_return_check,106,117964,116736,57,1.9626655999077287
no_return_check,106,131072,131072,64,1.962665599921509
no_return_check,106,144179,143360,70,1.9626655999301739
no_return_check,106,157286,155648,76,1.9626655999372749
no_return_check,106,170393,169984,83,1.9626655999437852
no_return_check,106,183500,182272,89,1.9626655999485014
no_return_check,106,196608,196608,96,1.9626655999530507
no_return_check,106,209715,208896,102,1.9626655999562692
no_return_check,106,222822,221184,108,1.9626655999592353
no_return_check,106,235929,235520,115,1.9626655999620373
no_return_check,106,249036,247808,121,1.9626655999643587
no_return_check,106,262144,262144,128,1.9626655999666218
no_return_check,107,0,0,0,0.38376000000000043
no_return_check,107,13107,12288,6,1.2265464899129166
no_return_check,107,26214,24576,12,1.8333661989007108
no_return_check,107,39321,38912,19,1.9626655977370306
no_return_check,107,52428,51200,25,1.9626655995227003
no_return_check,107,65536,65536,32,1.962665599750664
no_return_check,107,78643,77824,38,1.962665599824147
no_return_check,107,91750,90112,44,1.9626655998630642
no_return_check,107,104857,104448,51,1.9626655998919587
no_return_check,107,117964,116736,57,1.962665599908427
no_return_check,107,131072,131072,64,1.9626655999219298
no_return_check,107,144179,143360,70,1.9626655999307854
no_return_check,107,157286,155648,76,1.9626655999377596
no_return_check,107,170393,169984,83,1.9626655999442972
no_return_check,107,183500,182272,89,1.9626655999489984
no_return_check,107,196608,196608,96,1.9626655999534415
no_return_check,107,209715,208896,102,1.9626655999567195
no_return_check,107,222822,221184,108,1.9626655999596594
no_return_check,107,235929,235520,115,1.9626655999625764
no_return_check,107,249036,247808,121,1.9626655999647507
no_return_check,107,262144,262144,128,1.9626655999670204
no_return_check,108,0,0,0,0.38376000000000016
no_return_check,108,13107,12288,6,1.2409269288630447
no_return_check,108,26214,24576,12,1.8337342552168256
no_return_check,108,39321,38912,19,1.9626655980981618
no_return_check,108,52428,51200,25,1.9626655995222364
no_return_check,108,65536,65536,32,1.9626655997455316
no_return_check,108,78643,77824,38,1.9626655998180216
no_return_check,108,91750,90112,44,1.9626655998589178
no_return_check,108,104857,104448,51,1.9626655998884286
no_return_check,108,117964,116736,57,1.9626655999052578
no_return_check,108,131072,131072,64,1.9626655999195997
no_return_check,108,144179,143360,70,1.9626655999288738
no_return_check,108,157286,155648,76,1.9626655999362317
no_return_check,108,170393,169984,83,1.9626655999429108
no_return_check,108,183500,182272,89,1.9626655999477867
no_return_check,108,196608,196608,96,1.962665599952535
no_return_check,108,209715,208896,102,1.9626655999558131
no_return_check,108,222822,221184,108,1.962665599958768
no_return_check,108,235929,235520,115,1.96266559996165
no_return_check,108,249036,247808,121,1.962665599963845
no_return_check,108,262144,262144,128,1.9626655999661302
no_return_check,109,0,0,0,0.3837599999999999
no_return_check,109,13107,12288,6,1.2383707688787693
no_return_check,109,26214,24576,12,1.8362270893985362
no_return_check,109,39321,38912,19,1.9626655974785492
no_return_check,109,52428,51200,25,1.9626655995021738
no_return_check,109,65536,65536,32,1.9626655997438454
no_return_check,109,78643,77824,38,1.9626655998145999
no_return_check,109,91750,90112,44,1.9626655998558589
no_return_check,109,104857,104448,51,1.962665599886438
no_return_check,109,117964,116736,57,1.9626655999039317
no_return_check,109,131072,131072,64,1.9626655999184093
no_return_check,109,144179,143360,70,1.962665599927523
no_return_check,109,157286,155648,76,1.9626655999348872
no_return_check,109,170393,169984,83,1.9626655999418876
no_return_check,109,183500,182272,89,1.96266559994691
no_return_check,109,196608,196608,96,1.9626655999514067
no_return_check,109,209715,208896,102,1.9626655999549087
no_return_check,109,222822,221184,108,1.9626655999579283
no_return_check,109,235929,235520,115,1.9626655999609561
no_return_check,109,249036,247808,121,1.9626655999632123
no_return_check,109,262144,262144,128,1.9626655999656335
fit_quarter,100,0,0,0,0.3837600000000004
fit_quarter,100,13107,12288,3,0.758094438800209
fit_quarter,100,26214,24576,6,1.235828084649767
fit_quarter,100,39321,36864,9,1.616132363108903
fit_quarter,100,52428,49152,12,1.8365679429941106
fit_quarter,100,65536,61440,15,1.9409667562581971
fit_quarter,100,78643,77824,18,1.9624856172629543
fit_quarter,100,91750,86016,20,1.9626655730736802
fit_quarter,100,104857,104448,23,1.9626655863005744
fit_quarter,100,117964,116736,26,1.962665596269735
fit_quarter,100,131072,126976,28,1.9626655972676135
fit_quarter,100,144179,143360,31,1.9626655980259908
fit_quarter,100,157286,153600,33,1.9626655982311696
fit_quarter,100,170393,169984,36,1.9626655985646007
fit_quarter,100,183500,180224,38,1.962665598744355
fit_quarter,100,196608,192512,40,1.9626655987936514
fit_quarter,100,209715,208896,43,1.9626655989219441
fit_quarter,100,222822,221184,45,1.9626655989625512
fit_quarter,100,235929,235520,48,1.9626655990864124
fit_quarter,100,249036,247808,50,1.9626655991148576
fit_quarter,100,262144,260096,52,1.9626655991422428
fit_quarter,101,0,0,0,0.3837599999999998
fit_quarter,101,13107,12288,3,0.7638584958287364
fit_quarter,101,26214,24576,6,1.2160600467225695
fit_quarter,101,39321,36864,9,1.589350557439872
fit_quarter,101,52428,49152,12,1.8212639117971932
fit_quarter,101,65536,61440,15,1.9364630256470816
fit_quarter,101,78643,77824,18,1.961997396946928
fit_quarter,101,91750,88064,20,1.9626621197946754
fit_quarter,101,104857,104448,23,1.9626655824287482
fit_quarter,101,117964,116736,25,1.9626655919354439
fit_quarter,101,131072,131072,28,1.962665596528199
fit_quarter,101,144179,143360,30,1.9626655969074094
fit_quarter,101,157286,155648,33,1.9626655980309549
fit_quarter,101,170393,167936,35,1.9626655982615013
fit_quarter,101,183500,180224,37,1.9626655983634504
fit_quarter,101,196608,196608,40,1.9626655985814758
fit_quarter,101,209715,208896,42,1.9626655986991852
fit_quarter,101,222822,221184,45,1.9626655989579274
fit_quarter,101,235929,233472,47,1.9626655989579274
fit_quarter,101,249036,243712,49,1.9626655990215474
fit_quarter,101,262144,260096,52,1.9626655990756374
fit_quarter,102,0,0,0,0.3837600000000004
fit_quarter,102,13107,12288,3,0.7876659418436035
fit_quarter,102,26214,24576,6,1.2408508639193767
fit_quarter,102,39321,36864,9,1.6134625834236356
fit_quarter,102,52428,49152,12,1.8333121887325927
fit_quarter,102,65536,61440,15,1.9434805696203032
fit_quarter,102,78643,75776,18,1.962646299218957
fit_quarter,102,91750,88064,20,1.9626653881092921
fit_quarter,102,104857,102400,23,1.9626655934759583
fit_quarter,102,117964,116736,26,1.9626655967394202
fit_quarter,102,131072,131072,29,1.9626655978679362
fit_quarter,102,144179,141312,31,1.9626655981086256
fit_quarter,102,157286,155648,34,1.9626655984693948
fit_quarter,102,170393,169984,37,1.962665598760619
fit_quarter,102,183500,182272,40,1.9626655990021757
fit_quarter,102,196608,194560,42,1.9626655990645125
fit_quarter,102,209715,206848,45,1.9626655992040383
fit_quarter,102,222822,219136,48,1.9626655993093858
fit_quarter,102,235929,235520,51,1.9626655993501159
fit_quarter,102,249036,245760,53,1.962665599374318
fit_quarter,102,262144,260096,56,1.9626655994294664
fit_quarter,103,0,0,0,0.38375999999999993
fit_quarter,103,13107,12288,3,0.771865865846508
fit_quarter,103,26214,24576,6,1.2299903994682588
fit_quarter,103,39321,36864,9,1.6142276114346867
fit_quarter,103,52428,49152,12,1.8423061095521491
fit_quarter,103,65536,61440,15,1.9470343651239546
fit_quarter,103,78643,75776,18,1.9626566208251106
fit_quarter,103,91750,90112,21,1.9626655905963863
fit_quarter,103,104857,100352,23,1.9626655951086627
fit_quarter,103,117964,116736,26,1.962665597046056
fit_quarter,103,131072,126976,28,1.9626655976731002
fit_quarter,103,144179,143360,31,1.9626655981028795
fit_quarter,103,157286,153600,33,1.9626655983033294
fit_quarter,103,170393,167936,36,1.9626655986079533
fit_quarter,103,183500,182272,39,1.9626655988073505
fit_quarter,103,196608,192512,41,1.9626655989231925
fit_quarter,103,209715,206848,44,1.9626655990905437
fit_quarter,103,222822,217088,46,1.962665599136435
fit_quarter,103,235929,233472,49,1.9626655992245579
fit_quarter,103,249036,245760,52,1.9626655993234767
fit_quarter,103,262144,260096,55,1.962665599376919
fit_quarter,104,0,0,0,0.3837599999999998
fit_quarter,104,13107,12288,3,0.7907806664206062
fit_quarter,104,26214,24576,6,1.2388762275690526
fit_quarter,104,39321,36864,9,1.6063540319220224
fit_quarter,104,52428,49152,12,1.8334203245431053
fit_quarter,104,65536,61440,15,1.9427624255345042
fit_quarter,104,78643,77824,18,1.9626639480192025
fit_quarter,104,91750,88064,20,1.9626655848492962
fit_quarter,104,104857,102400,23,1.9626655946674605
fit_quarter,104,117964,112640,25,1.962665595962303
fit_quarter,104,131072,126976,28,1.962665597549654
fit_quarter,104,144179,143360,31,1.9626655978859218
fit_quarter,104,157286,151552,33,1.9626655983494083
fit_quarter,104,170393,167936,36,1.962665598586402
fit_quarter,104,183500,180224,38,1.962665598716613
fit_quarter,104,196608,194560,41,1.9626655989498363
fit_quarter,104,209715,208896,44,1.9626655990726665
fit_quarter,104,222822,217088,46,1.9626655991705408
fit_quarter,104,235929,231424,49,1.962665599255365
fit_quarter,104,249036,245760,52,1.9626655993218007
fit_quarter,104,262144,262144,55,1.9626655993631619
fit_quarter,105,0,0,0,0.38375999999999993
fit_quarter,105,13107,12288,3,0.7667614087778243
fit_quarter,105,26214,24576,6,1.2405520498830938
fit_quarter,105,39321,36864,9,1.621482993299368
fit_quarter,105,52428,49152,12,1.841076494232905
fit_quarter,105,65536,65536,16,1.9622145144024254
fit_quarter,105,78643,75776,18,1.962662939881317
fit_quarter,105,91750,86016,20,1.9626655524282957
fit_quarter,105,104857,102400,23,1.962665591118656
fit_quarter,105,117964,114688,26,1.9626655966875173
fit_quarter,105,131072,131072,29,1.9626655976912428
fit_quarter,105,144179,141312,31,1.9626655979688514
fit_quarter,105,157286,153600,33,1.9626655981037042
fit_quarter,105,170393,169984,36,1.9626655983963819
fit_quarter,105,183500,180224,38,1.9626655985412882
fit_quarter,105,196608,194560,41,1.962665598827258
fit_quarter,105,209715,208896,44,1.9626655990074502
fit_quarter,105,222822,221184,46,1.9626655990074502
fit_quarter,105,235929,231424,48,1.9626655990930693
fit_quarter,105,249036,243712,50,1.962665599119826
fit_quarter,105,262144,260096,53,1.9626655991874589
fit_quarter,106,0,0,0,0.38376000000000016
fit_quarter,106,13107,12288,3,0.8083927188271254
