condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
ours,106,262144,262144,55,1.962665599844817
ours,107,0,0,0,0.38376000000000043
ours,107,13107,12288,3,0.7878139908109546
ours,107,26214,24576,6,1.2481702687388034
ours,107,39321,36864,9,1.615356728691713
ours,107,52428,49152,12,1.8378499073890493
ours,107,65536,63488,15,1.9177057180058474
ours,107,78643,77824,18,1.9626600122633648
ours,107,91750,90112,21,1.9626655984335675
ours,107,104857,100352,23,1.9626655988906243
ours,107,117964,116736,26,1.9626655992382134
ours,107,131072,129024,29,1.9626655995262272
ours,107,144179,143360,32,1.9626655996444846
ours,107,157286,155648,34,1.9626655996751867
ours,107,170393,169984,37,1.962665599723508
ours,107,183500,182272,40,1.9626655997742866
ours,107,196608,194560,43,1.9626655998087885
ours,107,209715,208896,46,1.9626655998317306
ours,107,222822,219136,48,1.9626655998430351
ours,107,235929,235520,51,1.962665599856334
ours,107,249036,247808,53,1.962665599862557
ours,107,262144,260096,55,1.9626655998650784
ours,108,0,0,0,0.38376000000000016
ours,108,13107,12288,3,0.7976339235651142
ours,108,26214,24576,6,1.2664982841545467
ours,108,39321,36864,9,1.640307900946956
ours,108,52428,49152,12,1.8500881565411254
ours,108,65536,61440,15,1.94887685624271
ours,108,78643,75776,18,1.9626655909491437
ours,108,91750,90112,21,1.962665598772088
ours,108,104857,104448,24,1.9626655992569735
ours,108,117964,114688,26,1.96266559939003
ours,108,131072,129024,29,1.9626655995722404
ours,108,144179,143360,32,1.9626655996704174
ours,108,157286,155648,34,1.9626655996704174
ours,108,170393,169984,37,1.9626655997310531
ours,108,183500,180224,39,1.9626655997585123
ours,108,196608,194560,42,1.9626655997946814
ours,108,209715,208896,45,1.962665599815511
ours,108,222822,219136,47,1.962665599824802
ours,108,235929,231424,50,1.9626655998468652
ours,108,249036,243712,52,1.962665599849698
ours,108,262144,262144,55,1.9626655998564573
ours,109,0,0,0,0.3837599999999999
ours,109,13107,12288,3,0.8025349725608332
ours,109,26214,24576,6,1.2466659823706634
ours,109,39321,36864,9,1.6203840475432603
ours,109,52428,49152,12,1.837104619340421
ours,109,65536,65536,16,1.9599548055294693
ours,109,78643,77824,18,1.9626636549724266
ours,109,91750,88064,20,1.9626655973874672
ours,109,104857,100352,22,1.9626655973874672
ours,109,117964,114688,25,1.9626655989590682
ours,109,131072,131072,28,1.9626655993409707
ours,109,144179,141312,30,1.9626655994377975
ours,109,157286,153600,32,1.96266559947763
ours,109,170393,167936,35,1.9626655995948015
ours,109,183500,178176,37,1.9626655996584896
ours,109,196608,194560,40,1.9626655997101654
ours,109,209715,204800,42,1.9626655997319022
ours,109,222822,217088,44,1.9626655997407945
ours,109,235929,233472,47,1.9626655997671774
ours,109,249036,245760,50,1.9626655998043725
ours,109,262144,260096,53,1.962665599824209
sampled,100,0,0,0,0.3837600000000004
sampled,100,13107,12288,3,0.755306212634237
sampled,100,26214,24576,6,1.2415734435577601
sampled,100,39321,36864,9,1.6280045237822351
sampled,100,52428,49152,12,1.8474846691251066
sampled,100,65536,61440,15,1.93864316836703
sampled,100,78643,77824,18,1.9626342447283167
sampled,100,91750,86016,20,1.9626655964116317
sampled,100,104857,104448,23,1.9626655977231806
sampled,100,117964,116736,26,1.9626655992117386
