experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,44,14,9968,3584,3584,0,0,2800,4984,19936,262144,0.7305468750000002,0.7341,0.7329358119098899,0.01887046788036817,0.0002248750340255339,public_state_tabular_independent_mc,0,0.456991733700319,0.5905927000567317,True,accepted_return_check_disabled,0.1,1,2.1008781650494595e-09,-0.048063966996407005,100,5.0,0.22825686838918427,0.09288876326444317,0.015902606853319123,0.0020014652694929835,0.04642511699209323,0.05682099466937557
T-L,AN,mc_learned_baseline,False,44,15,10680,3840,3840,0,0,3000,5340,21360,262144,0.7453125000000002,0.6803999999999999,0.7513895765816855,0.018453764671795603,0.0002276691513731026,public_state_tabular_independent_mc,0,0.44626018895727115,0.6289808000437915,True,accepted_return_check_disabled,0.1,1,2.2314949298601324e-09,-0.04750040455918682,100,5.0,0.21481161843081034,0.09097605506318099,0.0037404475489389855,0.0010025454643837978,0.04717291355914033,0.054195449637806176
T-L,AN,mc_learned_baseline,False,44,16,11392,4096,4096,0,0,3200,5696,22784,262144,0.7059375000000001,0.7805999999999998,0.7734951553723961,0.022105578790710623,0.00036732217681079924,public_state_tabular_independent_mc,0,0.4335314473823207,0.6678083000006154,True,accepted_return_check_disabled,0.1,1,5.596713394904306e-09,-0.07525613596040093,100,5.0,0.26227571934957566,0.1058959699932886,0.022127990312490797,0.005024696574497154,0.07719745224534953,0.04635699178088733
T-L,AN,mc_learned_baseline,False,44,17,12104,4352,4352,0,0,3400,6052,24208,262144,0.7469531250000001,0.81,0.7894514949571926,0.015956339584796475,0.00020124628813110874,public_state_tabular_independent_mc,0,0.4234546321604693,0.7077446000184864,True,accepted_return_check_disabled,0.1,1,2.0833197725637646e-09,-0.04246622179701824,100,5.0,0.1955936525607639,0.08078028945332758,0.005520830726300274,0.0001899383894029433,0.041652774105768044,0.04623565470332507
T-L,AN,mc_learned_baseline,False,44,18,12816,4608,4608,0,0,3600,6408,25632,262144,0.8390625000000002,0.807,0.8002545530109637,0.01080305805377113,0.00010240791570657236,public_state_tabular_independent_mc,0,0.41613530256645814,0.7483142999699339,True,accepted_return_check_disabled,0.1,1,5.183327327345562e-10,-0.020855998237555184,100,5.0,0.12613353246405423,0.050165494131159755,0.01046097860945927,0.004924490558537276,0.02101040527909751,0.037827821603738127
T-L,AN,mc_learned_baseline,False,44,19,13528,4864,4864,0,0,3800,6764,27056,262144,0.8064843750000001,0.7947,0.8122532148029703,0.011998661792006593,0.00013340866205858212,public_state_tabular_independent_mc,0,0.4074837245977503,0.7934735000599176,True,accepted_return_check_disabled,0.1,1,2.186719763877757e-09,-0.027464158544916132,100,5.0,0.13421191526813273,0.05446891112342893,0.008617405287155266,0.002090849271437499,0.027311326488535324,0.038166263669409575
T-L,AN,mc_learned_baseline,False,44,20,14240,5120,5120,0,0,4000,7120,28480,262144,0.8250000000000001,0.7952999999999999,0.8232785048126008,0.011025290009630484,0.00011944208393751437,public_state_tabular_independent_mc,0,0.39955228895287737,0.8326650999952108,True,accepted_return_check_disabled,0.1,1,1.2389445396344706e-09,-0.02455624571547883,100,5.0,0.12643640652471874,0.05208844597584814,0.00678826996017734,0.0016783811919219575,0.024554792738035687,0.03580284639233023
T-L,AN,mc_learned_baseline,False,44,21,14952,5376,5376,0,0,4200,7476,29904,262144,0.7950000000000002,0.8085,0.8350154199029548,0.011736915090354016,0.00014801876241094365,public_state_tabular_independent_mc,0,0.39127208387678675,0.8716582000488415,True,accepted_return_check_disabled,0.1,1,1.455706835399343e-09,-0.03279771377475435,100,5.0,0.15031480446333723,0.06016009481603589,-0.009229833916974739,0.0006049925205143105,0.030639801562173774,0.034194497132971
T-L,AN,mc_learned_baseline,False,44,22,15664,5632,5632,0,0,4400,7832,31328,262144,0.8554687500000002,0.8778,0.8461050171503752,0.011089597247420424,0.0001443636810596276,public_state_tabular_independent_mc,0,0.3828002643890484,0.9146827000658959,True,accepted_return_check_disabled,0.1,1,8.020427018659483e-10,-0.02972470935173199,100,5.0,0.1221745393069102,0.04944487138163056,0.0012767413197763977,0.00035133046063994563,0.0297814328732211,0.03140258071240895
T-L,AN,mc_learned_baseline,False,44,23,16376,5888,5888,0,0,4600,8188,32752,262144,0.8160937500000002,0.8835,0.8583565296115154,0.012251512461140202,0.00019907454905600187,public_state_tabular_independent_mc,0,0.37352839420026307,0.9534366000443697,True,accepted_return_check_disabled,0.1,1,2.7413977103943207e-09,-0.0418211808162863,100,5.0,0.14497785680998798,0.05967362729186952,-0.0016159248502993773,0.001785176168219732,0.04169432904112577,0.027129107048610768
T-L,AN,mc_learned_baseline,False,44,24,17088,6144,6144,0,0,4800,8544,34176,262144,0.8639062500000001,0.8304,0.8658449095642943,0.007488379952778845,8.38968356695821e-05,public_state_tabular_independent_mc,0,0.3668504250686429,0.9897475000470877,True,accepted_return_check_disabled,0.1,1,4.421955876992201e-10,-0.01698467909811578,100,5.0,0.08072250304679127,0.03127756747121214,0.01384616312063136,0.001898822650609911,0.017113777246355648,0.02367592034146518
T-L,AN,mc_learned_baseline,False,44,25,17800,6400,6400,0,0,5000,8900,35600,262144,0.8873437500000001,0.8630999999999999,0.8727670565905465,0.006922147026252268,8.109253513931259e-05,public_state_tabular_independent_mc,0,0.36106613493466017,1.029419400030747,True,accepted_return_check_disabled,0.1,1,6.721890847274651e-10,-0.016994159413262638,100,5.0,0.07900735074919688,0.031000591942459334,0.003508149233387159,0.0023454422794169025,0.01673453058099319,0.021395714343313117
T-L,AN,mc_learned_baseline,False,44,26,18512,6656,6656,0,0,5200,9256,37024,262144,0.8432812500000001,0.9159,0.8817486183835391,0.008981561792992587,0.00016832254941106823,public_state_tabular_independent_mc,0,0.3533156350945765,1.0770196999656036,True,accepted_return_check_disabled,0.1,1,8.254753722479733e-10,-0.03387920897840114,100,5.0,0.1018080321627852,0.04126360897841376,0.006111270315368289,0.006521931739686431,0.0357521460550528,0.015340742922752122
T-L,AN,mc_learned_baseline,False,44,27,19224,6912,6912,0,0,5400,9612,38448,262144,0.8435156250000002,0.9099,0.8914556928020805,0.00970707441854135,0.00019227648658764896,public_state_tabular_independent_mc,0,0.34472650657006754,1.1271775000495836,True,accepted_return_check_disabled,0.1,1,3.044548513275896e-09,-0.04160847441337412,100,5.0,0.12209715709804242,0.04800145263074948,0.01320678341112902,0.004597574543405817,0.04052689975199939,0.014787996382226325
T-L,AN,mc_learned_baseline,False,44,28,19936,7168,7168,0,0,5600,9968,39872,262144,0.8615625000000001,0.8919,0.898430092166088,0.006974399364007566,0.00011044654647406909,public_state_tabular_independent_mc,0,0.33789909190966194,1.1801194000290707,True,accepted_return_check_disabled,0.1,1,6.582236121071081e-10,-0.02419788049547823,100,5.0,0.08280429713465903,0.0308790869685965,0.021419675453884235,0.0006391951247813818,0.02296252631251696,0.015998384571794512
