condition,seed,scene,reset_seed,action_seed,success,success_steps,episode_steps,restricted_steps,end_reason,J,final_coverage,collision_pairs_total,path_length
ippo,40,145,133604693,724621700,1,52,52,52,success,-28.135606301434525,1.0,6.0,12.804207802507728
ippo,40,146,819877269,318763286,1,43,43,43,success,-21.893632146744313,1.0,2.0,8.00349631794193
ippo,40,147,1907705498,3277461452,1,57,57,57,success,-30.880613958254738,1.0,0.0,11.516541874121161
ippo,40,148,2352993259,3563105290,1,47,47,47,success,-13.275932887638781,1.0,0.0,9.611271461634498
ippo,40,149,1707367458,981616009,1,66,66,66,success,-19.673285357036598,1.0,2.0,12.619631588653625
ippo,40,150,3403071925,842625954,1,18,18,18,success,-7.9206223409184355,1.0,0.0,3.659581113647026
ippo,40,151,1531247122,1618569098,0,,500,500,deadline,-78.61998202719126,0.5,90.0,93.68144200554316
ippo,40,152,1597323254,3504572388,1,34,34,34,success,-11.545620592950634,1.0,0.0,5.984809527639753
ippo,40,153,2743348902,3750456234,1,51,51,51,success,-23.1997633034753,1.0,5.0,13.039142016016369
ippo,40,154,3613991171,3603500413,1,76,76,76,success,-38.464412261023554,1.0,10.0,18.469513603996504
ippo,40,155,3004572485,2750623320,1,21,21,21,success,-10.466252622413563,1.0,0.0,5.544988983489388
ippo,40,156,2936353891,2130121422,1,39,39,39,success,-19.49890395032075,1.0,2.0,8.32302483550842
ippo,40,157,3121995317,178834416,1,50,50,50,success,-20.975533285056283,1.0,12.0,10.686002576278748
ippo,40,158,135459474,3883224642,1,54,54,54,success,-16.182555835424388,1.0,7.0,9.923158713796864
ippo,40,159,734479274,212628557,1,21,21,21,success,-11.589380396692446,1.0,0.0,4.953197838467011
ippo,40,160,2876606289,634015663,1,25,25,25,success,-10.78217445346641,1.0,0.0,4.581451980012795
ippo,40,161,1318727501,1594052201,1,148,148,148,success,-30.987406264067673,1.0,22.0,29.4151306069355
ippo,40,162,1102958350,737333259,1,112,112,112,success,-26.745110205576996,1.0,21.0,21.48520308972445
ippo,40,163,4293085850,1394580074,1,51,51,51,success,-21.12565859750085,1.0,5.0,9.695517309494612
ippo,40,164,301891743,1570578452,1,29,29,29,success,-9.830002680417037,1.0,1.0,5.349716967510294
ippo,40,165,4042230523,2267821805,1,85,85,85,success,-27.893713917642017,1.0,15.0,18.018312927366367
ippo,40,166,2916448039,2068779175,1,122,122,122,success,-20.11170993820548,1.0,9.0,20.50263172101789
ippo,40,167,475938238,1230185635,1,20,20,20,success,-9.67770354246258,1.0,0.0,4.802971333013171
ippo,40,168,86325482,2583711119,1,32,32,32,success,-18.782060083613533,1.0,0.0,6.479597586599812
ippo,40,169,2468676735,1349085776,1,20,20,20,success,-5.820347294243663,1.0,0.0,3.3963151211300366
ippo,40,170,1272250021,3661335694,1,36,36,36,success,-18.99025426156184,1.0,3.0,7.82276016580115
ippo,40,171,2159883676,3698848039,1,27,27,27,success,-7.46996639925568,1.0,0.0,4.833948307304209
ippo,40,172,3080257073,1306309557,1,27,27,27,success,-10.705284128155268,1.0,0.0,4.962779035596913
ippo,40,173,737202711,3975843611,1,85,85,85,success,-22.626539538939895,1.0,4.0,16.22163444804892
ippo,40,174,2036355949,1079738952,1,145,145,145,success,-33.427920600687905,1.0,22.0,27.2178524813203
ippo,40,175,1250427656,2400630472,1,29,29,29,success,-13.547426219944068,1.0,0.0,6.314983639189884
ippo,40,176,280972588,935931904,1,23,23,23,success,-8.63548550936767,1.0,0.0,4.256280877125841
ippo,40,177,1628580413,2618414690,1,40,40,40,success,-10.48926603483366,1.0,0.0,7.175447367992063
ippo,40,178,1858486268,1695893789,1,54,54,54,success,-23.83185818731718,1.0,0.0,10.133721175550678
ippo,40,179,1128729475,921306020,1,15,15,15,success,-6.88255809055824,1.0,0.0,3.314360520058703
