kind,truth_class,true_value,sample_size,seed,mode,evaluation_batch_id,mean,radius,decision_value,alpha,accepted,false_accept,false_reject,evaluation_episodes
direction,-1,-0.18,128,2012,empirical,d8dedb85c53a3b91adeb9464ef7579356817d465f4a6346b9e5f2da065473ed5,-0.18188802083333336,4.231088082359859,-0.18188802083333336,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2012,hoeffding,d8dedb85c53a3b91adeb9464ef7579356817d465f4a6346b9e5f2da065473ed5,-0.18188802083333336,4.231088082359859,-4.412976103193192,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2013,empirical,afa24e86a1146c19d770208d54c78dfe5b7f9deac82abf1d7df9b47e8a2dce09,-0.18746093750000004,4.231088082359859,-0.18746093750000004,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2013,hoeffding,afa24e86a1146c19d770208d54c78dfe5b7f9deac82abf1d7df9b47e8a2dce09,-0.18746093750000004,4.231088082359859,-4.418549019859859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2014,empirical,0818a7d021439cb324df653d62af7cb15b241ad9897e65a16ff6051ad00a0ffc,-0.20671875,4.231088082359859,-0.20671875,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2014,hoeffding,0818a7d021439cb324df653d62af7cb15b241ad9897e65a16ff6051ad00a0ffc,-0.20671875,4.231088082359859,-4.437806832359859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2015,empirical,2b7487131b8e5b3d5f54856761073583bc61a2f7f97e5fb9c87fb1fa6779bbd2,-0.19480468750000002,4.231088082359859,-0.19480468750000002,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2015,hoeffding,2b7487131b8e5b3d5f54856761073583bc61a2f7f97e5fb9c87fb1fa6779bbd2,-0.19480468750000002,4.231088082359859,-4.425892769859859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2016,empirical,c7c535c69377f912e59e829eabb91fe70a628c044513b0a4f608361c6d9452d0,-0.1992057291666667,4.231088082359859,-0.1992057291666667,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2016,hoeffding,c7c535c69377f912e59e829eabb91fe70a628c044513b0a4f608361c6d9452d0,-0.1992057291666667,4.231088082359859,-4.430293811526526,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2017,empirical,1a22a85147bd01352c30a9184346a813332a0e288687d83cc064bb15e62e7ea7,-0.17826822916666668,4.231088082359859,-0.17826822916666668,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2017,hoeffding,1a22a85147bd01352c30a9184346a813332a0e288687d83cc064bb15e62e7ea7,-0.17826822916666668,4.231088082359859,-4.409356311526526,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2018,empirical,0d445a7b8f5cc8ca8a9acc8275a6da43c0256541f86eb43fac78635f23aea5fe,-0.1478125,4.231088082359859,-0.1478125,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2018,hoeffding,0d445a7b8f5cc8ca8a9acc8275a6da43c0256541f86eb43fac78635f23aea5fe,-0.1478125,4.231088082359859,-4.378900582359859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2019,empirical,d3ba65da230c1b228a2df0e8f81cc94dabcb8df07d35fe20a06b720e99150332,-0.16398437500000002,4.231088082359859,-0.16398437500000002,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2019,hoeffding,d3ba65da230c1b228a2df0e8f81cc94dabcb8df07d35fe20a06b720e99150332,-0.16398437500000002,4.231088082359859,-4.395072457359859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2020,empirical,ce4452a11b832e56edc16b36dc5ae8b5e511792192ab65eedd95b325774bedb7,-0.17048177083333338,4.231088082359859,-0.17048177083333338,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2020,hoeffding,ce4452a11b832e56edc16b36dc5ae8b5e511792192ab65eedd95b325774bedb7,-0.17048177083333338,4.231088082359859,-4.401569853193193,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2021,empirical,5753b473a72001ec305003ed59b3276794300ca73bb6bb38fe0ed8ebc79cef15,-0.16984375000000002,4.231088082359859,-0.16984375000000002,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2021,hoeffding,5753b473a72001ec305003ed59b3276794300ca73bb6bb38fe0ed8ebc79cef15,-0.16984375000000002,4.231088082359859,-4.400931832359859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2022,empirical,08ba477a615bbefca2af580f28e05173910f8a4832056bc362f63e2070412165,-0.18325520833333336,4.231088082359859,-0.18325520833333336,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2022,hoeffding,08ba477a615bbefca2af580f28e05173910f8a4832056bc362f63e2070412165,-0.18325520833333336,4.231088082359859,-4.414343290693193,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2023,empirical,831ee2a1d5795301171e4ea727741fc6ed1be663114cb58b91960d6ab7200ff1,-0.1870572916666667,4.231088082359859,-0.1870572916666667,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2023,hoeffding,831ee2a1d5795301171e4ea727741fc6ed1be663114cb58b91960d6ab7200ff1,-0.1870572916666667,4.231088082359859,-4.418145374026526,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2024,empirical,114e1cdacaf5e57eac0c4736124ce822acd12ff794c626737bc241098aadf044,-0.20363281250000004,4.231088082359859,-0.20363281250000004,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2024,hoeffding,114e1cdacaf5e57eac0c4736124ce822acd12ff794c626737bc241098aadf044,-0.20363281250000004,4.231088082359859,-4.4347208948598595,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2025,empirical,788623837fe8ecd72c1bf20010537ece7b721ead453e67392198f38fa79923b5,-0.19803385416666672,4.231088082359859,-0.19803385416666672,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2025,hoeffding,788623837fe8ecd72c1bf20010537ece7b721ead453e67392198f38fa79923b5,-0.19803385416666672,4.231088082359859,-4.429121936526526,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2026,empirical,92988e2ad06fab85d71aeca8e145e16f1269bc3946fc76874ceaf3fd8b7bf8f2,-0.20523437500000002,4.231088082359859,-0.20523437500000002,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2026,hoeffding,92988e2ad06fab85d71aeca8e145e16f1269bc3946fc76874ceaf3fd8b7bf8f2,-0.20523437500000002,4.231088082359859,-4.436322457359859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2027,empirical,d521aee0ee0d26c5dd38d69cc9b21972d13590a97f627cdc079d7670bb1f8346,-0.18558593750000002,4.231088082359859,-0.18558593750000002,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2027,hoeffding,d521aee0ee0d26c5dd38d69cc9b21972d13590a97f627cdc079d7670bb1f8346,-0.18558593750000002,4.231088082359859,-4.416674019859859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2028,empirical,049a0c6cac6734e7fc72106a527ce81789073099bd7652f592f36d39f9deb830,-0.1453125,4.231088082359859,-0.1453125,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2028,hoeffding,049a0c6cac6734e7fc72106a527ce81789073099bd7652f592f36d39f9deb830,-0.1453125,4.231088082359859,-4.376400582359859,6.485084306095979e-05,False,False,False,128
direction,-1,-0.18,128,2029,empirical,13295f09600ba97d4826dd9652fe652bf2ea6d8f58a2bc8f215dd0fab49f68a3,-0.19356770833333337,4.231088082359859,-0.19356770833333337,6.485084306095979e-05,False,False,False,128
