condition,seed,status,run_dir,seconds,source_episodes,budget,unused_budget,rounds,stop_reason,initial_return,final_return,budget_normalized_auc,accepted_updates,declining_updates,decline_fraction,total_decline,candidate_count,return_check_rejections,mean_fit_kl,direction_train_episodes,pg_train_episodes,critic_episodes,direction_check_episodes,return_old_episodes,return_candidate_episodes,optimizer_updates
ours,40,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_085818_967224\training\ours\seed_40,87.43373539997265,129024,131072,2048,30,source_budget,0.38376000000000016,1.9626655996307192,1.6357626514027919,28,0,0.0,-0.0,33,5,0.00014727497935855424,30720,0,0,30720,33792,33792,32256
ours,41,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_085818_967224\training\ours\seed_41,82.57833149982616,131072,131072,0,29,source_budget,0.38376000000000016,1.962665599382351,1.636769946202927,24,0,0.0,-0.0,35,11,0.00011418070309015555,29696,0,0,29696,35840,35840,32768
ours,42,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_085818_967224\training\ours\seed_42,83.26056400011294,131072,131072,0,28,source_budget,0.38375999999999993,1.9626655993302713,1.6376015299455804,25,0,0.0,-0.0,36,11,9.257333983860898e-05,28672,0,0,28672,36864,36864,32768
no_direction_check,40,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_085818_967224\training\no_direction_check\seed_40,115.8789540999569,130048,131072,1024,35,source_budget,0.38376000000000016,1.9626655995924291,1.725034898774203,29,0,0.0,-0.0,46,17,0.00011946943126790135,35840,0,0,0,47104,47104,41472
no_direction_check,41,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_085818_967224\training\no_direction_check\seed_41,105.80255390005186,130048,131072,1024,37,source_budget,0.38376000000000016,1.96266559968993,1.7246400334143877,31,0,0.0,-0.0,45,14,0.00016611882014428155,37888,0,0,0,46080,46080,41984
no_direction_check,42,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_085818_967224\training\no_direction_check\seed_42,106.41035709995776,131072,131072,0,38,source_budget,0.38375999999999993,1.9626655997680136,1.7180562654828009,36,0,0.0,-0.0,45,9,0.00017001840760560505,38912,0,0,0,46080,46080,42496
no_return_check,40,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_085818_967224\training\no_return_check\seed_40,173.98433790006675,131072,131072,0,64,source_budget,0.38376000000000016,1.9626655999194735,1.800241970171054,64,0,0.0,-0.0,64,0,0.0002774715500373741,65536,0,0,65536,0,0,65536
no_return_check,41,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_085818_967224\training\no_return_check\seed_41,165.2067106999457,131072,131072,0,64,source_budget,0.38376000000000016,1.9626655999175984,1.7981232876622486,64,0,0.0,-0.0,64,0,0.0002859507387485788,65536,0,0,65536,0,0,65536
no_return_check,42,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_085818_967224\training\no_return_check\seed_42,173.8174417000264,131072,131072,0,64,source_budget,0.38375999999999993,1.9626655999196319,1.8005759709731368,64,0,0.0,-0.0,64,0,0.00028723980533102827,65536,0,0,65536,0,0,65536
