experiment,method,variant,source_n,target_n,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-T,AN,normalized,4,4,False,return,0.30970470393418753,0.003793563569885694,10,0.307563484301702,0.31203493551275097,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,return_gain,0.028104703934187607,0.003793563569885694,10,0.02596348430170198,0.030434935512751025,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,source_steps_total,2064.0,0.0,10,2064.0,2064.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,source_steps_training,2048.0,0.0,10,2048.0,2048.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,source_steps_direction_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,source_steps_return_check,16.0,0.0,10,16.0,16.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,eta,0.1,0.0,10,0.1,0.1,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,attempts,1.0,0.0,10,1.0,1.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,forward_kl_training,3.326599021451087e-09,2.9145240519885228e-09,10,1.6275356076891302e-09,5.118383969958492e-09,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,direction_loss,-0.06956381576423196,0.017826978136562255,10,-0.08078784601714657,-0.059661588488773606,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,direction_steps,100.0,0.0,10,100.0,100.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,q_bound,5.0,0.0,10,5.0,5.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,return_check_gain,0.05500000000000001,0.1739252713092609,10,0.0,0.165,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,return_check_standard_error,0.05500000000000001,0.1739252713092609,10,0.0,0.165,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,target_true_coefficient_0,0.05999999999999981,7.314236392868128e-18,10,0.05999999999999981,0.05999999999999981,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,target_true_coefficient_1,0.3599999999999998,0.0,10,0.3599999999999998,0.3599999999999998,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,frozen_actor_p_0,0.3020127570455565,0.002200529039528118,10,0.30071657492030035,0.3033186757537148,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,frozen_actor_p_1,0.7151158572144936,0.00180058443929823,10,0.7140516181165016,0.716213736038229,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,source_direction_error,0.0017881488528157948,0.0015516113406845243,10,0.0009955464128000083,0.0027581877109285158,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,source_realization_residual,6.87690628001654e-07,6.07044151417734e-07,10,3.335301584374462e-07,1.0634460071195917e-06,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,target_direction_error,0.0017745965841210825,0.001506622113541465,10,0.00099802932900995,0.0027196991279316114,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,transport_error_upper_bound,0.001849041189775558,0.0015959275768902092,10,0.0010405081053464068,0.002843017109130059,training_seed_or_data_batch,False
P-T,AN,normalized,4,4,False,normalized_derivative_lower_bound,0.056232403945213706,0.004347887628883504,10,0.053616439431016884,0.05860069883954438,training_seed_or_data_batch,False
P-T,AN,normalized,4,6,False,target_plus_type_probability,0.5999999999999999,1.1702778228589004e-16,10,0.5999999999999999,0.5999999999999999,training_seed_or_data_batch,False
P-T,AN,normalized,4,6,False,density_ratio,1.0,0.0,10,1.0,1.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,6,False,neighbor_weight,2.0,0.0,10,2.0,2.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,6,False,semantic_drift,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
P-T,AN,normalized,4,6,False,target_local_energy,0.06652799999999993,0.0,10,0.06652799999999993,0.06652799999999993,training_seed_or_data_batch,False
P-T,AN,normalized,4,6,False,target_path_derivative,0.4035589350090464,0.050749279879389,10,0.37472022805439226,0.43515552297041893,training_seed_or_data_batch,False
P-T,AN,normalized,4,6,False,target_normalized_path_derivative,0.06725982250150775,0.008458213313231499,10,0.06245337134239871,0.07252592049506983,training_seed_or_data_batch,False
P-T,AN,normalized,4,6,False,old_return,0.42239999999999994,0.0,10,0.42239999999999994,0.42239999999999994,training_seed_or_data_batch,False
