condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
pg,40,117964,117760,115,1.9583371551504647
pg,40,124518,123904,121,1.95861165748092
pg,40,131072,131072,128,1.9588959232572005
pg,41,0,0,0,0.38376000000000016
pg,41,6553,6144,6,0.7303012191226088
pg,41,13107,12288,12,1.1386913896812294
pg,41,19660,19456,19,1.5589094692298218
pg,41,26214,25600,25,1.7788713633515219
pg,41,32768,32768,32,1.888771179948648
pg,41,39321,38912,38,1.9244542333102026
pg,41,45875,45056,44,1.939777395197693
pg,41,52428,52224,51,1.947769615501252
pg,41,58982,58368,57,1.9512387314667123
pg,41,65536,65536,64,1.9535813820015246
pg,41,72089,71680,70,1.9548651487496158
pg,41,78643,77824,76,1.9557799690615665
pg,41,85196,84992,83,1.956585799024214
pg,41,91750,91136,89,1.9571214139371234
pg,41,98304,98304,96,1.957637690716466
pg,41,104857,104448,102,1.958013078783774
pg,41,111411,110592,108,1.9583421569091406
pg,41,117964,117760,115,1.9586798356163906
pg,41,124518,123904,121,1.9589348492859215
pg,41,131072,131072,128,1.9592053830037788
pg,42,0,0,0,0.38375999999999993
pg,42,6553,6144,6,0.7456675713276446
pg,42,13107,12288,12,1.1746306785052378
pg,42,19660,19456,19,1.5925574299097494
pg,42,26214,25600,25,1.7966794833470399
pg,42,32768,32768,32,1.8960244446168677
pg,42,39321,38912,38,1.9274806340072177
pg,42,45875,45056,44,1.9412135037707434
pg,42,52428,52224,51,1.9485889882483736
pg,42,58982,58368,57,1.9518135653359037
pg,42,65536,65536,64,1.9539917395867648
pg,42,72089,71680,70,1.9551905506853429
pg,42,78643,77824,76,1.9560582394116606
pg,42,85196,84992,83,1.956818584037407
pg,42,91750,91136,89,1.957333247307541
pg,42,98304,98304,96,1.9578396515411471
pg,42,104857,104448,102,1.9582163766954321
pg,42,111411,110592,108,1.9585470656844233
pg,42,117964,117760,115,1.9588820887496716
pg,42,124518,123904,121,1.9591343185359804
pg,42,131072,131072,128,1.959395718698755
no_direction_check,40,0,0,0,0.38376000000000016
no_direction_check,40,6553,6144,2,0.6400436751347719
no_direction_check,40,13107,12288,4,0.9455629679445599
no_direction_check,40,19660,18432,6,1.256164018823892
no_direction_check,40,26214,24576,8,1.5180854916584088
no_direction_check,40,32768,30720,10,1.711400339594476
no_direction_check,40,39321,36864,12,1.845201574184032
no_direction_check,40,45875,43008,14,1.922364647933147
no_direction_check,40,52428,49152,16,1.9626486457520755
no_direction_check,40,58982,54272,17,1.9626486457520755
no_direction_check,40,65536,64512,19,1.9626655939584314
no_direction_check,40,72089,69632,20,1.962665596721086
no_direction_check,40,78643,77824,22,1.9626655981355488
no_direction_check,40,85196,83968,24,1.9626655990463067
no_direction_check,40,91750,89088,25,1.9626655990463067
no_direction_check,40,98304,97280,27,1.962665599294635
no_direction_check,40,104857,100352,28,1.9626655994066082
no_direction_check,40,111411,108544,30,1.9626655995140558
no_direction_check,40,117964,116736,32,1.9626655995706996
no_direction_check,40,124518,121856,33,1.9626655995924291
no_direction_check,40,131072,130048,35,1.9626655995924291
no_direction_check,41,0,0,0,0.38376000000000016
no_direction_check,41,6553,6144,2,0.6536575893183196
no_direction_check,41,13107,12288,4,0.9580034920818619
no_direction_check,41,19660,18432,6,1.24811722895578
no_direction_check,41,26214,24576,8,1.50405896647633
no_direction_check,41,32768,30720,10,1.7034380412048582
no_direction_check,41,39321,36864,12,1.8454893005089799
no_direction_check,41,45875,43008,14,1.9271211262410233
no_direction_check,41,52428,52224,17,1.9626655740545171
