condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
no_direction_check,42,78643,77568,30,1.9626655957254084
no_direction_check,42,85196,83968,32,1.9626655963269588
no_direction_check,42,91750,90496,35,1.962665597149711
no_direction_check,42,98304,97024,38,1.9626655977663645
no_direction_check,42,104857,103424,40,1.9626655979645375
no_direction_check,42,111411,107776,42,1.9626655981892798
no_direction_check,42,117964,116224,44,1.9626655983046892
no_direction_check,42,124518,122624,46,1.9626655983911656
no_direction_check,42,131072,131072,48,1.9626655984215189
no_return_check,40,0,0,0,0.38376000000000016
no_return_check,40,6553,5760,5,1.107410623951213
no_return_check,40,13107,12672,11,1.7524071053035803
no_return_check,40,19660,19584,17,1.9623030410785371
no_return_check,40,26214,25344,22,1.9626655895701486
no_return_check,40,32768,32256,28,1.9626655964274513
no_return_check,40,39321,39168,34,1.9626655979170817
no_return_check,40,45875,44928,39,1.962665598463647
no_return_check,40,52428,51840,45,1.9626655988226438
no_return_check,40,58982,58752,51,1.962665599042417
no_return_check,40,65536,64512,56,1.962665599144469
no_return_check,40,72089,71424,62,1.9626655992645559
no_return_check,40,78643,78336,68,1.9626655993589432
no_return_check,40,85196,84096,73,1.9626655994163549
no_return_check,40,91750,91008,79,1.9626655994715043
no_return_check,40,98304,97920,85,1.9626655995239146
no_return_check,40,104857,104832,91,1.9626655995627857
no_return_check,40,111411,110592,96,1.9626655995873723
no_return_check,40,117964,117504,102,1.962665599620303
no_return_check,40,124518,124416,108,1.96266559964753
no_return_check,40,131072,130176,113,1.962665599663842
no_return_check,41,0,0,0,0.38376000000000016
no_return_check,41,6553,5760,5,1.0995040324735172
no_return_check,41,13107,12672,11,1.7974260788505452
no_return_check,41,19660,19584,17,1.962653131282145
no_return_check,41,26214,25344,22,1.9626655899879195
no_return_check,41,32768,32256,28,1.962665596494737
no_return_check,41,39321,39168,34,1.9626655979869165
no_return_check,41,45875,44928,39,1.9626655984462409
no_return_check,41,52428,51840,45,1.9626655987905175
no_return_check,41,58982,58752,51,1.962665599015096
