experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,variant,source_n,target_n
P-L,AN,mc_learned_baseline,False,source_steps_total,261368.0,0.0,10,261368.0,261368.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,budget,262144.0,0.0,10,262144.0,262144.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,unused_budget,776.0,0.0,10,776.0,776.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,updates,301.0,0.0,10,301.0,301.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,final_source_return_diagnostic,4.318665027648407,0.0006300171413199372,10,4.318291959092633,4.3190184452842,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_report_only_steps,500.0,0.0,10,500.0,500.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,target_report_only_steps,3000.0,0.0,10,3000.0,3000.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_training,38528.0,0.0,10,38528.0,38528.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_critic,38528.0,0.0,10,38528.0,38528.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_direction_check,154112.0,0.0,10,154112.0,154112.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_return_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
P-L,AN,mc_learned_baseline,False,source_steps_monitor,30200.0,0.0,10,30200.0,30200.0,training_seed_or_data_batch,False,,,
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,261368.0,0.0,10,261368.0,261368.0,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,frozen_actor_return_diagnostic,2.1593325138242037,0.0003150085706599686,10,2.1591459795463166,2.1595092226421,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,AN,mc_learned_baseline,False,source_steps_total,261368.0,0.0,10,261368.0,261368.0,training_seed_or_data_batch,False,normalized,4,6
