experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
T-L,DA,mc_learned_baseline,False,source_report_only_steps,1000.0,0.0,10,1000.0,1000.0,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_total,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_critic,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_direction_check,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_training,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,direction_rejections,3.4,6.8507907086214015,10,-0.6,7.4,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,seconds,0.042455019988119604,0.16793527011130777,10,-0.05599528828664916,0.13208143000956624,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_monitor,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,final_source_return_diagnostic,-0.0035597611118343363,0.004440763526960695,10,-0.006150051824633365,-0.000941240458387805,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,accepted_updates,-3.4,6.8507907086214015,10,-7.4,0.6,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,updates,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,best_source_empirical_monitor_return,-0.0014999999999999903,0.0032403703492038818,10,-0.0035999999999999587,0.0002999999999999892,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,budget,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_return_check,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,unused_budget,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_total,120.0,0.0,10,120.0,120.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_critic,-55552.0,0.0,10,-55552.0,-55552.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_direction_check,154624.0,0.0,10,154624.0,154624.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_training,-55552.0,0.0,10,-55552.0,-55552.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,direction_rejections,24.1,4.794672969962486,10,21.3,26.8,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,seconds,1.9114066200330853,0.10861072158349627,10,1.8491416075150482,1.9792047190372248,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_monitor,-43400.0,0.0,10,-43400.0,-43400.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,final_source_return_diagnostic,-0.023970814179459076,0.005624526641018519,10,-0.02742536175616463,-0.02083768859894207,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,accepted_updates,-241.1,4.794672969962486,10,-243.8,-238.3,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,updates,-217.0,0.0,10,-217.0,-217.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,best_source_empirical_monitor_return,-0.011999999999999966,0.004000000000000023,10,-0.014399999999999946,-0.009599999999999942,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,budget,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_return_check,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,unused_budget,-120.0,0.0,10,-120.0,-120.0,paired_training_seed_or_data_batch,False
