kind,condition,n_agents,metric,planned,failed,incomplete,count,mean,std,ci_low,ci_high
condition,sampled,4,collisions_per_agent,1,0,0,1,0.084,,,
condition,sampled,4,source_steps,1,0,0,1,1998400.0,,,
condition,sampled,4,unused_budget,1,0,0,1,1600.0,,,
condition,sampled,4,train_seconds,1,0,0,1,2103.993434996344,,,
condition,sampled,4,evaluation_seconds,1,0,0,1,9.390545099508017,,,
condition,sampled,4,optimizer_steps,1,0,0,1,84976.0,,,
condition,sampled,4,coverage_cost,1,0,0,0,,,,
condition,sampled,4,fit_kl_after,1,0,0,1,2.7369371389177626e-06,,,
condition,sampled,4,coverage_reached,1,0,0,1,0.0,,,
paired_difference,ours - fit_quarter,4,J,,,,1,0.49002351172514125,,,
paired_difference,ours - fit_quarter,4,AUC,,,,1,-2.225067338311291,,,
paired_difference,ours - ippo,4,J,,,,1,-30.623673251559218,,,
paired_difference,ours - ippo,4,AUC,,,,1,-26.786813442430315,,,
paired_difference,ours - mappo,4,J,,,,1,-33.875613493676084,,,
paired_difference,ours - mappo,4,AUC,,,,1,-19.757043980160972,,,
paired_difference,ours - no_direction_check,4,J,,,,1,-4.587745525690963,,,
paired_difference,ours - no_direction_check,4,AUC,,,,1,-3.9925202541572276,,,
paired_difference,ours - no_return_check,4,J,,,,1,-2.4073411709172774,,,
paired_difference,ours - no_return_check,4,AUC,,,,1,-3.864709327687862,,,
paired_difference,ours - sampled,4,J,,,,1,-7.26891902474479,,,
paired_difference,ours - sampled,4,AUC,,,,1,-3.513660117484818,,,
