round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
1,968,868,True,1,7.75971928759298e-10,True,P-L,AN,mc_learned_baseline,47,968
2,1836,868,True,1,2.585308175212059e-09,True,P-L,AN,mc_learned_baseline,47,1836
3,2704,868,True,1,4.553331913588658e-09,True,P-L,AN,mc_learned_baseline,47,2704
4,3572,868,True,1,1.836014367853733e-08,True,P-L,AN,mc_learned_baseline,47,3572
5,4440,868,True,1,1.6345902292999994e-08,True,P-L,AN,mc_learned_baseline,47,4440
6,5308,868,True,1,1.7378098089426347e-08,True,P-L,AN,mc_learned_baseline,47,5308
7,6176,868,True,1,1.8887577555154503e-08,True,P-L,AN,mc_learned_baseline,47,6176
8,7044,868,True,1,1.9964197503145822e-08,True,P-L,AN,mc_learned_baseline,47,7044
9,7912,868,True,1,3.680979305201669e-09,True,P-L,AN,mc_learned_baseline,47,7912
10,8780,868,True,1,3.041832084146406e-08,True,P-L,AN,mc_learned_baseline,47,8780
11,9648,868,True,1,2.879929992404491e-08,True,P-L,AN,mc_learned_baseline,47,9648
12,10516,868,True,1,2.46072870974448e-08,True,P-L,AN,mc_learned_baseline,47,10516
13,11384,868,True,1,2.539335665635989e-08,True,P-L,AN,mc_learned_baseline,47,11384
14,12252,868,True,1,7.470346567236445e-08,True,P-L,AN,mc_learned_baseline,47,12252
15,13120,868,True,1,6.2298351416978394e-09,True,P-L,AN,mc_learned_baseline,47,13120
16,13988,868,True,1,1.9421746533116898e-08,True,P-L,AN,mc_learned_baseline,47,13988
17,14856,868,True,1,6.571353249944216e-08,True,P-L,AN,mc_learned_baseline,47,14856
18,15724,868,True,1,2.585684842727474e-08,True,P-L,AN,mc_learned_baseline,47,15724
19,16592,868,True,1,1.1977611151031594e-08,True,P-L,AN,mc_learned_baseline,47,16592
20,17460,868,True,1,1.3154238941555661e-08,True,P-L,AN,mc_learned_baseline,47,17460
21,18328,868,True,1,1.0298067981106162e-08,True,P-L,AN,mc_learned_baseline,47,18328
22,19196,868,True,1,1.0352222287562316e-08,True,P-L,AN,mc_learned_baseline,47,19196
23,20064,868,True,1,5.955805614093203e-10,True,P-L,AN,mc_learned_baseline,47,20064
24,20932,868,True,1,3.2927244096242133e-09,True,P-L,AN,mc_learned_baseline,47,20932
25,21800,868,True,1,6.356605749073066e-10,True,P-L,AN,mc_learned_baseline,47,21800
26,22668,868,False,0,,False,P-L,AN,mc_learned_baseline,47,22668
27,23536,868,True,1,7.548013108784688e-10,True,P-L,AN,mc_learned_baseline,47,23536
28,24404,868,True,1,1.9583610218996725e-12,True,P-L,AN,mc_learned_baseline,47,24404
29,25272,868,False,0,,False,P-L,AN,mc_learned_baseline,47,25272
30,26140,868,True,1,8.073979312636425e-12,True,P-L,AN,mc_learned_baseline,47,26140
31,27008,868,True,1,1.857570961041017e-09,True,P-L,AN,mc_learned_baseline,47,27008
32,27876,868,True,1,4.060377140158797e-09,True,P-L,AN,mc_learned_baseline,47,27876
33,28744,868,True,1,2.3576452593841254e-10,True,P-L,AN,mc_learned_baseline,47,28744
34,29612,868,True,1,3.3334952864303257e-09,True,P-L,AN,mc_learned_baseline,47,29612
35,30480,868,True,1,1.353961974722905e-12,True,P-L,AN,mc_learned_baseline,47,30480
36,31348,868,True,1,8.029463066750817e-12,True,P-L,AN,mc_learned_baseline,47,31348
37,32216,868,True,1,7.079034821395041e-12,True,P-L,AN,mc_learned_baseline,47,32216
38,33084,868,True,1,7.292772029183645e-10,True,P-L,AN,mc_learned_baseline,47,33084
39,33952,868,False,0,,False,P-L,AN,mc_learned_baseline,47,33952
40,34820,868,True,1,7.135965420427101e-13,True,P-L,AN,mc_learned_baseline,47,34820
41,35688,868,False,0,,False,P-L,AN,mc_learned_baseline,47,35688
42,36556,868,True,1,2.7784083700236608e-12,True,P-L,AN,mc_learned_baseline,47,36556
43,37424,868,False,0,,False,P-L,AN,mc_learned_baseline,47,37424
44,38292,868,False,0,,False,P-L,AN,mc_learned_baseline,47,38292
45,39160,868,False,0,,False,P-L,AN,mc_learned_baseline,47,39160
46,40028,868,False,0,,False,P-L,AN,mc_learned_baseline,47,40028
47,40896,868,True,1,5.2140761091004195e-12,True,P-L,AN,mc_learned_baseline,47,40896
48,41764,868,False,0,,False,P-L,AN,mc_learned_baseline,47,41764
49,42632,868,False,0,,False,P-L,AN,mc_learned_baseline,47,42632
50,43500,868,True,1,7.01731282798237e-11,True,P-L,AN,mc_learned_baseline,47,43500
51,44368,868,False,0,,False,P-L,AN,mc_learned_baseline,47,44368
52,45236,868,True,1,6.135921875546711e-13,True,P-L,AN,mc_learned_baseline,47,45236
53,46104,868,False,0,,False,P-L,AN,mc_learned_baseline,47,46104
54,46972,868,False,0,,False,P-L,AN,mc_learned_baseline,47,46972
55,47840,868,False,0,,False,P-L,AN,mc_learned_baseline,47,47840
56,48708,868,False,0,,False,P-L,AN,mc_learned_baseline,47,48708
57,49576,868,False,0,,False,P-L,AN,mc_learned_baseline,47,49576
58,50444,868,False,0,,False,P-L,AN,mc_learned_baseline,47,50444
59,51312,868,True,1,9.594147298378302e-13,True,P-L,AN,mc_learned_baseline,47,51312
60,52180,868,False,0,,False,P-L,AN,mc_learned_baseline,47,52180
61,53048,868,False,0,,False,P-L,AN,mc_learned_baseline,47,53048
62,53916,868,True,1,4.609513612421864e-11,True,P-L,AN,mc_learned_baseline,47,53916
63,54784,868,False,0,,False,P-L,AN,mc_learned_baseline,47,54784
64,55652,868,False,0,,False,P-L,AN,mc_learned_baseline,47,55652
65,56520,868,True,1,3.891535352688623e-13,True,P-L,AN,mc_learned_baseline,47,56520
66,57388,868,False,0,,False,P-L,AN,mc_learned_baseline,47,57388
67,58256,868,True,1,9.674441759106933e-13,True,P-L,AN,mc_learned_baseline,47,58256
68,59124,868,False,0,,False,P-L,AN,mc_learned_baseline,47,59124
69,59992,868,False,0,,False,P-L,AN,mc_learned_baseline,47,59992
70,60860,868,True,1,5.050915261777399e-13,True,P-L,AN,mc_learned_baseline,47,60860
71,61728,868,True,1,4.312849697986849e-13,True,P-L,AN,mc_learned_baseline,47,61728
72,62596,868,False,0,,False,P-L,AN,mc_learned_baseline,47,62596
