target,metric,count,mean,std,ci_low,ci_high
source,target_error,3,0.0001636274420359868,9.074707095658126e-05,6.04492883729741e-05,0.00023105104892738438
source,direction_shift,3,0.0,0.0,0.0,0.0
source,transport_bound,3,0.0001636274420359868,9.074707095658126e-05,6.04492883729741e-05,0.00023105104892738438
agents_2,target_error,3,0.0001636274420359868,9.074707095658126e-05,6.04492883729741e-05,0.00023105104892738438
agents_2,direction_shift,3,0.0,0.0,0.0,0.0
agents_2,transport_bound,3,0.0001636274420359868,9.074707095658126e-05,6.04492883729741e-05,0.00023105104892738438
agents_6,target_error,3,0.0001636274420359868,9.074707095658126e-05,6.04492883729741e-05,0.00023105104892738438
agents_6,direction_shift,3,0.0,0.0,0.0,0.0
agents_6,transport_bound,3,0.0001636274420359868,9.074707095658126e-05,6.04492883729741e-05,0.00023105104892738438
agents_8,target_error,3,0.0001636274420359868,9.074707095658126e-05,6.04492883729741e-05,0.00023105104892738438
agents_8,direction_shift,3,0.0,0.0,0.0,0.0
agents_8,transport_bound,3,0.0001636274420359868,9.074707095658126e-05,6.04492883729741e-05,0.00023105104892738438
composition_0.3,target_error,3,0.0014893279223578265,0.0003083923595332027,0.0011909662876385927,0.001806856886764585
composition_0.3,direction_shift,3,0.002540160000000004,0.0,0.002540160000000004,0.002540160000000004
composition_0.3,transport_bound,3,0.0044753539360257505,0.000693665107661588,0.0036826989013695904,0.004971404964186748
composition_0.9,target_error,3,0.003034559035105105,0.0006048397899609247,0.0023363287691890674,0.0033973505469365828
composition_0.9,direction_shift,3,0.0025401600000000035,0.0,0.0025401600000000035,0.0025401600000000035
composition_0.9,transport_bound,3,0.004312135850239828,0.0006313080205169705,0.003590680371382345,0.004763286544657582
strength_0.0,target_error,3,0.0680274531663938,0.0036606096945682154,0.06459297313011847,0.07187854498263893
strength_0.0,direction_shift,3,0.06547968,0.0,0.06547968,0.06547968
strength_0.0,transport_bound,3,0.07197155973762298,0.0021438371602839337,0.0695191744295545,0.07348997233517875
strength_0.35,target_error,3,0.0177256203042149,0.0018713244247816879,0.01595679120924573,0.01968487801578317
strength_0.35,direction_shift,3,0.01636992000000001,0.0,0.01636992000000001,0.01636992000000001
strength_0.35,transport_bound,3,0.01969767358982949,0.001117259595382419,0.01841989185896374,0.02049059169205308
strength_1.4,target_error,3,0.06325916171767819,0.00349782208966487,0.059542917115215845,0.06648728544662748
strength_1.4,direction_shift,3,0.06547968000000001,0.0,0.06547968000000001,0.06547968000000001
strength_1.4,transport_bound,3,0.07197155973762298,0.0021438371602839337,0.0695191744295545,0.07348997233517875
