round,source_steps,author_stats,critic_mse,explained_variance,train_value_target,ppo_kl,policy_entropy,clip_fraction,updates,accepted,candidates,direction_pass,direction_score,train_J,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,update_seconds,method,seed,source_steps_total,train_discounted_return
14,46400,"{""value_loss"": 0.23373114466667175, ""policy_loss"": -0.0036722403077874334, ""dist_entropy"": 1.597343161702156, ""actor_grad_norm"": 0.03339957445859909, ""critic_grad_norm"": 0.24369291961193085, ""ratio"": 0.9992489814758301}",444.080322265625,0.5264938723850278,-135.42303466796875,0.004629196599125862,1.5939077138900757,0.040546875447034836,40,True,0,,,-170.68235874176025,,,,,,,53.94869719957933,MAPPO-E,40,46400,-170.68235874176025
15,49600,"{""value_loss"": 0.15608684085309504, ""policy_loss"": -0.004122958558582468, ""dist_entropy"": 1.597495859861374, ""actor_grad_norm"": 0.03680948540568352, ""critic_grad_norm"": 0.285888671875, ""ratio"": 1.0000919103622437}",299.9981994628906,0.6829964762675483,-128.88648986816406,0.0047334954142570496,1.592549204826355,0.047968748956918716,40,True,0,,,-158.9522614479065,,,,,,,53.07333840010688,MAPPO-E,40,49600,-158.9522614479065
16,52800,"{""value_loss"": 0.087530205398798, ""policy_loss"": -0.005886448978708358, ""dist_entropy"": 1.593316987156868, ""actor_grad_norm"": 0.05015509948134422, ""critic_grad_norm"": 0.07233832031488419, ""ratio"": 0.9989076852798462}",172.556640625,0.8099690917255419,-131.3435821533203,0.00779125327244401,1.5883960723876953,0.08609374612569809,40,True,0,,,-126.93705177307129,,,,,,,54.620680099818856,MAPPO-E,40,52800,-126.93705177307129
17,56000,"{""value_loss"": 0.09030025042593479, ""policy_loss"": -0.0049874766522407295, ""dist_entropy"": 1.5895930647850036, ""actor_grad_norm"": 0.06139841675758362, ""critic_grad_norm"": 0.07761447131633759, ""ratio"": 0.9996430277824402}",178.96035766601562,0.7925014411634368,-129.43670654296875,0.0068900370970368385,1.5875670909881592,0.07406249642372131,40,True,0,,,-121.53013181686401,,,,,,,51.754237400367856,MAPPO-E,40,56000,-121.53013181686401
18,59200,"{""value_loss"": 0.06403165645897388, ""policy_loss"": -0.006231679970733239, ""dist_entropy"": 1.5862079322338105, ""actor_grad_norm"": 0.06849106401205063, ""critic_grad_norm"": 0.08531506359577179, ""ratio"": 0.9993988275527954}",118.84458923339844,0.8364980950670127,-121.4180679321289,0.005879485514014959,1.5862836837768555,0.0658593699336052,40,True,0,,,-122.29836368560791,,,,,,,53.0629908000119,MAPPO-E,40,59200,-122.29836368560791
19,62400,"{""value_loss"": 0.05731132114306092, ""policy_loss"": -0.005523570294099045, ""dist_entropy"": 1.582449820637703, ""actor_grad_norm"": 0.04263489320874214, ""critic_grad_norm"": 0.06421145051717758, ""ratio"": 0.9990652203559875}",107.03715515136719,0.8636175533262824,-126.25160217285156,0.00682800030335784,1.5781770944595337,0.09312500059604645,40,True,0,,,-122.62024259567261,,,,,,,52.7039828998968,MAPPO-E,40,62400,-122.62024259567261
20,65600,"{""value_loss"": 0.05442631356418133, ""policy_loss"": -0.006197524497110862, ""dist_entropy"": 1.5753931641578673, ""actor_grad_norm"": 0.09144702553749084, ""critic_grad_norm"": 0.07768639177083969, ""ratio"": 0.999928891658783}",95.82331848144531,0.8856626243628086,-124.07660675048828,0.006499803625047207,1.5726805925369263,0.06335937231779099,40,True,0,,,-118.44048070907593,,,,,,,51.44494959991425,MAPPO-E,40,65600,-118.44048070907593
21,70400,"{""value_loss"": 0.04381041331216693, ""policy_loss"": -0.007594687322853133, ""dist_entropy"": 1.5765197217464446, ""actor_grad_norm"": 0.06349930167198181, ""critic_grad_norm"": 0.05038841441273689, ""ratio"": 0.9994662404060364}",82.84681701660156,0.8972023527086179,-121.02902221679688,0.007426383439451456,1.5745376348495483,0.08531250059604645,40,True,0,,,-117.55558109283447,,,,,,,51.55397219955921,MAPPO-E,40,70400,-117.55558109283447
22,73600,"{""value_loss"": 0.032656834740191695, ""policy_loss"": -0.006851185391133186, ""dist_entropy"": 1.5690489441156388, ""actor_grad_norm"": 0.07571948319673538, ""critic_grad_norm"": 0.031574636697769165, ""ratio"": 0.9997095465660095}",60.907894134521484,0.9235134738466781,-118.91487121582031,0.007618003990501165,1.560750126838684,0.10406249761581421,40,True,0,,,-107.1245002746582,,,,,,,52.97441180003807,MAPPO-E,40,73600,-107.1245002746582
23,76800,"{""value_loss"": 0.03305221162736416, ""policy_loss"": -0.009124138246988878, ""dist_entropy"": 1.5678082793951034, ""actor_grad_norm"": 0.07130248099565506, ""critic_grad_norm"": 0.05761721730232239, ""ratio"": 0.9990949630737305}",58.871482849121094,0.9181189827923366,-113.92002868652344,0.009044472128152847,1.560718297958374,0.12265624850988388,40,True,0,,,-104.88467931747437,,,,,,,52.97770310007036,MAPPO-E,40,76800,-104.88467931747437
