method,seed,requested_kl,variant,check_episodes,repeats,candidate_p_0,candidate_p_1,actual_kl,exact_return_gain,return_class,direction_gate_applicable,return_accept_rate,return_false_accept_rate,return_false_reject_rate,all_zero_pair_rate,return_check_steps,direction_check_steps,exact_direction_score,direction_accept_rate,direction_false_accept_rate,direction_false_reject_rate,reject_positive_return_rate
SA,1014,0.0003,reversed,512,100,0.29649762227034193,0.6855397436728262,0.00030521626775811285,-0.02403501077061654,negative,True,0.19,0.19,,0.0,1024,512,-0.1778444032535318,0.0,0.0,,
SA,1014,0.0003,near_zero,8,100,0.3000003514182533,0.7000014269287954,3.0263049337110275e-12,2.5332211585071818e-06,positive,True,1.0,,0.0,1.0,16,8,1.2183250815070271e-05,0.73,,0.27,0.27
SA,1014,0.0003,near_zero,32,100,0.3000003514182533,0.7000014269287954,3.0263049337110275e-12,2.5332211585071818e-06,positive,True,0.99,,0.010000000000000009,0.99,64,32,1.2183250815070271e-05,0.83,,0.17000000000000004,0.17000000000000004
SA,1014,0.0003,near_zero,128,100,0.3000003514182533,0.7000014269287954,3.0263049337110275e-12,2.5332211585071818e-06,positive,True,1.0,,0.0,1.0,256,128,1.2183250815070271e-05,0.98,,0.020000000000000018,0.020000000000000018
SA,1014,0.0003,near_zero,512,100,0.3000003514182533,0.7000014269287954,3.0263049337110275e-12,2.5332211585071818e-06,positive,True,1.0,,0.0,1.0,1024,512,1.2183250815070271e-05,1.0,,0.0,0.0
DA,1014,0.0003,original,8,100,0.31288120599384694,0.7099904286573873,0.0003000000000000214,0.02172464912728328,positive,False,0.93,,0.06999999999999995,0.73,16,0,,,,,
DA,1014,0.0003,original,32,100,0.31288120599384694,0.7099904286573873,0.0003000000000000214,0.02172464912728328,positive,False,0.69,,0.31000000000000005,0.23,64,0,,,,,
DA,1014,0.0003,original,128,100,0.31288120599384694,0.7099904286573873,0.0003000000000000214,0.02172464912728328,positive,False,0.69,,0.31000000000000005,0.0,256,0,,,,,
DA,1014,0.0003,original,512,100,0.31288120599384694,0.7099904286573873,0.0003000000000000214,0.02172464912728328,positive,False,0.86,,0.14,0.0,1024,0,,,,,
DA,1014,0.0003,reversed,8,100,0.28742727377084265,0.6898157717118637,0.00029936866627186043,-0.018026849117116328,negative,False,0.79,0.79,,0.64,16,0,,,,,
DA,1014,0.0003,reversed,32,100,0.28742727377084265,0.6898157717118637,0.00029936866627186043,-0.018026849117116328,negative,False,0.45,0.45,,0.17,64,0,,,,,
DA,1014,0.0003,reversed,128,100,0.28742727377084265,0.6898157717118637,0.00029936866627186043,-0.018026849117116328,negative,False,0.32,0.32,,0.0,256,0,,,,,
DA,1014,0.0003,reversed,512,100,0.28742727377084265,0.6898157717118637,0.00029936866627186043,-0.018026849117116328,negative,False,0.24,0.24,,0.0,1024,0,,,,,
DA,1014,0.0003,near_zero,8,100,0.30000127290081424,0.700001008832767,2.9969978224137485e-12,1.987679849990709e-06,positive,False,1.0,,0.0,1.0,16,0,,,,,
DA,1014,0.0003,near_zero,32,100,0.30000127290081424,0.700001008832767,2.9969978224137485e-12,1.987679849990709e-06,positive,False,0.99,,0.010000000000000009,0.99,64,0,,,,,
DA,1014,0.0003,near_zero,128,100,0.30000127290081424,0.700001008832767,2.9969978224137485e-12,1.987679849990709e-06,positive,False,1.0,,0.0,1.0,256,0,,,,,
DA,1014,0.0003,near_zero,512,100,0.30000127290081424,0.700001008832767,2.9969978224137485e-12,1.987679849990709e-06,positive,False,1.0,,0.0,1.0,1024,0,,,,,
