method,seed,requested_kl,variant,check_episodes,repeats,candidate_p_0,candidate_p_1,actual_kl,exact_return_gain,return_class,direction_gate_applicable,return_accept_rate,return_false_accept_rate,return_false_reject_rate,all_zero_pair_rate,return_check_steps,direction_check_steps,exact_direction_score,direction_accept_rate,direction_false_accept_rate,direction_false_reject_rate,reject_positive_return_rate
SA,1017,0.0003,original,32,100,0.30100510637792327,0.7143319850639188,0.0003000000000000011,0.026255005913142893,positive,True,0.74,,0.26,0.29,64,32,0.06604165776423696,0.75,,0.25,0.25
SA,1017,0.0003,original,128,100,0.30100510637792327,0.7143319850639188,0.0003000000000000011,0.026255005913142893,positive,True,0.74,,0.26,0.02,256,128,0.06604165776423696,0.83,,0.17000000000000004,0.17000000000000004
SA,1017,0.0003,original,512,100,0.30100510637792327,0.7143319850639188,0.0003000000000000011,0.026255005913142893,positive,True,0.95,,0.050000000000000044,0.0,1024,512,0.06604165776423696,0.96,,0.040000000000000036,0.040000000000000036
SA,1017,0.0003,reversed,8,100,0.29899681420957425,0.6852657853272851,0.00030556856255309096,-0.02428675982773093,negative,True,0.79,0.79,,0.71,16,8,-0.2072020722344999,0.18,0.18,,
SA,1017,0.0003,reversed,32,100,0.29899681420957425,0.6852657853272851,0.00030556856255309096,-0.02428675982773093,negative,True,0.58,0.58,,0.26,64,32,-0.2072020722344999,0.01,0.01,,
SA,1017,0.0003,reversed,128,100,0.29899681420957425,0.6852657853272851,0.00030556856255309096,-0.02428675982773093,negative,True,0.33,0.33,,0.02,256,128,-0.2072020722344999,0.0,0.0,,
SA,1017,0.0003,reversed,512,100,0.29899681420957425,0.6852657853272851,0.00030556856255309096,-0.02428675982773093,negative,True,0.12,0.12,,0.0,1024,512,-0.2072020722344999,0.0,0.0,,
SA,1017,0.0003,near_zero,8,100,0.30000010041471753,0.7000014536097833,3.0281098514108543e-12,2.5311306488529084e-06,positive,True,1.0,,0.0,1.0,16,8,1.3661480697864494e-05,0.76,,0.24,0.24
SA,1017,0.0003,near_zero,32,100,0.30000010041471753,0.7000014536097833,3.0281098514108543e-12,2.5311306488529084e-06,positive,True,1.0,,0.0,1.0,64,32,1.3661480697864494e-05,0.92,,0.07999999999999996,0.07999999999999996
SA,1017,0.0003,near_zero,128,100,0.30000010041471753,0.7000014536097833,3.0281098514108543e-12,2.5311306488529084e-06,positive,True,1.0,,0.0,0.99,256,128,1.3661480697864494e-05,0.98,,0.020000000000000018,0.020000000000000018
SA,1017,0.0003,near_zero,512,100,0.30000010041471753,0.7000014536097833,3.0281098514108543e-12,2.5311306488529084e-06,positive,True,1.0,,0.0,1.0,1024,512,1.3661480697864494e-05,1.0,,0.0,0.0
DA,1017,0.0003,original,8,100,0.31288119928720043,0.7099904341786677,0.00030000000000002876,0.0217246576051372,positive,False,0.87,,0.13,0.66,16,0,,,,,
DA,1017,0.0003,original,32,100,0.31288119928720043,0.7099904341786677,0.00030000000000002876,0.0217246576051372,positive,False,0.71,,0.29000000000000004,0.23,64,0,,,,,
DA,1017,0.0003,original,128,100,0.31288119928720043,0.7099904341786677,0.00030000000000002876,0.0217246576051372,positive,False,0.6,,0.4,0.0,256,0,,,,,
DA,1017,0.0003,original,512,100,0.31288119928720043,0.7099904341786677,0.00030000000000002876,0.0217246576051372,positive,False,0.89,,0.10999999999999999,0.0,1024,0,,,,,
DA,1017,0.0003,reversed,8,100,0.2874272801601133,0.6898157659742962,0.0002993686732391972,-0.01802685748876559,negative,False,0.82,0.82,,0.7,16,0,,,,,
DA,1017,0.0003,reversed,32,100,0.2874272801601133,0.6898157659742962,0.0002993686732391972,-0.01802685748876559,negative,False,0.56,0.56,,0.16,64,0,,,,,
DA,1017,0.0003,reversed,128,100,0.2874272801601133,0.6898157659742962,0.0002993686732391972,-0.01802685748876559,negative,False,0.31,0.31,,0.01,256,0,,,,,
DA,1017,0.0003,reversed,512,100,0.2874272801601133,0.6898157659742962,0.0002993686732391972,-0.01802685748876559,negative,False,0.23,0.23,,0.0,1024,0,,,,,
DA,1017,0.0003,near_zero,8,100,0.3000012729001591,0.70000100883333,2.9970044490489568e-12,1.98768069725741e-06,positive,False,1.0,,0.0,1.0,16,0,,,,,
DA,1017,0.0003,near_zero,32,100,0.3000012729001591,0.70000100883333,2.9970044490489568e-12,1.98768069725741e-06,positive,False,1.0,,0.0,1.0,64,0,,,,,
DA,1017,0.0003,near_zero,128,100,0.3000012729001591,0.70000100883333,2.9970044490489568e-12,1.98768069725741e-06,positive,False,1.0,,0.0,0.99,256,0,,,,,
DA,1017,0.0003,near_zero,512,100,0.3000012729001591,0.70000100883333,2.9970044490489568e-12,1.98768069725741e-06,positive,False,1.0,,0.0,1.0,1024,0,,,,,
AN,1018,0.0003,original,8,100,0.3021383262099888,0.7142514949422647,0.00030000000000002334,0.02645277572981508,positive,True,0.9,,0.09999999999999998,0.72,16,8,0.06623486680102902,0.62,,0.38,0.38
AN,1018,0.0003,original,32,100,0.3021383262099888,0.7142514949422647,0.00030000000000002334,0.02645277572981508,positive,True,0.73,,0.27,0.34,64,32,0.06623486680102902,0.7,,0.30000000000000004,0.30000000000000004
AN,1018,0.0003,original,128,100,0.3021383262099888,0.7142514949422647,0.00030000000000002334,0.02645277572981508,positive,True,0.73,,0.27,0.01,256,128,0.06623486680102902,0.88,,0.12,0.12
AN,1018,0.0003,original,512,100,0.3021383262099888,0.7142514949422647,0.00030000000000002334,0.02645277572981508,positive,True,0.89,,0.10999999999999999,0.0,1024,512,0.06623486680102902,0.98,,0.020000000000000018,0.020000000000000018
AN,1018,0.0003,reversed,8,100,0.2978703478680529,0.6853508433786933,0.00030546339008563487,-0.024235344284993243,negative,True,0.88,0.88,,0.79,16,8,-0.2170031137923869,0.18,0.18,,
AN,1018,0.0003,reversed,32,100,0.2978703478680529,0.6853508433786933,0.00030546339008563487,-0.024235344284993243,negative,True,0.5,0.5,,0.2,64,32,-0.2170031137923869,0.03,0.03,,
AN,1018,0.0003,reversed,128,100,0.2978703478680529,0.6853508433786933,0.00030546339008563487,-0.024235344284993243,negative,True,0.25,0.25,,0.0,256,128,-0.2170031137923869,0.0,0.0,,
AN,1018,0.0003,reversed,512,100,0.2978703478680529,0.6853508433786933,0.00030546339008563487,-0.024235344284993243,negative,True,0.16,0.16,,0.0,1024,512,-0.2170031137923869,0.0,0.0,,
AN,1018,0.0003,near_zero,8,100,0.3000002133999154,0.7000014453272678,3.02764355455355e-12,2.5385128203936347e-06,positive,True,1.0,,0.0,1.0,16,8,1.4161145188435844e-05,0.79,,0.20999999999999996,0.20999999999999996
AN,1018,0.0003,near_zero,32,100,0.3000002133999154,0.7000014453272678,3.02764355455355e-12,2.5385128203936347e-06,positive,True,1.0,,0.0,1.0,64,32,1.4161145188435844e-05,0.94,,0.06000000000000005,0.06000000000000005
AN,1018,0.0003,near_zero,128,100,0.3000002133999154,0.7000014453272678,3.02764355455355e-12,2.5385128203936347e-06,positive,True,1.0,,0.0,1.0,256,128,1.4161145188435844e-05,0.98,,0.020000000000000018,0.020000000000000018
AN,1018,0.0003,near_zero,512,100,0.3000002133999154,0.7000014453272678,3.02764355455355e-12,2.5385128203936347e-06,positive,True,1.0,,0.0,1.0,1024,512,1.4161145188435844e-05,1.0,,0.0,0.0
SA,1018,0.0003,original,8,100,0.30210070928932586,0.714255104776148,0.0003000000000000041,0.026447916596712806,positive,True,0.9,,0.09999999999999998,0.72,16,8,0.06638078913002048,0.62,,0.38,0.38
SA,1018,0.0003,original,32,100,0.30210070928932586,0.714255104776148,0.0003000000000000041,0.026447916596712806,positive,True,0.73,,0.27,0.34,64,32,0.06638078913002048,0.7,,0.30000000000000004,0.30000000000000004
SA,1018,0.0003,original,128,100,0.30210070928932586,0.714255104776148,0.0003000000000000041,0.026447916596712806,positive,True,0.73,,0.27,0.01,256,128,0.06638078913002048,0.89,,0.10999999999999999,0.10999999999999999
SA,1018,0.0003,original,512,100,0.30210070928932586,0.714255104776148,0.0003000000000000041,0.026447916596712806,positive,True,0.89,,0.10999999999999999,0.0,1024,512,0.06638078913002048,0.99,,0.010000000000000009,0.010000000000000009
SA,1018,0.0003,reversed,8,100,0.2979076628859349,0.6853470292557744,0.00030546821944910096,-0.024238667024844396,negative,True,0.88,0.88,,0.79,16,8,-0.2112797686708915,0.18,0.18,,
SA,1018,0.0003,reversed,32,100,0.2979076628859349,0.6853470292557744,0.00030546821944910096,-0.024238667024844396,negative,True,0.5,0.5,,0.2,64,32,-0.2112797686708915,0.03,0.03,,
SA,1018,0.0003,reversed,128,100,0.2979076628859349,0.6853470292557744,0.00030546821944910096,-0.024238667024844396,negative,True,0.25,0.25,,0.0,256,128,-0.2112797686708915,0.0,0.0,,
SA,1018,0.0003,reversed,512,100,0.2979076628859349,0.6853470292557744,0.00030546821944910096,-0.024238667024844396,negative,True,0.15,0.15,,0.0,1024,512,-0.2112797686708915,0.0,0.0,,
SA,1018,0.0003,near_zero,8,100,0.30000020965326757,0.7000014456986934,3.0276324199348818e-12,2.5384352485557926e-06,positive,True,1.0,,0.0,1.0,16,8,1.3882303395147894e-05,0.79,,0.20999999999999996,0.20999999999999996
SA,1018,0.0003,near_zero,32,100,0.30000020965326757,0.7000014456986934,3.0276324199348818e-12,2.5384352485557926e-06,positive,True,1.0,,0.0,1.0,64,32,1.3882303395147894e-05,0.94,,0.06000000000000005,0.06000000000000005
SA,1018,0.0003,near_zero,128,100,0.30000020965326757,0.7000014456986934,3.0276324199348818e-12,2.5384352485557926e-06,positive,True,1.0,,0.0,1.0,256,128,1.3882303395147894e-05,0.98,,0.020000000000000018,0.020000000000000018
SA,1018,0.0003,near_zero,512,100,0.30000020965326757,0.7000014456986934,3.0276324199348818e-12,2.5384352485557926e-06,positive,True,1.0,,0.0,1.0,1024,512,1.3882303395147894e-05,1.0,,0.0,0.0
DA,1018,0.0003,original,8,100,0.31288120459278346,0.7099904298108197,0.00030000000000002974,0.02172465089836373,positive,False,0.92,,0.07999999999999996,0.69,16,0,,,,,
DA,1018,0.0003,original,32,100,0.31288120459278346,0.7099904298108197,0.00030000000000002974,0.02172465089836373,positive,False,0.72,,0.28,0.23,64,0,,,,,
DA,1018,0.0003,original,128,100,0.31288120459278346,0.7099904298108197,0.00030000000000002974,0.02172465089836373,positive,False,0.71,,0.29000000000000004,0.01,256,0,,,,,
DA,1018,0.0003,original,512,100,0.31288120459278346,0.7099904298108197,0.00030000000000002974,0.02172465089836373,positive,False,0.77,,0.22999999999999998,0.0,1024,0,,,,,
DA,1018,0.0003,reversed,8,100,0.2874272751056041,0.6898157705132476,0.0002993686677273819,-0.01802685086600958,negative,False,0.81,0.81,,0.68,16,0,,,,,
DA,1018,0.0003,reversed,32,100,0.2874272751056041,0.6898157705132476,0.0002993686677273819,-0.01802685086600958,negative,False,0.42,0.42,,0.17,64,0,,,,,
DA,1018,0.0003,reversed,128,100,0.2874272751056041,0.6898157705132476,0.0002993686677273819,-0.01802685086600958,negative,False,0.33,0.33,,0.0,256,0,,,,,
DA,1018,0.0003,reversed,512,100,0.2874272751056041,0.6898157705132476,0.0002993686677273819,-0.01802685086600958,negative,False,0.24,0.24,,0.0,1024,0,,,,,
DA,1018,0.0003,near_zero,8,100,0.30000127290067735,0.7000010088328846,2.997006696989695e-12,1.9876800270712813e-06,positive,False,1.0,,0.0,1.0,16,0,,,,,
DA,1018,0.0003,near_zero,32,100,0.30000127290067735,0.7000010088328846,2.997006696989695e-12,1.9876800270712813e-06,positive,False,1.0,,0.0,1.0,64,0,,,,,
DA,1018,0.0003,near_zero,128,100,0.30000127290067735,0.7000010088328846,2.997006696989695e-12,1.9876800270712813e-06,positive,False,1.0,,0.0,1.0,256,0,,,,,
DA,1018,0.0003,near_zero,512,100,0.30000127290067735,0.7000010088328846,2.997006696989695e-12,1.9876800270712813e-06,positive,False,1.0,,0.0,1.0,1024,0,,,,,
AN,1019,0.0003,original,8,100,0.3032021392942767,0.7141224051932672,0.0003000000000000289,0.026540668450251714,positive,True,0.87,,0.13,0.73,16,8,0.06554431794232478,0.62,,0.38,0.38
AN,1019,0.0003,original,32,100,0.3032021392942767,0.7141224051932672,0.0003000000000000289,0.026540668450251714,positive,True,0.69,,0.31000000000000005,0.26,64,32,0.06554431794232478,0.7,,0.30000000000000004,0.30000000000000004
AN,1019,0.0003,original,128,100,0.3032021392942767,0.7141224051932672,0.0003000000000000289,0.026540668450251714,positive,True,0.73,,0.27,0.01,256,128,0.06554431794232478,0.83,,0.17000000000000004,0.17000000000000004
AN,1019,0.0003,original,512,100,0.3032021392942767,0.7141224051932672,0.0003000000000000289,0.026540668450251714,positive,True,0.87,,0.13,0.0,1024,512,0.06554431794232478,0.98,,0.020000000000000018,0.020000000000000018
AN,1019,0.0003,reversed,8,100,0.29681727315277173,0.6854872031934182,0.00030528628467833884,-0.024095344495721482,negative,True,0.86,0.86,,0.79,16,8,-0.23008791452030863,0.16,0.16,,
AN,1019,0.0003,reversed,32,100,0.29681727315277173,0.6854872031934182,0.00030528628467833884,-0.024095344495721482,negative,True,0.55,0.55,,0.3,64,32,-0.23008791452030863,0.03,0.03,,
AN,1019,0.0003,reversed,128,100,0.29681727315277173,0.6854872031934182,0.00030528628467833884,-0.024095344495721482,negative,True,0.28,0.28,,0.0,256,128,-0.23008791452030863,0.0,0.0,,
AN,1019,0.0003,reversed,512,100,0.29681727315277173,0.6854872031934182,0.00030528628467833884,-0.024095344495721482,negative,True,0.11,0.11,,0.0,1024,512,-0.23008791452030863,0.0,0.0,,
AN,1019,0.0003,near_zero,8,100,0.30000031924660125,0.7000014320467226,3.0266613873251437e-12,2.535887668519976e-06,positive,True,1.0,,0.0,1.0,16,8,1.4780788905148782e-05,0.84,,0.16000000000000003,0.16000000000000003
AN,1019,0.0003,near_zero,32,100,0.30000031924660125,0.7000014320467226,3.0266613873251437e-12,2.535887668519976e-06,positive,True,1.0,,0.0,1.0,64,32,1.4780788905148782e-05,0.87,,0.13,0.13
AN,1019,0.0003,near_zero,128,100,0.30000031924660125,0.7000014320467226,3.0266613873251437e-12,2.535887668519976e-06,positive,True,1.0,,0.0,1.0,256,128,1.4780788905148782e-05,0.99,,0.010000000000000009,0.010000000000000009
AN,1019,0.0003,near_zero,512,100,0.30000031924660125,0.7000014320467226,3.0266613873251437e-12,2.535887668519976e-06,positive,True,1.0,,0.0,1.0,1024,512,1.4780788905148782e-05,1.0,,0.0,0.0
SA,1019,0.0003,original,8,100,0.303092315212507,0.7141381643952202,0.00030000000000000843,0.026536072477806205,positive,True,0.87,,0.13,0.73,16,8,0.06532009781125286,0.62,,0.38,0.38
SA,1019,0.0003,original,32,100,0.303092315212507,0.7141381643952202,0.00030000000000000843,0.026536072477806205,positive,True,0.7,,0.30000000000000004,0.27,64,32,0.06532009781125286,0.7,,0.30000000000000004,0.30000000000000004
SA,1019,0.0003,original,128,100,0.303092315212507,0.7141381643952202,0.00030000000000000843,0.026536072477806205,positive,True,0.72,,0.28,0.01,256,128,0.06532009781125286,0.82,,0.18000000000000005,0.18000000000000005
SA,1019,0.0003,original,512,100,0.303092315212507,0.7141381643952202,0.00030000000000000843,0.026536072477806205,positive,True,0.87,,0.13,0.0,1024,512,0.06532009781125286,0.98,,0.020000000000000018,0.020000000000000018
SA,1019,0.0003,reversed,8,100,0.29692579225298343,0.6854705601589841,0.00030530828727041607,-0.024113924534200637,negative,True,0.86,0.86,,0.79,16,8,-0.23472798791698596,0.16,0.16,,
SA,1019,0.0003,reversed,32,100,0.29692579225298343,0.6854705601589841,0.00030530828727041607,-0.024113924534200637,negative,True,0.55,0.55,,0.3,64,32,-0.23472798791698596,0.03,0.03,,
SA,1019,0.0003,reversed,128,100,0.29692579225298343,0.6854705601589841,0.00030530828727041607,-0.024113924534200637,negative,True,0.28,0.28,,0.0,256,128,-0.23472798791698596,0.0,0.0,,
SA,1019,0.0003,reversed,512,100,0.29692579225298343,0.6854705601589841,0.00030530828727041607,-0.024113924534200637,negative,True,0.11,0.11,,0.0,1024,512,-0.23472798791698596,0.0,0.0,,
SA,1019,0.0003,near_zero,8,100,0.3000003083291187,0.7000014336678112,3.026796556631108e-12,2.5365926459852695e-06,positive,True,1.0,,0.0,1.0,16,8,1.5001557246961414e-05,0.84,,0.16000000000000003,0.16000000000000003
SA,1019,0.0003,near_zero,32,100,0.3000003083291187,0.7000014336678112,3.026796556631108e-12,2.5365926459852695e-06,positive,True,1.0,,0.0,1.0,64,32,1.5001557246961414e-05,0.87,,0.13,0.13
SA,1019,0.0003,near_zero,128,100,0.3000003083291187,0.7000014336678112,3.026796556631108e-12,2.5365926459852695e-06,positive,True,1.0,,0.0,1.0,256,128,1.5001557246961414e-05,0.99,,0.010000000000000009,0.010000000000000009
SA,1019,0.0003,near_zero,512,100,0.3000003083291187,0.7000014336678112,3.026796556631108e-12,2.5365926459852695e-06,positive,True,1.0,,0.0,1.0,1024,512,1.5001557246961414e-05,1.0,,0.0,0.0
DA,1019,0.0003,original,8,100,0.3128812062710353,0.7099904284291901,0.0003000000000000037,0.0217246487768894,positive,False,0.81,,0.18999999999999995,0.66,16,0,,,,,
DA,1019,0.0003,original,32,100,0.3128812062710353,0.7099904284291901,0.0003000000000000037,0.0217246487768894,positive,False,0.63,,0.37,0.19,64,0,,,,,
DA,1019,0.0003,original,128,100,0.3128812062710353,0.7099904284291901,0.0003000000000000037,0.0217246487768894,positive,False,0.71,,0.29000000000000004,0.0,256,0,,,,,
DA,1019,0.0003,original,512,100,0.3128812062710353,0.7099904284291901,0.0003000000000000037,0.0217246487768894,positive,False,0.8,,0.19999999999999996,0.0,1024,0,,,,,
DA,1019,0.0003,reversed,8,100,0.2874272735067716,0.6898157719490001,0.00029936866598388387,-0.018026848771111936,negative,False,0.86,0.86,,0.71,16,0,,,,,
DA,1019,0.0003,reversed,32,100,0.2874272735067716,0.6898157719490001,0.00029936866598388387,-0.018026848771111936,negative,False,0.56,0.56,,0.28,64,0,,,,,
DA,1019,0.0003,reversed,128,100,0.2874272735067716,0.6898157719490001,0.00029936866598388387,-0.018026848771111936,negative,False,0.33,0.33,,0.01,256,0,,,,,
DA,1019,0.0003,reversed,512,100,0.2874272735067716,0.6898157719490001,0.00029936866598388387,-0.018026848771111936,negative,False,0.18,0.18,,0.0,1024,0,,,,,
DA,1019,0.0003,near_zero,8,100,0.30000127290084133,0.7000010088327437,2.9970044847090438e-12,1.9876798150741948e-06,positive,False,1.0,,0.0,1.0,16,0,,,,,
DA,1019,0.0003,near_zero,32,100,0.30000127290084133,0.7000010088327437,2.9970044847090438e-12,1.9876798150741948e-06,positive,False,1.0,,0.0,1.0,64,0,,,,,
DA,1019,0.0003,near_zero,128,100,0.30000127290084133,0.7000010088327437,2.9970044847090438e-12,1.9876798150741948e-06,positive,False,1.0,,0.0,1.0,256,0,,,,,
DA,1019,0.0003,near_zero,512,100,0.30000127290084133,0.7000010088327437,2.9970044847090438e-12,1.9876798150741948e-06,positive,False,1.0,,0.0,1.0,1024,0,,,,,
