experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,return_check_gain,return_check_mode,return_check_standard_error,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,direction_status
P-T,AN,45,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.1434902037346312,0.0717451018673156,0.14079999999999998,0.1558193630513389,0.015019363051338913,2064,2048,0,16,True,accepted_empirical,0.1,1,7.483478030627894e-09,-0.07525698300577799,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3022763581044364,0.7160964178967694,0.0003964555001069018,1.560152149022835e-06,0.00044774163446651555,0.00044775621519941,0.0610701317820245,specified_source_logit_path_through_finite_candidate,
P-T,AN,45,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2869804074692624,0.0717451018673156,0.28159999999999996,0.3116387261026778,0.030038726102677826,2064,2048,0,16,True,accepted_empirical,0.1,1,7.483478030627894e-09,-0.07525698300577799,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3022763581044364,0.7160964178967694,0.0003964555001069018,1.560152149022835e-06,0.00044774163446651555,0.00044775621519941,0.0610701317820245,specified_source_logit_path_through_finite_candidate,
P-T,AN,45,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.4304706112038936,0.0717451018673156,0.42239999999999994,0.4674580891540167,0.04505808915401677,2064,2048,0,16,True,accepted_empirical,0.1,1,7.483478030627894e-09,-0.07525698300577799,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3022763581044364,0.7160964178967694,0.0003964555001069018,1.560152149022835e-06,0.00044774163446651555,0.00044775621519941,0.0610701317820245,specified_source_logit_path_through_finite_candidate,
P-T,AN,45,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.09774407279476867,0.048872036397384334,0.13226666666666667,0.14218116321293928,0.009914496546272605,2064,2048,0,16,True,accepted_empirical,0.1,1,7.483478030627894e-09,-0.07525698300577799,100,5.0,0.0,empirical,0.0,-0.04666666666666674,0.2533333333333333,0.3022763581044364,0.7160964178967694,0.0003964555001069018,1.560152149022835e-06,0.012743205907662444,0.014142410131099407,0.011448805550724424,specified_source_logit_path_through_finite_candidate,
P-T,AN,45,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2869804074692624,0.0717451018673156,0.28159999999999996,0.3116387261026778,0.030038726102677826,2064,2048,0,16,True,accepted_empirical,0.1,1,7.483478030627894e-09,-0.07525698300577799,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3022763581044364,0.7160964178967694,0.0003964555001069018,1.560152149022835e-06,0.00044774163446651555,0.00044775621519941,0.0610701317820245,specified_source_logit_path_through_finite_candidate,
P-T,AN,45,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.5677090040234811,0.09461816733724686,0.44799999999999984,0.5083726886692156,0.060372688669215746,2064,2048,0,16,True,accepted_empirical,0.1,1,7.483478030627894e-09,-0.07525698300577799,100,5.0,0.0,empirical,0.0,0.16666666666666632,0.46666666666666634,0.3022763581044364,0.7160964178967694,0.0003964555001069018,1.560152149022835e-06,0.007266944027937203,0.0141424101310994,0.07805351408568381,specified_source_logit_path_through_finite_candidate,
P-T,AN,45,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.0037065064142079215,-0.0018532532071039607,0.1248,0.12489699031810875,9.69903181087528e-05,2064,2048,0,16,True,accepted_empirical,0.1,1,7.483478030627894e-09,-0.07525698300577799,100,5.0,0.0,empirical,0.0,-0.26,0.03999999999999998,0.3022763581044364,0.7160964178967694,0.0003964555001069018,1.560152149022835e-06,0.09074010678410671,0.10188912081720328,-0.024773635993308327,specified_source_logit_path_through_finite_candidate,
P-T,AN,45,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2869804074692624,0.0717451018673156,0.28159999999999996,0.3116387261026778,0.030038726102677826,2064,2048,0,16,True,accepted_empirical,0.1,1,7.483478030627894e-09,-0.07525698300577799,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3022763581044364,0.7160964178967694,0.0003964555001069018,1.560152149022835e-06,0.00044774163446651555,0.00044775621519941,0.0610701317820245,specified_source_logit_path_through_finite_candidate,
P-T,AN,45,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.011119519242623764,-0.0018532532071039607,0.3744,0.37469097095432624,0.00029097095432623066,2064,2048,0,16,True,accepted_empirical,0.1,1,7.483478030627894e-09,-0.07525698300577799,100,5.0,0.0,empirical,0.0,-0.26,0.03999999999999998,0.3022763581044364,0.7160964178967694,0.0003964555001069018,1.560152149022835e-06,0.09074010678410671,0.10188912081720328,-0.024773635993308327,specified_source_logit_path_through_finite_candidate,
P-T,SA,45,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.145313102796514,0.072656551398257,0.14079999999999998,0.1560170965783185,0.015217096578318517,2064,2048,0,16,True,accepted_empirical,0.1,1,7.1897291179570735e-09,-0.07622374089096326,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3022838610483755,0.7162998249428463,0.0005491841141468861,1.4996109964388205e-06,0.0006080052035537058,0.0006080792837395851,0.06016763062482784,specified_source_logit_path_through_finite_candidate,
