kind,truth_class,sample_size,mode,metric,count,events,mean,std,ci_low,ci_high,ci_method
return,-1,128,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,-1,128,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,-1,512,empirical,accepted,200,55,0.275,0.4476347667709811,0.21779700329307355,0.34068339357669647,wilson_95
return,-1,512,empirical,false_accept,200,55,0.275,0.4476347667709811,0.21779700329307355,0.34068339357669647,wilson_95
return,-1,512,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,-1,512,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,-1,2048,empirical,accepted,200,21,0.105,0.3073226906378774,0.06970748792681017,0.1551803199112304,wilson_95
return,-1,2048,empirical,false_accept,200,21,0.105,0.3073226906378774,0.06970748792681017,0.1551803199112304,wilson_95
return,-1,2048,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,-1,2048,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,-1,8192,empirical,accepted,200,1,0.005,0.07071067811865477,0.0008831687156009814,0.02777370439789293,wilson_95
return,-1,8192,empirical,false_accept,200,1,0.005,0.07071067811865477,0.0008831687156009814,0.02777370439789293,wilson_95
return,-1,8192,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,-1,8192,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,0,128,empirical,accepted,200,87,0.435,0.4970010565896779,0.36815725502699076,0.504292637402054,wilson_95
return,0,128,empirical,false_accept,200,87,0.435,0.4970010565896779,0.36815725502699076,0.504292637402054,wilson_95
return,0,128,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,0,128,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,0,512,empirical,accepted,200,105,0.525,0.5006277466376765,0.4559739601468475,0.5930837735342891,wilson_95
return,0,512,empirical,false_accept,200,105,0.525,0.5006277466376765,0.4559739601468475,0.5930837735342891,wilson_95
return,0,512,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,0,512,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,0,2048,empirical,accepted,200,98,0.49,0.5011544461485624,0.42156278331213176,0.5588141232154135,wilson_95
return,0,2048,empirical,false_accept,200,98,0.49,0.5011544461485624,0.42156278331213176,0.5588141232154135,wilson_95
return,0,2048,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,0,2048,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,0,8192,empirical,accepted,200,99,0.495,0.5012296437551299,0.4264584535990475,0.5637299996647251,wilson_95
return,0,8192,empirical,false_accept,200,99,0.495,0.5012296437551299,0.4264584535990475,0.5637299996647251,wilson_95
return,0,8192,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,0,8192,hoeffding,false_accept,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,1,128,empirical,accepted,200,115,0.575,0.4955835096887071,0.5057093264785485,0.6414638745648614,wilson_95
return,1,128,empirical,false_reject,200,85,0.425,0.4955835096887071,0.3585361254351385,0.49429067352145145,wilson_95
return,1,128,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,1,128,hoeffding,false_reject,200,200,1.0,0.0,0.9811546736227335,1.0,wilson_95
return,1,512,empirical,accepted,200,136,0.68,0.46764673348231933,0.6124810156588646,0.7407346668453195,wilson_95
return,1,512,empirical,false_reject,200,64,0.32,0.4676467334823193,0.25926533315468053,0.38751898434113546,wilson_95
return,1,512,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,1,512,hoeffding,false_reject,200,200,1.0,0.0,0.9811546736227335,1.0,wilson_95
return,1,2048,empirical,accepted,200,171,0.855,0.3529844046834771,0.7995133246921847,0.8971064935799559,wilson_95
return,1,2048,empirical,false_reject,200,29,0.145,0.3529844046834771,0.10289350642004402,0.20048667530781522,wilson_95
return,1,2048,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,1,2048,hoeffding,false_reject,200,200,1.0,0.0,0.9811546736227335,1.0,wilson_95
return,1,8192,empirical,accepted,200,199,0.995,0.07071067811865477,0.9722262956021069,0.9991168312843989,wilson_95
return,1,8192,empirical,false_reject,200,1,0.005,0.07071067811865477,0.0008831687156009814,0.02777370439789293,wilson_95
return,1,8192,hoeffding,accepted,200,0,0.0,0.0,1.734723475976807e-18,0.018845326377266575,wilson_95
return,1,8192,hoeffding,false_reject,200,200,1.0,0.0,0.9811546736227335,1.0,wilson_95
