kind,condition,n_agents,metric,planned,failed,incomplete,count,mean,std,ci_low,ci_high
condition,no_direction_check,4,evaluation_seconds,3,0,0,3,9.318105433136225,0.051417348351521924,9.259251999668777,9.354310699738562
condition,no_direction_check,4,optimizer_steps,3,0,0,3,9936.0,0.0,9936.0,9936.0
condition,no_direction_check,4,coverage_cost,3,0,0,0,,,,
condition,no_direction_check,4,fit_kl_after,3,0,0,3,4.804585407782724e-06,5.421296251632916e-07,4.275209143997927e-06,5.358626453926263e-06
condition,no_direction_check,4,coverage_reached,3,0,0,3,0.0,0.0,0.0,0.0
condition,no_return_check,4,J,3,0,0,3,-74.10878019778343,1.4386220621998023,-75.7695458545733,-73.24635813143718
condition,no_return_check,4,AUC,3,0,0,3,-84.89799478783236,3.640407162915627,-88.50767718938302,-81.22762175088832
condition,no_return_check,4,coverage,3,0,0,3,0.0375,0.02165063509461097,0.012500000000000002,0.05000000000000001
condition,no_return_check,4,distance,3,0,0,3,0.5762262278136757,0.025985725428143428,0.5493265383820376,0.6011896713321248
condition,no_return_check,4,all_covered,3,0,0,3,0.0,0.0,0.0,0.0
condition,no_return_check,4,collision_pairs,3,0,0,3,0.14033333333333334,0.022143471573656474,0.11500000000000003,0.15599999999999997
condition,no_return_check,4,collisions_per_agent,3,0,0,3,0.07016666666666667,0.011071735786828237,0.057500000000000016,0.07799999999999999
condition,no_return_check,4,source_steps,3,0,0,3,199200.0,0.0,199200.0,199200.0
condition,no_return_check,4,unused_budget,3,0,0,3,800.0,0.0,800.0,800.0
condition,no_return_check,4,train_seconds,3,0,0,3,225.46223626720408,1.3086435690795672,224.57151409890503,226.96472009969875
condition,no_return_check,4,evaluation_seconds,3,0,0,3,9.310834566907337,0.02748564898801889,9.27999520022422,9.332747400272638
condition,no_return_check,4,optimizer_steps,3,0,0,3,11341.333333333334,242.30008942081167,11064.0,11512.0
condition,no_return_check,4,coverage_cost,3,0,0,0,,,,
condition,no_return_check,4,fit_kl_after,3,0,0,3,6.642833992095095e-06,2.529168892462649e-07,6.473584552521869e-06,6.933572571845368e-06
condition,no_return_check,4,coverage_reached,3,0,0,3,0.0,0.0,0.0,0.0
condition,ours,4,J,3,0,0,3,-79.6225575296226,3.454694132145216,-81.85621009567896,-75.64338802690692
condition,ours,4,AUC,3,0,0,3,-90.07706975615496,5.188892532850386,-95.4812455537733,-85.13427467460245
condition,ours,4,coverage,3,0,0,3,0.020833333333333332,0.014433756729740642,0.012500000000000002,0.0375
condition,ours,4,distance,3,0,0,3,0.6357175534303116,0.05369591294560344,0.5761522750339534,0.6804077167098089
condition,ours,4,all_covered,3,0,0,3,0.0,0.0,0.0,0.0
condition,ours,4,collision_pairs,3,0,0,3,0.10166666666666668,0.020762546407734627,0.08749999999999998,0.12550000000000003
condition,ours,4,collisions_per_agent,3,0,0,3,0.05083333333333334,0.010381273203867314,0.04374999999999999,0.06275000000000001
condition,ours,4,source_steps,3,0,0,3,197600.0,800.0,196800.0,198400.0
condition,ours,4,unused_budget,3,0,0,3,2400.0,800.0,1600.0,3200.0
condition,ours,4,train_seconds,3,0,0,3,205.01185159975043,2.955689967064892,201.76182809984311,207.53914579935372
condition,ours,4,evaluation_seconds,3,0,0,3,9.311232699857404,0.2164803912963833,9.09160659974441,9.524423900060356
condition,ours,4,optimizer_steps,3,0,0,3,8333.333333333334,20.13289182738867,8312.0,8352.0
condition,ours,4,coverage_cost,3,0,0,0,,,,
condition,ours,4,fit_kl_after,3,0,0,3,6.214332196600097e-06,5.224014083928386e-07,5.8418654791034165e-06,6.811484817197717e-06
condition,ours,4,coverage_reached,3,0,0,3,0.0,0.0,0.0,0.0
condition,sampled,4,J,3,0,0,3,-84.91994438597557,1.961458464220392,-87.14835763897982,-83.4550953672302
condition,sampled,4,AUC,3,0,0,3,-94.50551894896859,6.007659114687275,-101.42678990462747,-90.63994605986461
condition,sampled,4,coverage,3,0,0,3,0.004166666666666667,0.0072168783648703235,0.0,0.012500000000000002
condition,sampled,4,distance,3,0,0,3,0.6479443819844627,0.11239625184292062,0.5287178019826024,0.751961324922198
condition,sampled,4,all_covered,3,0,0,3,0.0,0.0,0.0,0.0
condition,sampled,4,collision_pairs,3,0,0,3,0.09999999999999999,0.013702189606044728,0.08449999999999998,0.1105
condition,sampled,4,collisions_per_agent,3,0,0,3,0.049999999999999996,0.006851094803022364,0.04224999999999999,0.05525
condition,sampled,4,source_steps,3,0,0,3,198133.33333333334,923.7604307034012,197600.0,199200.0
condition,sampled,4,unused_budget,3,0,0,3,1866.6666666666667,923.7604307034013,800.0,2400.0
condition,sampled,4,train_seconds,3,0,0,3,205.47723903134465,0.6487715032813257,204.77327909786254,206.05110809765756
condition,sampled,4,evaluation_seconds,3,0,0,3,9.272452233669659,0.04431976309660442,9.223701700102538,9.310310100670904
condition,sampled,4,optimizer_steps,3,0,0,3,8397.333333333334,56.19015334854794,8344.0,8456.0
condition,sampled,4,coverage_cost,3,0,0,0,,,,
condition,sampled,4,fit_kl_after,3,0,0,3,6.451012327719428e-06,1.0572912054864891e-06,5.34751899098849e-06,7.455076953988282e-06
condition,sampled,4,coverage_reached,3,0,0,3,0.0,0.0,0.0,0.0
paired_difference,ours - fit_quarter,4,J,,,,3,5.126377319767248,6.98172361038677,-0.32207665990732437,12.996498449145136
paired_difference,ours - fit_quarter,4,AUC,,,,3,-1.6238737149888844,4.582440918818867,-4.666484971990883,3.6465187794754854
paired_difference,ours - ippo,4,J,,,,3,-18.380269614982947,6.774949568521939,-26.198441437591935,-14.232261812388018
paired_difference,ours - ippo,4,AUC,,,,3,-20.83260943302767,5.533823443393086,-26.043198837933645,-15.024110016111663
paired_difference,ours - mappo,4,J,,,,3,-19.324294759146003,6.191518501028818,-26.465482094174007,-15.457924261726632
paired_difference,ours - mappo,4,AUC,,,,3,-18.38612517157672,4.202742706070576,-23.228089303956764,-15.683037169631561
paired_difference,ours - no_direction_check,4,J,,,,3,1.1996964797171092,2.773663125237457,-1.9964649936314345,2.9756001887933365
paired_difference,ours - no_direction_check,4,AUC,,,,3,-1.9473125028485943,1.0249160088045515,-2.5792130715714165,-0.7647717278056376
paired_difference,ours - no_return_check,4,J,,,,3,-5.513777331839165,2.8734596198899895,-8.057637858942087,-2.3970298954697427
paired_difference,ours - no_return_check,4,AUC,,,,3,-5.179074968322581,4.390484459810073,-8.388067289200777,-0.17558925137667813
paired_difference,ours - sampled,4,J,,,,3,5.297386856352968,2.511704925819336,2.7883056854347643,7.811707340323281
paired_difference,ours - sampled,4,AUC,,,,3,4.42844919281364,2.2574839850486312,1.8341318423245951,5.945544350854163
