experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,direction_status
P-T,AN,46,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.11657336570398304,0.05828668285199152,0.14079999999999998,0.14676058766617425,0.005960587666174272,2208,2048,32,128,True,accepted_empirical,0.05,2,1.3215339383775016e-09,-0.0516127892383827,100,5.0,0.205836575408896,empirical,0.13749999999999998,empirical,0.13749999999999998,0.059999999999999803,0.3599999999999998,0.30165179756602006,0.7065216048255404,0.0011802746223216842,1.0675623468904493e-06,0.0012516601431757672,0.001252335613823137,0.05740027390220177,specified_source_logit_path_through_finite_candidate,
P-T,AN,46,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.23314673140796607,0.05828668285199152,0.28159999999999996,0.2935211753323485,0.011921175332348544,2208,2048,32,128,True,accepted_empirical,0.05,2,1.3215339383775016e-09,-0.0516127892383827,100,5.0,0.205836575408896,empirical,0.13749999999999998,empirical,0.13749999999999998,0.059999999999999803,0.3599999999999998,0.30165179756602006,0.7065216048255404,0.0011802746223216842,1.0675623468904493e-06,0.0012516601431757672,0.001252335613823137,0.05740027390220177,specified_source_logit_path_through_finite_candidate,
P-T,AN,46,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.3497200971119491,0.05828668285199152,0.42239999999999994,0.4402817629985228,0.017881762998522843,2208,2048,32,128,True,accepted_empirical,0.05,2,1.3215339383775016e-09,-0.0516127892383827,100,5.0,0.205836575408896,empirical,0.13749999999999998,empirical,0.13749999999999998,0.059999999999999803,0.3599999999999998,0.30165179756602006,0.7065216048255404,0.0011802746223216842,1.0675623468904493e-06,0.0012516601431757672,0.001252335613823137,0.05740027390220177,specified_source_logit_path_through_finite_candidate,
P-T,AN,46,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.07734201838590592,0.03867100919295296,0.13226666666666667,0.13616425102585555,0.0038975843591888826,2208,2048,32,128,True,accepted_empirical,0.05,2,1.3215339383775016e-09,-0.0516127892383827,100,5.0,0.205836575408896,empirical,0.13749999999999998,empirical,0.13749999999999998,-0.04666666666666674,0.2533333333333333,0.30165179756602006,0.7065216048255404,0.0011802746223216842,1.0675623468904493e-06,0.007032340794586304,0.0177289142547062,0.008861115494021559,specified_source_logit_path_through_finite_candidate,
P-T,AN,46,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.23314673140796607,0.05828668285199152,0.28159999999999996,0.2935211753323485,0.011921175332348544,2208,2048,32,128,True,accepted_empirical,0.05,2,1.3215339383775016e-09,-0.0516127892383827,100,5.0,0.205836575408896,empirical,0.13749999999999998,empirical,0.13749999999999998,0.059999999999999803,0.3599999999999998,0.30165179756602006,0.7065216048255404,0.0011802746223216842,1.0675623468904493e-06,0.0012516601431757672,0.001252335613823137,0.05740027390220177,specified_source_logit_path_through_finite_candidate,
P-T,AN,46,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.4674141390661805,0.07790235651103009,0.44799999999999984,0.4720707729194789,0.024070772919479066,2208,2048,32,128,True,accepted_empirical,0.05,2,1.3215339383775016e-09,-0.0516127892383827,100,5.0,0.205836575408896,empirical,0.13749999999999998,empirical,0.13749999999999998,0.16666666666666632,0.46666666666666634,0.30165179756602006,0.7065216048255404,0.0011802746223216842,1.0675623468904493e-06,0.014585646158431846,0.017728914254706185,0.0731434095578381,specified_source_logit_path_through_finite_candidate,
P-T,AN,46,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.012181651357324316,-0.006090825678662158,0.1248,0.12429032492732528,-0.0005096750726747146,2208,2048,32,128,True,accepted_empirical,0.05,2,1.3215339383775016e-09,-0.0516127892383827,100,5.0,0.205836575408896,empirical,0.13749999999999998,empirical,0.13749999999999998,-0.26,0.03999999999999998,0.30165179756602006,0.7065216048255404,0.0011802746223216842,1.0675623468904493e-06,0.08271458855561835,0.11331743403370026,-0.028015396243243618,specified_source_logit_path_through_finite_candidate,
P-T,AN,46,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.23314673140796607,0.05828668285199152,0.28159999999999996,0.2935211753323485,0.011921175332348544,2208,2048,32,128,True,accepted_empirical,0.05,2,1.3215339383775016e-09,-0.0516127892383827,100,5.0,0.205836575408896,empirical,0.13749999999999998,empirical,0.13749999999999998,0.059999999999999803,0.3599999999999998,0.30165179756602006,0.7065216048255404,0.0011802746223216842,1.0675623468904493e-06,0.0012516601431757672,0.001252335613823137,0.05740027390220177,specified_source_logit_path_through_finite_candidate,
P-T,AN,46,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,-0.036544954071972946,-0.006090825678662158,0.3744,0.3728709747819759,-0.001529025218024116,2208,2048,32,128,True,accepted_empirical,0.05,2,1.3215339383775016e-09,-0.0516127892383827,100,5.0,0.205836575408896,empirical,0.13749999999999998,empirical,0.13749999999999998,-0.26,0.03999999999999998,0.30165179756602006,0.7065216048255404,0.0011802746223216842,1.0675623468904493e-06,0.08271458855561835,0.11331743403370026,-0.028015396243243618,specified_source_logit_path_through_finite_candidate,
P-T,SA,46,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.11862835559901752,0.05931417779950876,0.14079999999999998,0.14686854759549392,0.006068547595493939,2208,2048,32,128,True,accepted_empirical,0.05,2,1.934219297728595e-09,-0.05266887124473393,100,5.0,0.20852843277242736,empirical,0.13749999999999998,empirical,0.13749999999999998,0.059999999999999803,0.3599999999999998,0.3017019249849239,0.7066335320487634,0.0009608668793350028,1.5619527353402838e-06,0.0010395044987179885,0.0010399098917036546,0.05821036059478041,specified_source_logit_path_through_finite_candidate,
