experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-A,DA,mc_raw,table,2048,10,,False,candidate_p_1,0.7587679779895805,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,eta,0.1,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,ideal_return_gain,0.02624840661190414,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,actual_return_gain,0.02617229426011708,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,learned_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,projected_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,realized_path_derivative,0.25314900851420813,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,forward_kl_training,3.5096021816954115e-09,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,forward_kl_validation,3.523656500221737e-09,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,forward_kl_exact,3.487791560511516e-09,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,old_new_kl,0.0003030710480331777,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,direction_realization_residual,7.144168038947031e-07,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,seconds,0.006729000248014927,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,learned_q_0,0.0028363028342749024,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,learned_q_1,0.3495068919309249,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,candidate_p_0,0.3001445036800375,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,100,AN,False,candidate_p_1,0.7144268693653439,,1,,,training_seed_or_data_batch,True
