condition,seed,status,rounds,source_steps,unused_budget,evaluation_steps,AUC,J,distance,coverage,all_covered,collision_pairs,collisions_per_agent,coverage_cost,accepted_rounds,direction_rejections,direction_checks,candidates,return_checks,return_rejections,fit_kl_after,train_seconds,evaluation_seconds,optimizer_steps,optimizer_steps_by_module,actor_parameters,critic_parameters,direction_parameters,algorithm_condition,total_rounds,parent_rounds,parent_source_steps,total_source_steps,initial_J,delta_J,cost_train
direction_epochs_16,40,complete,625,1000000,0,281600,-39.615030688056436,-39.59399624201809,0.20152687177550654,0.26171875,0.0078125,0.17050781249999997,0.08525390624999998,,625,0,0,625,0,0,3.531236325397913e-06,1562.339020098094,302.9829878997989,105000,"{""critic"": 25000, ""direction"": 40000, ""actor_fit"": 40000}",39941,25089,39941,no_checks,6875,6250,10000000,11000000,-39.424957027356,-0.16903921466209226,1000000
direction_epochs_4,40,complete,625,1000000,0,281600,-39.22449564242724,-39.41308773629716,0.2034045629718014,0.2578125,0.0,0.174140625,0.0870703125,,625,0,0,625,0,0,8.649465848066029e-07,1450.8426891015843,296.5063134985976,75000,"{""critic"": 25000, ""direction"": 10000, ""actor_fit"": 40000}",39941,25089,39941,no_checks,6875,6250,10000000,11000000,-39.424957027356,0.0118692910588436,1000000
