suite,condition,seed,dir_count,dir_reject,return_reject,false_reject,bad_candidates,declines,check_fraction,last5_gain,final_return,budget_normalized_auc,seconds,cost_1.95,cost_1.96
suite_20260917_045637_231711,ours,40,30,0,5,0,0,0,0.7619047619047619,2.3931967518819874e-10,1.9626655996307192,1.6357626514027919,95.24742610007524,65536,69632
suite_20260917_045637_231711,ours,41,29,0,11,4,0,0,0.7734375,4.1983261311884235e-10,1.962665599382351,1.636769946202927,87.38554219994694,71680,71680
suite_20260917_045637_231711,ours,42,28,0,11,1,0,0,0.78125,8.899578851639944e-10,1.9626655993302713,1.6376015299455804,82.98642569989897,65536,71680
suite_20260917_045637_231711,ours,43,30,0,6,0,0,0,0.765625,2.2203350269478506e-10,1.9626655996196658,1.6443940740663627,84.55956150009297,65536,69632
suite_20260917_045637_231711,ours,44,30,0,8,2,0,0,0.765625,3.498239475874243e-10,1.9626655995583582,1.6396541197696852,91.52207989990711,65536,69632
suite_20260917_045637_231711,ours,45,29,0,11,5,0,0,0.7734375,7.382396916000289e-10,1.9626655994155466,1.6460094372890863,88.61674450011924,71680,71680
suite_20260917_045637_231711,ours,46,29,0,8,0,0,0,0.7734375,2.895972350813736e-10,1.962665599537213,1.642998594314325,83.41762870014645,65536,69632
suite_20260917_045637_231711,ours,47,29,0,7,4,0,0,0.7734375,3.732718578675076e-10,1.9626655995746929,1.6374402325898678,85.2476715000812,67584,77824
suite_20260917_045637_231711,ours,48,29,0,6,0,0,0,0.7698412698412699,2.6967694743973425e-10,1.9626655995618245,1.647260919978389,90.55465900013223,65536,65536
suite_20260917_045637_231711,ours,49,28,0,11,2,0,0,0.78125,3.958202654530396e-10,1.9626655993229754,1.6405243635825582,90.31242539989762,65536,71680
suite_20260917_045637_231711,fit_quarter,40,30,0,5,0,0,0,0.7619047619047619,1.1872733907125621e-09,1.9626655983357246,1.6357038664917989,60.61656649992801,65536,69632
suite_20260917_045637_231711,fit_quarter,41,29,0,11,4,0,0,0.7734375,2.32152763679494e-09,1.962665597125671,1.6367971298736805,59.46817269991152,71680,71680
suite_20260917_045637_231711,fit_quarter,42,28,0,11,1,0,0,0.78125,4.7697490401787945e-09,1.9626655969471378,1.6374370437312147,57.03958069998771,65536,71680
suite_20260917_045637_231711,fit_quarter,43,30,0,6,0,0,0,0.765625,1.1356926510330823e-09,1.9626655982474508,1.6443363322798985,59.62292789993808,65536,69632
suite_20260917_045637_231711,fit_quarter,44,30,0,8,2,0,0,0.765625,1.8441195237528518e-09,1.9626655979498464,1.6396914735934367,69.10402580001391,65536,69632
suite_20260917_045637_231711,fit_quarter,45,29,0,10,4,0,0,0.7734375,3.029067885407244e-09,1.9626655975425287,1.6466997744172756,61.36693340004422,65536,71680
suite_20260917_045637_231711,fit_quarter,46,29,0,8,0,0,0,0.7734375,1.5347008108790305e-09,1.9626655978419147,1.64285401053787,57.65103189996444,65536,69632
suite_20260917_045637_231711,fit_quarter,47,29,0,7,4,0,0,0.7734375,1.9916401861053146e-09,1.9626655980379328,1.6374591973980124,58.54131990019232,67584,77824
suite_20260917_045637_231711,fit_quarter,48,29,0,6,1,0,0,0.7698412698412699,1.2021799111749942e-09,1.962665598143846,1.6472937038082287,57.17913040006533,65536,65536
suite_20260917_045637_231711,fit_quarter,49,28,0,11,2,0,0,0.78125,1.9796693173645963e-09,1.962665596861048,1.640305398387888,57.54617310012691,65536,71680
suite_20260917_073641_674847,ours,40,36,0,11,0,0,0,0.9644268774703557,7.107030519648561e-10,1.9626655971763296,1.6957404699671224,34.03659799997695,51200,54400
suite_20260917_073641_674847,ours,41,35,0,14,3,0,0,0.9656526005888125,1.2211460731492707e-09,1.962665596991647,1.7038831816219837,32.9161084999796,51200,51200
suite_20260917_073641_674847,ours,42,33,0,18,1,0,0,0.967551622418879,1.339855115745081e-09,1.9626655951435528,1.718457580323605,34.75454040011391,48000,51200
