condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
ours,40,0,0,0,0.38376000000000016
ours,40,6553,6400,2,0.8839895271955969
ours,40,13107,12800,4,1.4929999677638761
ours,40,19660,19200,6,1.792543358449154
ours,40,26214,25600,8,1.9417631872810044
ours,40,32768,32000,10,1.9626614285789539
ours,40,39321,35200,11,1.9626654825099077
ours,40,45875,45696,13,1.9626655691176589
ours,40,52428,50944,14,1.9626655691176589
ours,40,58982,56192,15,1.962665583228156
ours,40,65536,62592,17,1.9626655946473242
ours,40,72089,71040,19,1.9626655964388193
ours,40,78643,77440,21,1.9626655974715186
ours,40,85196,80640,22,1.9626655977982213
ours,40,91750,89088,24,1.9626655980115557
ours,40,98304,95488,26,1.9626655982905783
ours,40,104857,103936,28,1.9626655984573431
ours,40,111411,109184,29,1.9626655985295909
ours,40,117964,117632,31,1.9626655986367771
ours,40,124518,122880,32,1.9626655986863613
ours,40,131072,128128,33,1.9626655986863613
ours,41,0,0,0,0.38376000000000016
ours,41,6553,6400,2,0.8997594078538155
ours,41,13107,12800,4,1.4528345562323361
ours,41,19660,19200,6,1.8097297493638613
ours,41,26214,22400,7,1.9084098304098687
ours,41,32768,30848,9,1.9621765778023448
ours,41,39321,39296,11,1.962665426600608
ours,41,45875,44544,12,1.9626655732975942
ours,41,52428,49792,13,1.962665584045445
ours,41,58982,58240,15,1.9626655935069945
ours,41,65536,63488,16,1.9626655935069945
ours,41,72089,69888,18,1.9626655963323418
ours,41,78643,78336,20,1.962665596838495
ours,41,85196,84736,22,1.9626655977041956
ours,41,91750,87936,23,1.9626655979740995
ours,41,98304,93184,24,1.9626655979740995
ours,41,104857,103680,26,1.9626655980920238
ours,41,111411,110080,28,1.9626655984318506
ours,41,117964,115328,29,1.962665598511979
ours,41,124518,121728,31,1.9626655987153352
ours,41,131072,130176,33,1.9626655987703165
ours,42,0,0,0,0.38375999999999993
ours,42,6553,6400,2,0.9378928687794414
ours,42,13107,12800,4,1.4815753302072308
ours,42,19660,19200,6,1.829760861160913
