condition,seed,status,rounds,source_steps,unused_budget,evaluation_steps,AUC,J,distance,coverage,all_covered,collision_pairs,collisions_per_agent,coverage_cost,accepted_rounds,direction_rejections,direction_checks,candidates,return_checks,return_rejections,fit_kl_after,train_seconds,evaluation_seconds,optimizer_steps,optimizer_steps_by_module,actor_parameters,critic_parameters,direction_parameters,cost_train,cost_direction_check,cost_return_old,cost_return_candidate
ours,40,complete,591,1997600,2400,12000,-77.43617699811223,-68.23000828717404,0.5175668044611629,0.025,0.0,0.16649999999999998,0.08324999999999999,,162,355,591,362,362,200,3.038392088827912e-06,2098.8318118974566,9.410259100142866,84632,"{""critic"": 23640, ""direction"": 37824, ""actor_fit"": 23168}",39941,25089,39941,945600,472800,289600,289600
sampled,40,complete,630,1998400,1600,12000,-73.92251688062741,-60.961089262429255,0.4240464790257302,0.05,0.0,0.168,0.084,,167,421,630,304,304,137,2.7369371389177626e-06,2103.993434996344,9.390545099508017,84976,"{""critic"": 25200, ""direction"": 40320, ""actor_fit"": 19456}",39941,25089,39941,1008000,504000,243200,243200
mappo,40,complete,1250,2000000,0,12000,-57.67913301795126,-34.35439479349796,0.1708566398463979,0.5125,0.05,0.06900000000000002,0.03450000000000001,,1250,0,0,0,0,0,,2167.5913894106634,9.387223899830133,100000,"{""critic"": 50000, ""ppo"": 50000}",39941,25089,0,2000000,,,
ippo,40,complete,1250,2000000,0,12000,-50.649363555681916,-37.606335035614826,0.20051722235249123,0.4875,0.05,0.08600000000000001,0.043000000000000003,,1250,0,0,0,0,0,,2296.967993002385,9.331935899797827,100000,"{""critic"": 50000, ""ppo"": 50000}",39941,39425,0,2000000,,,
no_direction_check,40,complete,499,2000000,0,12000,-73.443656743955,-63.64226276148308,0.4221996830940971,0.0625,0.0,0.176,0.088,,365,0,0,751,751,386,2.8093878279765567e-06,2099.099472799804,9.43942579953,99960,"{""critic"": 19960, ""direction"": 31936, ""actor_fit"": 48064}",39941,25089,39941,798400,,600800,600800
no_return_check,40,complete,833,1999200,800,12000,-73.57146767042437,-65.82266711625677,0.40849543741859173,0.0125,0.0,0.1645,0.08225,,311,522,833,311,0,0,4.248331649639706e-06,2245.380904509686,9.359760300256312,106536,"{""critic"": 33320, ""direction"": 53312, ""actor_fit"": 19904}",39941,25089,39941,1332800,666400,,
fit_quarter,40,complete,593,1997600,2400,12000,-75.21110965980094,-68.72003179889919,0.4977178671761287,0.0375,0.0,0.15199999999999997,0.07599999999999998,,181,356,593,359,359,178,2.0200912281459458e-05,2009.2023445046507,9.34649959905073,67416,"{""critic"": 23720, ""direction"": 37952, ""actor_fit"": 5744}",39941,25089,39941,948800,474400,287200,287200
