target,condition,seed,n_agents,type0_probability,interaction_strength,team_return,per_agent_return,optimal_team_return,optimality_gap_per_agent,action1_type0,action1_type1
source,fit_quarter,100,4,0.6,0.7,1.9626655991422421,0.49066639978556054,1.9626655999999998,2.144394106728953e-10,0.010000000167868596,0.9899999998981039
source,fit_quarter,101,4,0.6,0.7,1.962665599075637,0.49066639976890924,1.9626655999999998,2.3109070212967708e-10,0.010000000163647766,0.9899999998653496
source,fit_quarter,102,4,0.6,0.7,1.9626655994294664,0.4906663998573666,1.9626655999999998,1.4263334957576035e-10,0.01000000009420061,0.9899999999070936
source,fit_quarter,103,4,0.6,0.7,1.962665599376919,0.4906663998442298,1.9626655999999998,1.5577017453693998e-10,0.010000000110739172,0.9899999999098559
source,fit_quarter,104,4,0.6,0.7,1.962665599363161,0.49066639984079025,1.9626655999999998,1.5920970097837994e-10,0.010000000127939215,0.9899999999291069
source,fit_quarter,105,4,0.6,0.7,1.9626655991874582,0.49066639979686455,1.9626655999999998,2.031353973919181e-10,0.010000000122598926,0.9899999998510433
source,fit_quarter,106,4,0.6,0.7,1.9626655993424333,0.49066639983560834,1.9626655999999998,1.6439161143466663e-10,0.01000000010558935,0.9899999998886291
source,fit_quarter,107,4,0.6,0.7,1.9626655994202047,0.49066639985505117,1.9626655999999998,1.4494877520476734e-10,0.010000000110347568,0.9899999999266293
source,fit_quarter,108,4,0.6,0.7,1.9626655993762094,0.49066639984405236,1.9626655999999998,1.5594758817627508e-10,0.010000000127594624,0.9899999999338371
source,fit_quarter,109,4,0.6,0.7,1.962665599192219,0.49066639979805476,1.9626655999999998,2.019451827983687e-10,0.010000000143708011,0.9899999998833393
source,no_direction_check,100,4,0.6,0.7,1.9626655998873694,0.49066639997184236,1.9626655999999998,2.8157587372845683e-11,0.010000000024707403,0.9899999999904566
source,no_direction_check,101,4,0.6,0.7,1.9626655998858589,0.4906663999714647,1.9626655999999998,2.853522973467193e-11,0.010000000022922312,0.9899999999872818
source,no_direction_check,102,4,0.6,0.7,1.9626655998781035,0.4906663999695259,1.9626655999999998,3.047406771372607e-11,0.010000000025206183,0.9899999999874634
source,no_direction_check,103,4,0.6,0.7,1.9626655998719418,0.49066639996798544,1.9626655999999998,3.2014502160393477e-11,0.010000000021742282,0.9899999999800086
source,no_direction_check,104,4,0.6,0.7,1.9626655999080405,0.4906663999770101,1.9626655999999998,2.2989832260122967e-11,0.01000000002141258,0.9899999999939928
source,no_direction_check,105,4,0.6,0.7,1.9626655998563027,0.4906663999640757,1.9626655999999998,3.592426356391343e-11,0.010000000030684601,0.9899999999866181
source,no_direction_check,106,4,0.6,0.7,1.9626655998931994,0.49066639997329986,1.9626655999999998,2.6700086586117777e-11,0.010000000020548301,0.9899999999868044
source,no_direction_check,107,4,0.6,0.7,1.9626655998859057,0.49066639997147643,1.9626655999999998,2.8523516881762134e-11,0.010000000024349984,0.989999999989356
source,no_direction_check,108,4,0.6,0.7,1.9626655998933007,0.4906663999733252,1.9626655999999998,2.6674773501156324e-11,0.01000000002261212,0.989999999989816
source,no_direction_check,109,4,0.6,0.7,1.9626655998378928,0.4906663999594732,1.9626655999999998,4.0526748623648245e-11,0.010000000032246287,0.9899999999814927
source,no_return_check,100,4,0.6,0.7,1.9626655999671634,0.49066639999179085,1.9626655999999998,8.20910006638087e-12,0.010000000007249535,0.9899999999972844
source,no_return_check,101,4,0.6,0.7,1.9626655999661948,0.4906663999915487,1.9626655999999998,8.451239708051617e-12,0.010000000006966232,0.9899999999964885
source,no_return_check,102,4,0.6,0.7,1.96266559996513,0.4906663999912825,1.9626655999999998,8.717471189356729e-12,0.010000000006483463,0.9899999999953671
source,no_return_check,103,4,0.6,0.7,1.9626655999670932,0.4906663999917733,1.9626655999999998,8.226641590169947e-12,0.010000000007394292,0.9899999999974646
source,no_return_check,104,4,0.6,0.7,1.9626655999671763,0.49066639999179407,1.9626655999999998,8.205880419609457e-12,0.01000000000765208,0.9899999999978691
source,no_return_check,105,4,0.6,0.7,1.9626655999664315,0.4906663999916079,1.9626655999999998,8.392064820839096e-12,0.010000000006734087,0.9899999999962491
source,no_return_check,106,4,0.6,0.7,1.9626655999666212,0.4906663999916553,1.9626655999999998,8.344658297687602e-12,0.01000000000724695,0.9899999999970635
source,no_return_check,107,4,0.6,0.7,1.9626655999670195,0.4906663999917549,1.9626655999999998,8.245071292378725e-12,0.010000000007156975,0.9899999999970934
source,no_return_check,108,4,0.6,0.7,1.9626655999661293,0.49066639999153233,1.9626655999999998,8.467615497664838e-12,0.010000000006774883,0.9899999999961869
source,no_return_check,109,4,0.6,0.7,1.9626655999656335,0.4906663999914084,1.9626655999999998,8.591571898364236e-12,0.010000000006460716,0.9899999999955359
source,ours,100,4,0.6,0.7,1.9626655998018818,0.49066639995047046,1.9626655999999998,4.952949161918241e-11,0.010000000044984683,0.9899999999854074
source,ours,101,4,0.6,0.7,1.9626655997921367,0.4906663999480342,1.9626655999999998,5.196576502441985e-11,0.010000000047862482,0.9899999999856471
source,ours,102,4,0.6,0.7,1.9626655998698965,0.49066639996747413,1.9626655999999998,3.252581537438459e-11,0.01000000002672732,0.9899999999863661
source,ours,103,4,0.6,0.7,1.9626655998589064,0.4906663999647266,1.9626655999999998,3.52733398045757e-11,0.01000000003058675,0.9899999999875203
source,ours,104,4,0.6,0.7,1.962665599854999,0.4906663999637498,1.9626655999999998,3.625016953279214e-11,0.010000000034662086,0.9899999999918222
source,ours,105,4,0.6,0.7,1.9626655998151321,0.49066639995378303,1.9626655999999998,4.621691918060833e-11,0.010000000036693027,0.9899999999787776
source,ours,106,4,0.6,0.7,1.9626655998448168,0.4906663999612042,1.9626655999999998,3.879574439480393e-11,0.010000000028757571,0.9899999999792435
source,ours,107,4,0.6,0.7,1.962665599865078,0.4906663999662695,1.9626655999999998,3.373046286725412e-11,0.01000000002834707,0.989999999986768
source,ours,108,4,0.6,0.7,1.9626655998564573,0.4906663999641143,1.9626655999999998,3.588562780265647e-11,0.010000000033258039,0.9899999999903849
source,ours,109,4,0.6,0.7,1.9626655998242084,0.4906663999560521,1.9626655999999998,4.3947845362879434e-11,0.010000000040363643,0.9899999999876975
source,pg,100,4,0.6,0.7,1.9613307556400765,0.49033268891001913,1.9626655999999998,0.0003337110899808149,0.010189380721478439,0.989737901675055
source,pg,101,4,0.6,0.7,1.9613420462967919,0.49033551157419797,1.9626655999999998,0.0003308884258019784,0.010186967047833978,0.9897389505932563
source,pg,102,4,0.6,0.7,1.961352990307196,0.490338247576799,1.9626655999999998,0.00032815242320094473,0.010186368743049415,0.9897424740244795
