round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
1,1992,1892,True,1,1.325338706871946e-09,True,P-L,AN,mc_learned_baseline,46,1992
2,2860,868,False,0,,False,P-L,AN,mc_learned_baseline,46,2860
3,4752,1892,True,1,7.251807900915875e-09,True,P-L,AN,mc_learned_baseline,46,4752
4,6644,1892,True,1,1.8022651924736395e-08,True,P-L,AN,mc_learned_baseline,46,6644
5,8536,1892,True,1,1.5689660109964346e-08,True,P-L,AN,mc_learned_baseline,46,8536
6,10428,1892,True,1,1.871809743999733e-08,True,P-L,AN,mc_learned_baseline,46,10428
7,12320,1892,True,1,9.333245553058791e-09,True,P-L,AN,mc_learned_baseline,46,12320
8,14212,1892,True,1,3.0727083459008495e-08,True,P-L,AN,mc_learned_baseline,46,14212
9,16104,1892,True,1,7.466237829683603e-09,True,P-L,AN,mc_learned_baseline,46,16104
10,17996,1892,True,1,7.953254331900199e-09,True,P-L,AN,mc_learned_baseline,46,17996
11,19888,1892,True,1,3.116290410692724e-08,True,P-L,AN,mc_learned_baseline,46,19888
12,21780,1892,True,1,5.645700589448739e-08,True,P-L,AN,mc_learned_baseline,46,21780
13,23672,1892,True,1,1.8157371183779327e-08,True,P-L,AN,mc_learned_baseline,46,23672
14,25564,1892,True,1,5.2270460765949427e-08,True,P-L,AN,mc_learned_baseline,46,25564
15,27456,1892,True,1,2.453474378245515e-08,True,P-L,AN,mc_learned_baseline,46,27456
16,29348,1892,True,1,1.7007739132802453e-08,True,P-L,AN,mc_learned_baseline,46,29348
17,31240,1892,True,1,7.679894127471928e-08,True,P-L,AN,mc_learned_baseline,46,31240
18,33132,1892,True,1,1.9001063580106213e-08,True,P-L,AN,mc_learned_baseline,46,33132
19,35024,1892,True,1,1.866766128862974e-08,True,P-L,AN,mc_learned_baseline,46,35024
20,36916,1892,True,1,4.9040550328655266e-08,True,P-L,AN,mc_learned_baseline,46,36916
21,38808,1892,True,1,2.2607164094838307e-08,True,P-L,AN,mc_learned_baseline,46,38808
22,40700,1892,True,1,2.6846977039254296e-09,True,P-L,AN,mc_learned_baseline,46,40700
23,42592,1892,True,1,1.2959337335447426e-08,True,P-L,AN,mc_learned_baseline,46,42592
24,44484,1892,True,1,6.3519215482863285e-09,True,P-L,AN,mc_learned_baseline,46,44484
25,46376,1892,True,1,1.214363611473883e-08,True,P-L,AN,mc_learned_baseline,46,46376
26,49292,2916,True,2,7.304066549600611e-10,True,P-L,AN,mc_learned_baseline,46,49292
27,51184,1892,True,1,1.0760004444779806e-09,True,P-L,AN,mc_learned_baseline,46,51184
