condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
ours,46,124518,120832,27,1.9626655994336637
ours,46,131072,131072,29,1.962665599537213
ours,47,0,0,0,0.38376000000000016
ours,47,6553,4096,1,0.5084259514427443
ours,47,13107,12288,3,0.788972672982193
ours,47,19660,16384,4,0.9359697792652762
ours,47,26214,24576,6,1.2349773473328098
ours,47,32768,32768,8,1.5039513218205878
ours,47,39321,36864,9,1.6123472599559334
ours,47,45875,45056,11,1.7797234550219556
ours,47,52428,49152,12,1.837961292887341
ours,47,58982,55296,13,1.8618580473437423
ours,47,65536,63488,15,1.9334875643576768
ours,47,72089,67584,16,1.952483744159775
ours,47,78643,77824,18,1.9626461310251087
ours,47,85196,83968,19,1.9626655743061496
ours,47,91750,88064,20,1.9626655969316817
ours,47,98304,98304,22,1.9626655986312171
ours,47,104857,102400,23,1.962665599000599
ours,47,111411,110592,25,1.962665599342876
ours,47,117964,116736,26,1.9626655994026987
ours,47,124518,122880,27,1.9626655994519424
ours,47,131072,131072,29,1.9626655995746929
ours,48,0,0,0,0.3837600000000002
ours,48,6553,4096,1,0.4978900990306643
ours,48,13107,12288,3,0.7923852087601
ours,48,19660,16384,4,0.9479174816697216
ours,48,26214,24576,6,1.2554328071947816
ours,48,32768,32768,8,1.5264515896950899
ours,48,39321,36864,9,1.633998032925188
ours,48,45875,45056,11,1.7913984265959089
ours,48,52428,49152,12,1.8454022023875962
ours,48,58982,57344,14,1.9205554047559121
ours,48,65536,65536,16,1.9625899720911826
ours,48,72089,69632,17,1.9626655050902015
ours,48,78643,75776,18,1.9626655929397134
ours,48,85196,81920,19,1.962665596308823
ours,48,91750,90112,21,1.9626655986882515
ours,48,98304,96256,22,1.962665598895327
ours,48,104857,104448,24,1.9626655992921476
ours,48,111411,108544,25,1.9626655993979703
ours,48,117964,114688,26,1.9626655993979703
ours,48,124518,122880,28,1.9626655995352547
ours,48,131072,129024,29,1.9626655995618245
ours,49,0,0,0,0.3837600000000004
ours,49,6553,4096,1,0.5031613508010343
ours,49,13107,12288,3,0.7767220923403158
ours,49,19660,16384,4,0.9174041108593699
ours,49,26214,24576,6,1.2354696700509316
ours,49,32768,32768,8,1.5078749518695151
ours,49,39321,36864,9,1.620687863336185
ours,49,45875,45056,11,1.7789128519055246
ours,49,52428,49152,12,1.8350069008183227
ours,49,58982,57344,14,1.9157163715634575
ours,49,65536,65536,16,1.9574983110868467
ours,49,72089,71680,17,1.9626568859171383
ours,49,78643,77824,18,1.962665584388442
ours,49,85196,83968,19,1.9626655951408412
ours,49,91750,90112,20,1.9626655971502838
ours,49,98304,96256,21,1.9626655980545433
ours,49,104857,100352,22,1.9626655987272361
ours,49,111411,110592,24,1.9626655991777273
ours,49,117964,116736,25,1.9626655991777273
ours,49,124518,122880,26,1.9626655991777273
ours,49,131072,131072,28,1.9626655993229754
fit_quarter,40,0,0,0,0.38376000000000016
fit_quarter,40,6553,4096,1,0.5053245061638489
fit_quarter,40,13107,12288,3,0.7797634357293984
fit_quarter,40,19660,16384,4,0.9218521057241783
fit_quarter,40,26214,24576,6,1.221289622831313
fit_quarter,40,32768,32768,8,1.4866596490165902
fit_quarter,40,39321,36864,9,1.5934269105047265
fit_quarter,40,45875,45056,11,1.7593417013982235
