experiment,method,direction_method,label,seed,actor_class,fit_steps,sample_episodes,source_steps_total,eta,ideal_return_gain,actual_return_gain,learned_direction_derivative,projected_direction_derivative,projection_reference,realized_path_derivative,forward_kl_training,forward_kl_validation,forward_kl_exact,old_new_kl,direction_realization_residual,seconds,learned_q_0,learned_q_1,candidate_p_0,candidate_p_1,direction_status
P-A,AN,AN,mc_raw,41,table,1,2048,2548,0.1,0.035461968745633676,0.012670923553162572,0.3322275580328292,0.3322275580328292,exact_population_Fisher_projection_diagnostic,0.12095984804776115,0.0002091576605825908,0.0002136358082344866,0.0002099748408110397,9.442213112269578e-05,0.043211642647637744,0.0004227999597787857,0.13647582760470767,0.44260106274083144,0.30633752249825813,0.7062619529037862,
P-A,DA,,mc_raw,41,table,1,2048,2548,,,0.012670939807512105,,,,0.01209599849927206,,,,9.442251930497826e-05,,,,,0.30633754722361917,0.7062619580507185,not_applicable
P-A,AN,AN,mc_raw,41,table,10,2048,2548,0.1,0.035461968745633676,0.045296525741756966,0.3322275580328292,0.3322275580328292,exact_population_Fisher_projection_diagnostic,0.4207399417978271,3.62043893668664e-05,3.698031352493363e-05,3.6345981366513835e-05,0.0008216019346657225,0.007570106358198669,0.0009602997452020645,0.13647582760470767,0.44260106274083144,0.30555869309528266,0.7231852134552436,
P-A,DA,,mc_raw,41,table,10,2048,2548,,,0.17576142912975357,,,,0.12050536694658917,,,,0.009334333490635435,,,,,0.36671764914824745,0.7587679792388338,not_applicable
P-A,AN,AN,mc_raw,41,table,100,2048,2548,0.1,0.035461968745633676,0.03531382539252692,0.3322275580328292,0.3322275580328292,exact_population_Fisher_projection_diagnostic,0.3308822278999149,8.415429818311963e-09,8.595545819501116e-09,8.44829770174067e-09,0.0005151222669401532,1.7531802626290289e-06,0.007112100254744291,0.13647582760470767,0.44260106274083144,0.30576689380697064,0.7181787206640001,
P-A,DA,,mc_raw,41,table,100,2048,2548,,,2.8709762542387485,,,,0.9049050824824207,,,,0.5540578142246436,,,,,0.8712699427923367,0.9541024364460967,not_applicable
P-A,AN,AN,mc_raw,41,table,1000,2048,2548,0.1,0.035461968745633676,0.03546196874563373,0.3322275580328292,0.3322275580328292,exact_population_Fisher_projection_diagnostic,0.33222755803283005,2.1047404166238278e-17,2.0375521982756825e-17,2.0924797928376698e-17,0.0005191547993688961,3.323569601309275e-30,0.06411849986761808,0.13647582760470767,0.44260106274083144,0.3057630878469598,0.7182541541690427,
P-A,DA,,mc_raw,41,table,1000,2048,2548,,,4.003071933434645,,,,2.2940896814243077,,,,2.1718421454943764,,,,,0.9969701965949699,0.998391791626345,not_applicable
P-A,AN,AN,mc_raw,41,shared_offset,1,2048,2548,0.1,0.035461968745633676,0.012670931581317268,0.3322275580328292,0.25816974114869823,exact_population_Fisher_projection_diagnostic,0.12095990856079583,0.0002091576506976915,0.00021363579681993143,0.0002099748306470061,9.44224197222926e-05,0.04321164038798493,0.00025589996948838234,0.13647582760470767,0.44260106274083144,0.30633754517178746,0.706261953903733,
P-A,DA,,mc_raw,41,shared_offset,1,2048,2548,,,0.012670940609099124,,,,0.01209599910144874,,,,9.442254839658256e-05,,,,,0.30633754951726994,0.7062619581461719,not_applicable
P-A,AN,AN,mc_raw,41,shared_offset,10,2048,2548,0.1,0.035461968745633676,0.0245285303452471,0.3322275580328292,0.25816974114869823,exact_population_Fisher_projection_diagnostic,0.22538697459229182,9.972226391602685e-05,9.99921942429663e-05,9.977152127495762e-05,0.00032758855472320993,0.02028072782429112,0.0006825001910328865,0.13647582760470767,0.44260106274083144,0.3118685033624631,0.7116061274339394,
P-A,DA,,mc_raw,41,shared_offset,10,2048,2548,,,0.1755830525804939,,,,0.12059907426781971,,,,0.009301061036047716,,,,,0.36628374519518314,0.7588532434896955,not_applicable
P-A,AN,AN,mc_raw,41,shared_offset,100,2048,2548,0.1,0.035461968745633676,0.02801511974590193,0.3322275580328292,0.25816974114869823,exact_population_Fisher_projection_diagnostic,0.2547531377725366,9.421730691796814e-05,9.329088693065449e-05,9.404825217575775e-05,0.000418424956576818,0.01890755099354379,0.0065321000292897224,0.13647582760470767,0.44260106274083144,0.3134336794299489,0.713098515137816,
P-A,DA,,mc_raw,41,shared_offset,100,2048,2548,,,2.659211431914319,,,,0.9450597027435005,,,,0.48759253256553825,,,,,0.8170668622850863,0.9605016170501781,not_applicable
P-A,AN,AN,mc_raw,41,shared_offset,1000,2048,2548,0.1,0.035461968745633676,0.02800374790428445,0.3322275580328292,0.25816974114869823,exact_population_Fisher_projection_diagnostic,0.2546582586779403,9.421724909292082e-05,9.329470557779243e-05,9.404890173614569e-05,0.00041811363163444073,0.018908400099798564,0.06331280013546348,0.13647582760470767,0.44260106274083144,0.31342861563328994,0.7130937008226895,
P-A,DA,,mc_raw,41,shared_offset,1000,2048,2548,,,3.992362899490171,,,,2.419148147289898,,,,2.0672910247191436,,,,,0.9942487690545843,0.9989386686330453,not_applicable
