round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
1,1992,1892,True,1,3.3977468699632873e-09,True,P-L,AN,mc_learned_baseline,45,1992
2,3884,1892,True,1,2.941335212788888e-09,True,P-L,AN,mc_learned_baseline,45,3884
3,5776,1892,True,1,5.3355476068715386e-09,True,P-L,AN,mc_learned_baseline,45,5776
4,7668,1892,True,1,5.607340774292214e-09,True,P-L,AN,mc_learned_baseline,45,7668
5,9560,1892,True,1,6.051523946655877e-09,True,P-L,AN,mc_learned_baseline,45,9560
6,11452,1892,True,1,8.300583665910925e-09,True,P-L,AN,mc_learned_baseline,45,11452
7,13344,1892,True,1,1.0386190950111178e-10,True,P-L,AN,mc_learned_baseline,45,13344
8,15236,1892,True,1,5.200224520192125e-08,True,P-L,AN,mc_learned_baseline,45,15236
9,17128,1892,True,1,2.4362905474080705e-08,True,P-L,AN,mc_learned_baseline,45,17128
10,19020,1892,True,1,4.428877033158544e-10,True,P-L,AN,mc_learned_baseline,45,19020
11,20912,1892,True,1,3.9006464266386e-08,True,P-L,AN,mc_learned_baseline,45,20912
12,22804,1892,True,1,2.295118694974324e-08,True,P-L,AN,mc_learned_baseline,45,22804
13,24696,1892,True,1,7.519829634156434e-08,True,P-L,AN,mc_learned_baseline,45,24696
14,26588,1892,True,1,2.189328053302532e-08,True,P-L,AN,mc_learned_baseline,45,26588
15,28480,1892,True,1,4.960537652056547e-08,True,P-L,AN,mc_learned_baseline,45,28480
16,30372,1892,True,1,1.4030269124694338e-08,True,P-L,AN,mc_learned_baseline,45,30372
17,32264,1892,True,1,1.6286499832149514e-08,True,P-L,AN,mc_learned_baseline,45,32264
18,34156,1892,True,1,5.537007353856525e-08,True,P-L,AN,mc_learned_baseline,45,34156
19,36048,1892,True,1,4.522074357900374e-09,True,P-L,AN,mc_learned_baseline,45,36048
20,37940,1892,True,1,5.276835074189613e-08,True,P-L,AN,mc_learned_baseline,45,37940
21,39832,1892,True,1,7.282318999074541e-08,True,P-L,AN,mc_learned_baseline,45,39832
22,41724,1892,True,1,7.97472266014574e-09,True,P-L,AN,mc_learned_baseline,45,41724
23,43616,1892,True,1,2.7250468548057746e-08,True,P-L,AN,mc_learned_baseline,45,43616
24,45508,1892,True,1,3.829094023600444e-09,True,P-L,AN,mc_learned_baseline,45,45508
25,49448,3940,True,3,1.1085536139100158e-11,True,P-L,AN,mc_learned_baseline,45,49448
26,51340,1892,True,1,5.0689264873816264e-09,True,P-L,AN,mc_learned_baseline,45,51340
27,54256,2916,True,2,3.6124609398664703e-12,True,P-L,AN,mc_learned_baseline,45,54256
28,57172,2916,True,2,2.6296679997173237e-09,True,P-L,AN,mc_learned_baseline,45,57172
29,59064,1892,True,1,7.990746853263513e-09,True,P-L,AN,mc_learned_baseline,45,59064
30,61980,2916,True,2,3.118048293812488e-09,True,P-L,AN,mc_learned_baseline,45,61980
31,63872,1892,True,1,1.0467970538048815e-10,True,P-L,AN,mc_learned_baseline,45,63872
1,1992,1892,True,1,1.7919863863751072e-09,True,P-L,SA,mc_learned_baseline,45,1992
2,3884,1892,True,1,5.5191874297874834e-09,True,P-L,SA,mc_learned_baseline,45,3884
3,5776,1892,True,1,2.3122758756410345e-09,True,P-L,SA,mc_learned_baseline,45,5776
4,7668,1892,True,1,4.87953587481696e-09,True,P-L,SA,mc_learned_baseline,45,7668
5,9560,1892,True,1,1.0473625665910266e-08,True,P-L,SA,mc_learned_baseline,45,9560
6,11452,1892,True,1,8.920089020834716e-09,True,P-L,SA,mc_learned_baseline,45,11452
7,13344,1892,True,1,4.887720487306959e-10,True,P-L,SA,mc_learned_baseline,45,13344
8,15236,1892,True,1,4.0689486507709025e-08,True,P-L,SA,mc_learned_baseline,45,15236
9,17128,1892,True,1,1.3530346725787593e-09,True,P-L,SA,mc_learned_baseline,45,17128
10,19020,1892,True,1,6.7168195877950976e-09,True,P-L,SA,mc_learned_baseline,45,19020
11,20912,1892,True,1,2.080313073438466e-08,True,P-L,SA,mc_learned_baseline,45,20912
12,22804,1892,True,1,2.3739638937070058e-08,True,P-L,SA,mc_learned_baseline,45,22804
13,24696,1892,True,1,5.4462289818081696e-08,True,P-L,SA,mc_learned_baseline,45,24696
14,26588,1892,True,1,2.7748778129752618e-08,True,P-L,SA,mc_learned_baseline,45,26588
15,28480,1892,True,1,5.296539201163916e-08,True,P-L,SA,mc_learned_baseline,45,28480
16,30372,1892,True,1,3.4119622287827535e-08,True,P-L,SA,mc_learned_baseline,45,30372
17,32264,1892,True,1,3.483913397939773e-08,True,P-L,SA,mc_learned_baseline,45,32264
18,34156,1892,True,1,5.880763782381669e-08,True,P-L,SA,mc_learned_baseline,45,34156
19,36048,1892,True,1,7.239043249830774e-08,True,P-L,SA,mc_learned_baseline,45,36048
20,37940,1892,True,1,4.034922206750701e-08,True,P-L,SA,mc_learned_baseline,45,37940
21,39832,1892,True,1,4.7622089197177696e-08,True,P-L,SA,mc_learned_baseline,45,39832
22,41724,1892,True,1,2.992706679665785e-08,True,P-L,SA,mc_learned_baseline,45,41724
23,43616,1892,True,1,2.2440585446528244e-08,True,P-L,SA,mc_learned_baseline,45,43616
24,45508,1892,True,1,9.102361275217453e-09,True,P-L,SA,mc_learned_baseline,45,45508
25,47400,1892,True,1,1.68202670817953e-09,True,P-L,SA,mc_learned_baseline,45,47400
26,49292,1892,True,1,4.241863497173727e-10,True,P-L,SA,mc_learned_baseline,45,49292
27,51184,1892,True,1,3.6047674243094344e-10,True,P-L,SA,mc_learned_baseline,45,51184
28,53076,1892,True,1,1.0299022509238642e-09,True,P-L,SA,mc_learned_baseline,45,53076
29,53944,868,False,0,,False,P-L,SA,mc_learned_baseline,45,53944
30,54812,868,False,0,,False,P-L,SA,mc_learned_baseline,45,54812
31,56704,1892,True,1,5.207396515699093e-10,True,P-L,SA,mc_learned_baseline,45,56704
32,59620,2916,True,2,1.1974031292531532e-10,True,P-L,SA,mc_learned_baseline,45,59620
33,63560,3940,True,3,9.77889306889085e-12,False,P-L,SA,mc_learned_baseline,45,63560
34,64428,868,False,0,,False,P-L,SA,mc_learned_baseline,45,64428
1,1480,,,1,,True,P-L,DA,mc_learned_baseline,45,1480
2,2860,,,1,,True,P-L,DA,mc_learned_baseline,45,2860
3,4240,,,1,,True,P-L,DA,mc_learned_baseline,45,4240
4,5620,,,1,,True,P-L,DA,mc_learned_baseline,45,5620
5,8024,,,2,,True,P-L,DA,mc_learned_baseline,45,8024
6,11452,,,3,,True,P-L,DA,mc_learned_baseline,45,11452
7,14880,,,3,,False,P-L,DA,mc_learned_baseline,45,14880
8,18308,,,3,,True,P-L,DA,mc_learned_baseline,45,18308
9,19688,,,1,,True,P-L,DA,mc_learned_baseline,45,19688
10,21068,,,1,,True,P-L,DA,mc_learned_baseline,45,21068
11,22448,,,1,,True,P-L,DA,mc_learned_baseline,45,22448
12,23828,,,1,,True,P-L,DA,mc_learned_baseline,45,23828
13,27256,,,3,,False,P-L,DA,mc_learned_baseline,45,27256
14,28636,,,1,,True,P-L,DA,mc_learned_baseline,45,28636
15,30016,,,1,,True,P-L,DA,mc_learned_baseline,45,30016
16,31396,,,1,,True,P-L,DA,mc_learned_baseline,45,31396
17,32776,,,1,,True,P-L,DA,mc_learned_baseline,45,32776
18,36204,,,3,,False,P-L,DA,mc_learned_baseline,45,36204
19,38608,,,2,,True,P-L,DA,mc_learned_baseline,45,38608
20,41012,,,2,,True,P-L,DA,mc_learned_baseline,45,41012
21,43416,,,2,,True,P-L,DA,mc_learned_baseline,45,43416
22,44796,,,1,,True,P-L,DA,mc_learned_baseline,45,44796
23,46176,,,1,,True,P-L,DA,mc_learned_baseline,45,46176
24,48580,,,2,,True,P-L,DA,mc_learned_baseline,45,48580
25,52008,,,3,,False,P-L,DA,mc_learned_baseline,45,52008
26,53388,,,1,,True,P-L,DA,mc_learned_baseline,45,53388
27,54768,,,1,,True,P-L,DA,mc_learned_baseline,45,54768
28,56148,,,1,,True,P-L,DA,mc_learned_baseline,45,56148
29,59576,,,3,,False,P-L,DA,mc_learned_baseline,45,59576
30,61980,,,2,,True,P-L,DA,mc_learned_baseline,45,61980
31,64384,,,2,,True,P-L,DA,mc_learned_baseline,45,64384
