condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J,mean_reward,mean_coverage,tail_coverage,tail_all_covered,J_se,coverage_se,distance_se,mean_reward_se,mean_coverage_se,tail_coverage_se,tail_all_covered_se
mappo,40,0,0,1024,1.0092300089730868,0.0087890625,0.0,0.046884765625000005,0.023442382812500002,-98.17450235708566,-1.6231550215151485,0.012868652343750002,0.0088232421875,0.0,0.749226541717279,0.0014804322629264346,0.011930164227148862,0.012928995261264958,0.0004134472286931544,0.00046330332547490926,0.0
mappo,40,500000,499200,1024,0.21816283585447527,0.212646484375,0.0009765625,0.10049804687500002,0.05024902343750001,-39.231242490050114,-0.5786497907398295,0.16070068359375,0.19547851562500002,0.00177734375,0.34288867655977445,0.006398209721169915,0.0029996433234992606,0.005259592675031534,0.002010804528217736,0.0027981938213251906,0.00026283136548113943
mappo,40,1000000,1000000,1024,0.16627856960984233,0.369384765625,0.01953125,0.0886328125,0.04431640625,-33.28913289707181,-0.48068940738480026,0.2787890625,0.34870605468750004,0.01966796875,0.3471808259345757,0.007698968107940877,0.0029097523952804393,0.005422752173754195,0.0030814642825497127,0.004276333227002813,0.001342883065247917
mappo,40,1500000,1499200,1024,0.14120126698253954,0.465576171875,0.05859375,0.081552734375,0.0407763671875,-30.872409717940094,-0.4401281911960958,0.35148681640625,0.43929199218750004,0.053476562500000005,0.3397296382545473,0.008260121418091465,0.0026965345372710328,0.0052394994221614715,0.0036756750580931264,0.004885902993793516,0.00266049600935986
mappo,40,2000000,2000000,1024,0.1305208840340707,0.56103515625,0.13671875,0.090087890625,0.0450439453125,-29.92203067785249,-0.42361756289830366,0.42259521484375007,0.5311572265625,0.11306640625,0.356535657875409,0.008401138269275766,0.0027969414770788654,0.005562662662119783,0.004170713317809704,0.005477987475380065,0.004259083031879486
mappo,40,2500000,2499200,1024,0.1208622706311213,0.598876953125,0.1552734375,0.08885742187500001,0.044428710937500004,-28.375555201667158,-0.3991721232943487,0.456962890625,0.5720361328125,0.146875,0.3311817671348107,0.008307779917483826,0.002573582094559729,0.005089151743292952,0.0043405659786434,0.005540093280117413,0.004967014546425129
mappo,40,3000000,3000000,1024,0.10983436226181031,0.67529296875,0.26953125,0.089716796875,0.0448583984375,-27.403390210830487,-0.3818287517291079,0.519150390625,0.649296875,0.2423046875,0.33016875765375364,0.008484503284613618,0.0026340994974238443,0.005092027775920651,0.004659698155170911,0.005926826446331616,0.006786661484925775
mappo,40,3500000,3499200,1024,0.11580889998864267,0.638427734375,0.189453125,0.07677734375,0.038388671875,-27.550831062819718,-0.3857506819257154,0.49125244140624996,0.6119384765625,0.17986328125,0.32183287762500806,0.00820744558762687,0.002513303195946602,0.004933855454453489,0.004217086534611056,0.005438586529868599,0.005534598316668112
mappo,40,4000000,4000000,1024,0.10757771000764257,0.670166015625,0.248046875,0.09637695312500001,0.048188476562500006,-27.584901471944207,-0.3841503497862132,0.51231689453125,0.64328125,0.229453125,0.3180688746694809,0.008220270538275854,0.002385777231063303,0.004858340354157766,0.004481234027310976,0.005736768622443824,0.006577537825009259
mappo,40,4500000,4499200,1024,0.1039744462428592,0.697265625,0.2841796875,0.07916992187500001,0.039584960937500004,-26.557396970352517,-0.36880966974460694,0.5389550781250001,0.668779296875,0.25808593750000003,0.3095101604211525,0.007976638632547647,0.00237227322556783,0.004722559000663999,0.004605301145488133,0.0057521525354480305,0.007402908457574486
mappo,40,5000000,5000000,1024,0.10597594859662474,0.69140625,0.28515625,0.07567382812500001,0.037836914062500004,-27.21151842678635,-0.37838272298669495,0.5284863281250001,0.6615966796875,0.25251953125,0.32524090260106714,0.008144337876924486,0.002467969540096954,0.004985646965319646,0.00452105030714338,0.0058081138416144614,0.007294810164731664
mappo,40,5500000,5499200,1024,0.1034885100228782,0.693359375,0.2861328125,0.08630859375000001,0.043154296875000005,-26.91124975933992,-0.372602913246812,0.5314111328125,0.669755859375,0.2606640625,0.3094459705811687,0.008113833343103448,0.0022669404311149556,0.004652843019701882,0.004422641227049945,0.00565171551767665,0.007180673292629324
mappo,40,6000000,6000000,1024,0.10037231267152735,0.72216796875,0.333984375,0.09923828125,0.049619140625,-26.416726284509267,-0.3672157380064626,0.56720703125,0.697529296875,0.314609375,0.31984573270179645,0.00803948645194735,0.0023615948566348263,0.004857849314958715,0.004629342206740132,0.0058733779296970086,0.00834407015530821
mappo,40,6500000,6499200,1024,0.0946287269474582,0.7421875,0.3740234375,0.09072265625,0.045361328125,-25.82127738149837,-0.35649148597940317,0.5812622070312501,0.7203466796875,0.33316406249999997,0.3137940636333883,0.007911156166624288,0.0022544056300254764,0.004760346543160556,0.00449622738834337,0.005533051911217757,0.008203791470127298
mappo,40,7000000,7000000,1024,0.09953563955642254,0.727783203125,0.3447265625,0.08937500000000001,0.044687500000000005,-25.891623234940756,-0.359050229170097,0.5758154296875,0.7065966796875001,0.31171875,0.3224529092404259,0.007873028467720266,0.0023433418143847767,0.004958989105118522,0.0045197188612553256,0.005564720458923424,0.008041468442399379
mappo,40,7500000,7499200,1024,0.10459134580666231,0.703369140625,0.302734375,0.084453125,0.0422265625,-26.741771685715943,-0.3718160770219261,0.54756591796875,0.6797656249999999,0.27732421875,0.32118146444406936,0.008113599960761185,0.0025171305007814873,0.004916380656549044,0.004464529024812306,0.005671721166881599,0.007708903084998695
mappo,40,8000000,8000000,1024,0.09670786550842296,0.7431640625,0.3720703125,0.10359375000000001,0.051796875000000006,-25.820990884875663,-0.3583631787542572,0.5860229492187501,0.717275390625,0.34115234375,0.33284151581463145,0.007896943950019641,0.002425962613766334,0.005090899620302789,0.004709694595805965,0.005827208226327606,0.008436500940678791
mappo,40,8500000,8499200,1024,0.09839582615032944,0.7314453125,0.359375,0.0848046875,0.04240234375,-25.886634166338652,-0.3583158124487247,0.5645385742187501,0.6968457031249999,0.30326171875,0.31009031005548515,0.008043384553625106,0.0023708143193034185,0.0047321921448326984,0.00456066053142603,0.005719435574739577,0.008231842369926646
mappo,40,9000000,9000000,1024,0.09356088134147598,0.758056640625,0.3994140625,0.08208984375000002,0.04104492187500001,-25.310412479566455,-0.3488807094217914,0.59870361328125,0.7349414062499999,0.36126953124999994,0.3135145101519611,0.007677445358116953,0.0023580658300683703,0.004777357985782491,0.00458381819192286,0.005658126707521233,0.009435085110968902
mappo,40,9500000,9499200,1024,0.09010993553328799,0.781005859375,0.439453125,0.089853515625,0.0449267578125,-25.01359779841713,-0.3439152750387491,0.60999755859375,0.751044921875,0.38837890625,0.30537323653685877,0.0073247397875418185,0.002206559889370034,0.004650006252529518,0.004519135318640955,0.005566347122696101,0.009589598932095615
