condition,seed,status,rounds,implementation,source_steps,unused_budget,evaluation_steps,task_mode,AUC,J,distance,coverage,all_covered,collision_pairs,collisions_per_agent,mean_reward,mean_coverage,tail_coverage,tail_all_covered,coverage_cost,accepted_rounds,direction_rejections,direction_checks,candidates,return_checks,return_rejections,fit_kl_after,train_seconds,evaluation_seconds,optimizer_steps,optimizer_steps_by_module,actor_parameters,critic_parameters,direction_parameters,cost_train
mappo,40,complete,12500,"{""backend"": ""author_mappo"", ""commit"": ""de66d7a4b23fac2513f56f96f73b3f5cb96695ac""}",20000000,0,4198400,continuing,-28.240653858434392,-24.21380144678606,0.0852409223861047,0.80078125,0.4853515625,0.08033203125,0.040166015625,-0.3314104450817872,0.6359228515625,0.772900390625,0.44376953125,18500000,12500,0,0,0,0,0,,37420.89723842917,6787.417827800382,250000,"{""ppo"": 125000, ""critic"": 125000}",40677,25601,0,20000000
ippo,40,complete,12500,"{""backend"": ""author_ippo"", ""commit"": ""de66d7a4b23fac2513f56f96f73b3f5cb96695ac""}",20000000,0,4198400,continuing,-30.901038858127905,-26.956560243756208,0.1140212029433974,0.643310546875,0.22265625,0.10148437500000002,0.05074218750000001,-0.37910825780708957,0.51032958984375,0.6242919921874999,0.20847656250000002,,12500,0,0,0,0,0,,37208.035014109686,6723.50704760151,250000,"{""ppo"": 125000, ""critic"": 125000}",40677,40161,0,20000000
