round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
1,4040,3940,True,3,1.4143142664988622e-09,True,P-L,AN,mc_learned_baseline,48,4040
2,6956,2916,True,2,5.8190427799033933e-11,True,P-L,AN,mc_learned_baseline,48,6956
3,10896,3940,True,3,5.20713060177773e-10,True,P-L,AN,mc_learned_baseline,48,10896
4,12788,1892,True,1,7.756041685570027e-10,True,P-L,AN,mc_learned_baseline,48,12788
5,14680,1892,True,1,6.245304106454722e-09,True,P-L,AN,mc_learned_baseline,48,14680
6,16572,1892,True,1,9.366951509716216e-09,True,P-L,AN,mc_learned_baseline,48,16572
7,19488,2916,True,2,1.1312979313156776e-09,True,P-L,AN,mc_learned_baseline,48,19488
8,21380,1892,True,1,1.845156758932892e-08,True,P-L,AN,mc_learned_baseline,48,21380
9,23272,1892,True,1,4.494058085452898e-09,True,P-L,AN,mc_learned_baseline,48,23272
10,25164,1892,True,1,5.657025709587002e-09,True,P-L,AN,mc_learned_baseline,48,25164
11,27056,1892,True,1,2.3484068239054226e-08,True,P-L,AN,mc_learned_baseline,48,27056
12,29972,2916,True,2,2.0290136969662276e-09,True,P-L,AN,mc_learned_baseline,48,29972
13,31864,1892,True,1,1.701258196597143e-08,True,P-L,AN,mc_learned_baseline,48,31864
14,33756,1892,True,1,3.785555994958683e-08,True,P-L,AN,mc_learned_baseline,48,33756
15,35648,1892,True,1,1.1373837092902399e-08,True,P-L,AN,mc_learned_baseline,48,35648
16,37540,1892,True,1,2.6062062028270147e-08,True,P-L,AN,mc_learned_baseline,48,37540
17,39432,1892,True,1,2.83472976866106e-08,True,P-L,AN,mc_learned_baseline,48,39432
18,41324,1892,True,1,1.184652523089887e-09,True,P-L,AN,mc_learned_baseline,48,41324
19,43216,1892,True,1,4.931745965317575e-08,True,P-L,AN,mc_learned_baseline,48,43216
20,45108,1892,True,1,4.799605448761285e-08,True,P-L,AN,mc_learned_baseline,48,45108
21,47000,1892,True,1,1.3530727972669512e-08,True,P-L,AN,mc_learned_baseline,48,47000
22,48892,1892,True,1,5.071912578251148e-08,True,P-L,AN,mc_learned_baseline,48,48892
23,50784,1892,True,1,3.3091709732906526e-08,True,P-L,AN,mc_learned_baseline,48,50784
24,52676,1892,True,1,4.919382029152602e-08,True,P-L,AN,mc_learned_baseline,48,52676
25,54568,1892,True,1,2.76205979376512e-08,True,P-L,AN,mc_learned_baseline,48,54568
26,56460,1892,True,1,6.209949522441117e-09,True,P-L,AN,mc_learned_baseline,48,56460
27,59376,2916,True,2,3.847269834844916e-09,True,P-L,AN,mc_learned_baseline,48,59376
28,61268,1892,True,1,1.6459543518611076e-08,True,P-L,AN,mc_learned_baseline,48,61268
29,64184,2916,True,2,1.6215113055674393e-09,True,P-L,AN,mc_learned_baseline,48,64184
1,4040,3940,True,3,1.3966485048255447e-09,True,P-L,SA,mc_learned_baseline,48,4040
2,6956,2916,True,2,3.5983851145421583e-10,True,P-L,SA,mc_learned_baseline,48,6956
3,10896,3940,True,3,5.858811851173247e-10,True,P-L,SA,mc_learned_baseline,48,10896
4,12788,1892,True,1,2.2013472756833004e-09,True,P-L,SA,mc_learned_baseline,48,12788
5,14680,1892,True,1,4.5416080412835613e-10,True,P-L,SA,mc_learned_baseline,48,14680
6,16572,1892,True,1,3.6915666235645377e-09,True,P-L,SA,mc_learned_baseline,48,16572
7,19488,2916,True,2,6.660269357924404e-10,True,P-L,SA,mc_learned_baseline,48,19488
8,21380,1892,True,1,3.470617213434311e-08,True,P-L,SA,mc_learned_baseline,48,21380
9,23272,1892,True,1,1.480300459414177e-08,True,P-L,SA,mc_learned_baseline,48,23272
10,25164,1892,True,1,8.117141848386739e-09,True,P-L,SA,mc_learned_baseline,48,25164
11,27056,1892,True,1,2.4423245734594692e-08,True,P-L,SA,mc_learned_baseline,48,27056
12,29972,2916,True,2,1.8519886787466688e-09,True,P-L,SA,mc_learned_baseline,48,29972
13,31864,1892,True,1,3.339027525745487e-08,True,P-L,SA,mc_learned_baseline,48,31864
