experiment,method,variant,source_n,target_n,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-T,AN,fixed-edge,4,6,False,eta,0.06500000000000002,0.04116363011742823,10,0.04,0.085,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,attempts,1.1,0.7378647873726218,10,0.7,1.5,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,forward_kl_training,2.6726123977718102e-09,2.381942097074276e-09,8,1.2930575630434468e-09,4.444806679679908e-09,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,direction_loss,-0.06956381576423196,0.017826978136562255,10,-0.08078784601714657,-0.059661588488773606,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,direction_steps,100.0,0.0,10,100.0,100.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,q_bound,5.0,0.0,10,5.0,5.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,direction_check_score,0.07609128368592072,0.08976276455780433,10,0.025613388521893644,0.13088751556745445,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,return_check_gain,0.05052083333333333,0.04977317100192936,8,0.01979166666666667,0.08541666666666665,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,return_check_standard_error,0.05573461117528389,0.04371268437123511,8,0.029127414855155468,0.08440038179349935,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,target_true_coefficient_0,0.16666666666666632,0.0,10,0.16666666666666632,0.16666666666666632,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,target_true_coefficient_1,0.46666666666666645,1.1702778228589004e-16,10,0.46666666666666645,0.46666666666666645,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,frozen_actor_p_0,0.300831156279891,0.001396013719126465,10,0.30000118719692764,0.30164174141203814,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,frozen_actor_p_1,0.7100569097063559,0.006417666737521844,10,0.7060680570466227,0.7136780861064307,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,source_direction_error,0.0017881488528157948,0.0015516113406845243,10,0.0009955464128000083,0.0027581877109285158,training_seed_or_data_batch,False
