kind,condition,n_agents,metric,planned,failed,incomplete,count,mean,std,ci_low,ci_high
condition,ours,4,J,1,0,0,1,-50.13973827006364,,,
condition,ours,4,AUC,1,0,0,1,-57.20961180923661,,,
condition,ours,4,coverage,1,0,0,1,0.1125,,,
condition,ours,4,distance,1,0,0,1,0.2982885000874115,,,
condition,ours,4,all_covered,1,0,0,1,0.0,,,
condition,ours,4,collision_pairs,1,0,0,1,0.1576,,,
condition,ours,4,collisions_per_agent,1,0,0,1,0.0788,,,
condition,ours,4,source_steps,1,0,0,1,10000000.0,,,
condition,ours,4,unused_budget,1,0,0,1,0.0,,,
condition,ours,4,train_seconds,1,0,0,1,13279.996727702674,,,
condition,ours,4,evaluation_seconds,1,0,0,1,223.1338284984231,,,
condition,ours,4,optimizer_steps,1,0,0,1,426256.0,,,
condition,ours,4,coverage_cost,1,0,0,0,,,,
condition,ours,4,fit_kl_after,1,0,0,1,2.002414431705588e-06,,,
condition,ours,4,coverage_reached,1,0,0,1,0.0,,,
