experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,variant,source_n,target_n
P-L-final-transfer,SA,mc_learned_baseline,False,frozen_actor_return_diagnostic,2.1597364833577473,0.00018961989620789658,10,2.159606437771709,2.159823605365967,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,SA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,SA,mc_learned_baseline,False,source_steps_total,261368.0,0.0,10,261368.0,261368.0,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,SA,mc_learned_baseline,False,frozen_actor_return_diagnostic,6.479209450073244,0.0005688596886235694,10,6.478819313315128,6.479470816097902,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,SA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,SA,mc_learned_baseline,False,source_steps_total,261368.0,0.0,10,261368.0,261368.0,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,SA,mc_learned_baseline,False,frozen_actor_return_diagnostic,0.8265751188769659,5.928575901227678e-05,10,0.8265342964189483,0.8266035280709371,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,SA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,SA,mc_learned_baseline,False,source_steps_total,261368.0,0.0,10,261368.0,261368.0,training_seed_or_data_batch,False,fixed-edge,4,6
P-L-final-transfer,SA,mc_learned_baseline,False,frozen_actor_return_diagnostic,10.478693543515586,0.000960509182185575,10,10.478035308857743,10.479131369583746,training_seed_or_data_batch,False,fixed-edge,4,6
P-L-final-transfer,SA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,fixed-edge,4,6
P-L-final-transfer,SA,mc_learned_baseline,False,source_steps_total,261368.0,0.0,10,261368.0,261368.0,training_seed_or_data_batch,False,composition,4,2
P-L-final-transfer,SA,mc_learned_baseline,False,frozen_actor_return_diagnostic,2.039717546107425,0.00026530355755364766,10,2.0395367495805776,2.0398299976986896,training_seed_or_data_batch,False,composition,4,2
P-L-final-transfer,SA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,composition,4,2
P-L-final-transfer,SA,mc_learned_baseline,False,source_steps_total,261368.0,0.0,10,261368.0,261368.0,training_seed_or_data_batch,False,composition,4,6
P-L-final-transfer,SA,mc_learned_baseline,False,frozen_actor_return_diagnostic,6.119152638322275,0.0007959106726609823,10,6.118610248741732,6.119489993096069,training_seed_or_data_batch,False,composition,4,6
P-L-final-transfer,SA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,composition,4,6
P-L,DA,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,,,
