round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
1,1992,1892,True,1,3.785836633136335e-09,True,P-L,AN,mc_learned_baseline,49,1992
2,3884,1892,True,1,2.5924616997604593e-09,True,P-L,AN,mc_learned_baseline,49,3884
3,5776,1892,True,1,1.749065434408919e-08,True,P-L,AN,mc_learned_baseline,49,5776
4,7668,1892,True,1,1.323968845091534e-08,True,P-L,AN,mc_learned_baseline,49,7668
5,9560,1892,True,1,1.4526166124575982e-09,True,P-L,AN,mc_learned_baseline,49,9560
6,13500,3940,True,3,4.28387403973329e-10,False,P-L,AN,mc_learned_baseline,49,13500
7,15392,1892,True,1,2.834404521759081e-09,True,P-L,AN,mc_learned_baseline,49,15392
8,17284,1892,True,1,5.617998851696562e-09,True,P-L,AN,mc_learned_baseline,49,17284
9,19176,1892,True,1,6.718029458546789e-11,True,P-L,AN,mc_learned_baseline,49,19176
10,22092,2916,True,2,1.069119237629061e-09,True,P-L,AN,mc_learned_baseline,49,22092
11,23984,1892,True,1,1.0841576307079843e-08,True,P-L,AN,mc_learned_baseline,49,23984
12,26900,2916,True,2,9.131601868486611e-09,True,P-L,AN,mc_learned_baseline,49,26900
13,28792,1892,True,1,3.8097723673677916e-08,True,P-L,AN,mc_learned_baseline,49,28792
14,30684,1892,True,1,1.92747232244426e-08,True,P-L,AN,mc_learned_baseline,49,30684
15,32576,1892,True,1,2.5429486253112898e-08,True,P-L,AN,mc_learned_baseline,49,32576
16,34468,1892,True,1,5.930969491288618e-08,True,P-L,AN,mc_learned_baseline,49,34468
17,36360,1892,True,1,1.8222730851441718e-08,True,P-L,AN,mc_learned_baseline,49,36360
18,38252,1892,True,1,1.6360212234205083e-08,True,P-L,AN,mc_learned_baseline,49,38252
19,40144,1892,True,1,1.7636687316640428e-08,True,P-L,AN,mc_learned_baseline,49,40144
20,42036,1892,True,1,2.856437895487324e-08,True,P-L,AN,mc_learned_baseline,49,42036
21,43928,1892,True,1,1.2412429433222402e-08,True,P-L,AN,mc_learned_baseline,49,43928
22,45820,1892,True,1,1.43455967816139e-08,True,P-L,AN,mc_learned_baseline,49,45820
23,47712,1892,True,1,1.086533248255459e-08,True,P-L,AN,mc_learned_baseline,49,47712
24,49604,1892,True,1,5.163422976566117e-08,True,P-L,AN,mc_learned_baseline,49,49604
25,51496,1892,True,1,6.703891865889411e-09,True,P-L,AN,mc_learned_baseline,49,51496
26,53388,1892,True,1,3.402135112167871e-09,True,P-L,AN,mc_learned_baseline,49,53388
27,55280,1892,True,1,3.663043740017582e-09,True,P-L,AN,mc_learned_baseline,49,55280
28,57172,1892,True,1,2.9330305311287917e-08,True,P-L,AN,mc_learned_baseline,49,57172
29,59064,1892,True,1,1.0537180426958955e-09,True,P-L,AN,mc_learned_baseline,49,59064
30,60956,1892,True,1,1.0683305097504425e-09,True,P-L,AN,mc_learned_baseline,49,60956
31,62848,1892,True,1,2.1220384922776934e-08,True,P-L,AN,mc_learned_baseline,49,62848
32,64740,1892,True,1,1.6464169545411602e-12,False,P-L,AN,mc_learned_baseline,49,64740
1,1992,1892,True,1,2.8784014027931937e-09,True,P-L,SA,mc_learned_baseline,49,1992
2,3884,1892,True,1,2.334302170050973e-09,True,P-L,SA,mc_learned_baseline,49,3884
3,5776,1892,True,1,1.2060160563727136e-08,True,P-L,SA,mc_learned_baseline,49,5776
4,7668,1892,True,1,1.4258971711779834e-08,True,P-L,SA,mc_learned_baseline,49,7668
5,9560,1892,True,1,9.355237668549486e-09,True,P-L,SA,mc_learned_baseline,49,9560
6,13500,3940,True,3,1.9089414081072363e-10,True,P-L,SA,mc_learned_baseline,49,13500
7,15392,1892,True,1,8.525528912580964e-09,True,P-L,SA,mc_learned_baseline,49,15392
8,17284,1892,True,1,1.9309147676585415e-08,True,P-L,SA,mc_learned_baseline,49,17284
9,19176,1892,True,1,1.3322729042157957e-08,True,P-L,SA,mc_learned_baseline,49,19176
10,22092,2916,True,2,2.6024468386139996e-09,True,P-L,SA,mc_learned_baseline,49,22092
11,23984,1892,True,1,2.0297603381022607e-08,True,P-L,SA,mc_learned_baseline,49,23984
12,25876,1892,True,1,3.094379185766419e-08,True,P-L,SA,mc_learned_baseline,49,25876
13,27768,1892,True,1,3.810410741238775e-09,True,P-L,SA,mc_learned_baseline,49,27768
14,29660,1892,True,1,3.128243658657513e-08,True,P-L,SA,mc_learned_baseline,49,29660
15,31552,1892,True,1,4.467879265416221e-08,True,P-L,SA,mc_learned_baseline,49,31552
16,33444,1892,True,1,2.605481039966364e-08,True,P-L,SA,mc_learned_baseline,49,33444
17,35336,1892,True,1,1.7476203081163318e-08,True,P-L,SA,mc_learned_baseline,49,35336
18,37228,1892,True,1,4.026121151682948e-08,True,P-L,SA,mc_learned_baseline,49,37228
19,39120,1892,True,1,6.242983357724328e-08,True,P-L,SA,mc_learned_baseline,49,39120
20,41012,1892,True,1,1.5280583840146502e-08,True,P-L,SA,mc_learned_baseline,49,41012
21,42904,1892,True,1,1.882505861201644e-08,True,P-L,SA,mc_learned_baseline,49,42904
22,43772,868,False,0,,False,P-L,SA,mc_learned_baseline,49,43772
23,45664,1892,True,1,3.028563067522005e-08,True,P-L,SA,mc_learned_baseline,49,45664
24,47556,1892,True,1,3.803122260575863e-08,True,P-L,SA,mc_learned_baseline,49,47556
25,48424,868,False,0,,False,P-L,SA,mc_learned_baseline,49,48424
26,50316,1892,True,1,3.125174925976104e-08,True,P-L,SA,mc_learned_baseline,49,50316
27,52208,1892,True,1,8.425303745738492e-09,True,P-L,SA,mc_learned_baseline,49,52208
28,54100,1892,True,1,1.0597159814263388e-08,True,P-L,SA,mc_learned_baseline,49,54100
29,55992,1892,True,1,9.634441962929707e-10,True,P-L,SA,mc_learned_baseline,49,55992
30,57884,1892,True,1,1.21995765679675e-09,True,P-L,SA,mc_learned_baseline,49,57884
31,59776,1892,True,1,4.5890617565543904e-10,True,P-L,SA,mc_learned_baseline,49,59776
32,61668,1892,True,1,1.3908581774581443e-09,True,P-L,SA,mc_learned_baseline,49,61668
33,62536,868,False,0,,False,P-L,SA,mc_learned_baseline,49,62536
34,63404,868,False,0,,False,P-L,SA,mc_learned_baseline,49,63404
35,65296,1892,True,1,1.8505631672599342e-10,True,P-L,SA,mc_learned_baseline,49,65296
1,1480,,,1,,True,P-L,DA,mc_learned_baseline,49,1480
2,2860,,,1,,True,P-L,DA,mc_learned_baseline,49,2860
3,4240,,,1,,True,P-L,DA,mc_learned_baseline,49,4240
4,5620,,,1,,True,P-L,DA,mc_learned_baseline,49,5620
5,7000,,,1,,True,P-L,DA,mc_learned_baseline,49,7000
6,10428,,,3,,False,P-L,DA,mc_learned_baseline,49,10428
7,11808,,,1,,True,P-L,DA,mc_learned_baseline,49,11808
8,13188,,,1,,True,P-L,DA,mc_learned_baseline,49,13188
9,14568,,,1,,True,P-L,DA,mc_learned_baseline,49,14568
10,15948,,,1,,True,P-L,DA,mc_learned_baseline,49,15948
11,17328,,,1,,True,P-L,DA,mc_learned_baseline,49,17328
12,18708,,,1,,True,P-L,DA,mc_learned_baseline,49,18708
13,22136,,,3,,True,P-L,DA,mc_learned_baseline,49,22136
14,24540,,,2,,True,P-L,DA,mc_learned_baseline,49,24540
15,26944,,,2,,True,P-L,DA,mc_learned_baseline,49,26944
