experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,48,1,712,256,256,0,0,200,356,1424,262144,0.283359375,0.3225,0.35432282167251244,0.035308821672512425,0.0004989174283171545,public_state_tabular_independent_mc,0,0.6146865656660676,0.036748899961821735,True,accepted_return_check_disabled,0.1,1,2.838351764763556e-09,-0.0998274153477681,100,5.0,0.4189035032519981,0.16827179838249007,0.033732098525737775,0.002659503527595891,0.10098887441997309,0.08608805721135149
T-L,AN,mc_learned_baseline,False,48,2,1424,512,512,0,0,400,712,2848,262144,0.230625,0.3885,0.3903837598555671,0.03606093818305467,0.0005071909825051624,public_state_tabular_independent_mc,0,0.603838029794465,0.07358079997356981,True,accepted_return_check_disabled,0.1,1,3.2957685024238274e-09,-0.10223090078831851,100,5.0,0.42806321651825957,0.1777967196158725,0.010659174394655468,0.0004811504514878824,0.10253803703772249,0.0889434292097036
T-L,AN,mc_learned_baseline,False,48,3,2136,768,768,0,0,600,1068,4272,262144,0.350625,0.32249999999999995,0.422504380881713,0.03212062102614588,0.0004095331067481379,public_state_tabular_independent_mc,0,0.5927317559274798,0.11568719998467714,True,accepted_return_check_disabled,0.1,1,3.3285049316268617e-09,-0.08217483656683552,100,5.0,0.4196190493808507,0.186603274501465,0.017081330158256747,0.0015372249420445524,0.08272079925840763,0.08796233238996028
T-L,AN,mc_learned_baseline,False,48,4,2848,1024,1024,0,0,800,1424,5696,262144,0.39328124999999997,0.47909999999999997,0.4543902496582919,0.031885868776578896,0.00041275911166412875,public_state_tabular_independent_mc,0,0.582613771303921,0.1632884000428021,True,accepted_return_check_disabled,0.1,1,6.645218643690164e-09,-0.08453988969311989,100,5.0,0.4121422729492188,0.17018607985680745,0.015341837939850334,0.0023538588941064693,0.08408378459541152,0.08669029563883027
T-L,AN,mc_learned_baseline,False,48,5,3560,1280,1280,0,0,1000,1780,7120,262144,0.34875,0.4733999999999999,0.4898669811385269,0.035476731480235,0.0005103933287715023,public_state_tabular_independent_mc,0,0.5691480430534144,0.21091150003485382,True,accepted_return_check_disabled,0.1,1,4.82889966933465e-09,-0.10350069222705441,100,5.0,0.41968469883240267,0.1760719941885961,0.014676864654541877,0.0015972827080384757,0.1038521740108732,0.0862751783191948
T-L,AN,mc_learned_baseline,False,48,6,4272,1536,1536,0,0,1200,2136,8544,262144,0.4921875,0.4139999999999999,0.521791407048927,0.03192442591040012,0.0004206352544518857,public_state_tabular_independent_mc,0,0.5565009065269911,0.25487589999102056,True,accepted_return_check_disabled,0.1,1,3.5374022269180665e-09,-0.0853438528752084,100,5.0,0.37457579023666027,0.15778330130742652,0.007774142253510807,0.00043277106510756326,0.08528928885377193,0.08575392941004364
T-L,AN,mc_learned_baseline,False,48,7,4984,1792,1792,0,0,1400,2492,9968,262144,0.5889843750000001,0.5244,0.550221600753511,0.028430193704583995,0.0003450526700770856,public_state_tabular_independent_mc,0,0.5446226123092052,0.2987779000541195,True,accepted_return_check_disabled,0.1,1,7.812710387011465e-10,-0.0711558848490165,100,5.0,0.3344970503641995,0.1374858941147229,0.01404060776388294,0.001562349302629852,0.07038105342931693,0.08251851677666584
T-L,AN,mc_learned_baseline,False,48,8,5696,2048,2048,0,0,1600,2848,11392,262144,0.549609375,0.54,0.5798795454876164,0.029657944734105435,0.00039413066033230513,public_state_tabular_independent_mc,0,0.5322022148557017,0.34003950003534555,True,accepted_return_check_disabled,0.1,1,4.275525607269505e-09,-0.08256182499536655,100,5.0,0.352875401554272,0.15722295334862615,-0.006316712806092584,0.0019752171821986546,0.08141567359979565,0.07981597086903397
T-L,AN,mc_learned_baseline,False,48,9,6408,2304,2304,0,0,1800,3204,12816,262144,0.535078125,0.5927999999999999,0.6109944568363951,0.03111491134877864,0.00044656239109406985,public_state_tabular_independent_mc,0,0.5177767303657475,0.37880950001999736,True,accepted_return_check_disabled,0.1,1,1.9528113445102327e-09,-0.09204643292603729,100,5.0,0.3680007919577567,0.15166783352529745,0.013769190679138399,0.0014366757409289203,0.09182184614978167,0.07721330507860824
T-L,AN,mc_learned_baseline,False,48,10,7120,2560,2560,0,0,2000,3560,14240,262144,0.457734375,0.5933999999999999,0.6469514841911709,0.035957027354775795,0.0006465605790039492,public_state_tabular_independent_mc,0,0.5012154761197406,0.41536360001191497,True,accepted_return_check_disabled,0.1,1,1.07031959583947e-08,-0.13402983130108265,100,5.0,0.40436867020394396,0.1766219470039701,-0.006106832711633148,0.011585736404815599,0.13552543680626794,0.06353097262109553
T-L,AN,mc_learned_baseline,False,48,11,7832,2816,2816,0,0,2200,3916,15664,262144,0.598125,0.6005999999999999,0.6777952698895392,0.03084378569836832,0.0005008888734885729,public_state_tabular_independent_mc,0,0.4862117768989075,0.4552736000623554,True,accepted_return_check_disabled,0.1,1,3.5112118641163716e-09,-0.10193553464355143,100,5.0,0.3719249581128995,0.16527254813976533,0.00483854029335562,0.003998875541908038,0.10362693908507226,0.06598174940568624
T-L,AN,mc_learned_baseline,False,48,12,8544,3072,3072,0,0,2400,4272,17088,262144,0.67359375,0.6713999999999999,0.7007871653304585,0.022991895440919285,0.0003104418567044162,public_state_tabular_independent_mc,0,0.47368070010324076,0.49382760003209114,True,accepted_return_check_disabled,0.1,1,5.050478088045612e-09,-0.06497450856565937,100,5.0,0.2842040201861361,0.10924371511519818,0.015337425219460243,0.0034167323140472357,0.06413458850612953,0.061629016005548196
T-L,AN,mc_learned_baseline,False,48,13,9256,3328,3328,0,0,2600,4628,18512,262144,0.7223437500000001,0.8043,0.7206057468892356,0.019818581558777137,0.00023219858169132342,public_state_tabular_independent_mc,0,0.462687620418036,0.5333576999837533,True,accepted_return_check_disabled,0.1,1,3.2072499025591674e-09,-0.047006162334686116,100,5.0,0.23849853922526043,0.09677088093644365,0.006872654194104877,0.0010437394900293618,0.04725960437632748,0.06026118355381149
T-L,AN,mc_learned_baseline,False,48,14,9968,3584,3584,0,0,2800,4984,19936,262144,0.7771875000000001,0.6677999999999998,0.7401332146414993,0.01952746775226366,0.00024081740891557232,public_state_tabular_independent_mc,0,0.4513851299022068,0.5716652000555769,True,accepted_return_check_disabled,0.1,1,2.3857116857879482e-09,-0.04855034395551325,100,5.0,0.21160337821136221,0.08597789289576271,0.007967957078513499,0.0004807057544552308,0.0494938626972451,0.05721025039346086
T-L,AN,mc_learned_baseline,False,48,15,10680,3840,3840,0,0,3000,5340,21360,262144,0.7258593750000001,0.7299,0.7584988048334482,0.018365590191948944,0.00023743907061127745,public_state_tabular_independent_mc,0,0.4403326162136707,0.6135076000355184,True,accepted_return_check_disabled,0.1,1,3.731411523331762e-09,-0.05259712102882606,100,5.0,0.23229844324365653,0.09523130205296276,0.02005865342869151,0.002145847620200008,0.049211644443051095,0.05174584416225858
T-L,AN,mc_learned_baseline,False,48,16,11392,4096,4096,0,0,3200,5696,22784,262144,0.7125,0.8163000000000001,0.775346447828755,0.016847642995306722,0.00024346717565495058,public_state_tabular_independent_mc,0,0.4293858079355703,0.6531318000052124,True,accepted_return_check_disabled,0.1,1,3.9875818352783165e-09,-0.05743383349490232,100,5.0,0.23163957157645537,0.08675002944024138,0.010128551996174018,0.007648748702775559,0.049809706035774774,0.042534330319743775
T-L,AN,mc_learned_baseline,False,48,17,12104,4352,4352,0,0,3400,6052,24208,262144,0.8228906250000001,0.7698,0.7911808823632435,0.015834434534488517,0.0001988506635011488,public_state_tabular_independent_mc,0,0.41933903872911826,0.6983555000042543,True,accepted_return_check_disabled,0.1,1,3.0251573300608505e-09,-0.038487909386603056,100,5.0,0.17235154240184086,0.06972268976126224,-0.01074129740805252,0.0007249444474847272,0.04109766629721867,0.0459861736678456
T-L,AN,mc_learned_baseline,False,48,18,12816,4608,4608,0,0,3600,6408,25632,262144,0.8428125000000002,0.7070999999999998,0.8025415987565837,0.011360716393340242,0.00011178204324766182,public_state_tabular_independent_mc,0,0.41170132971646056,0.736914400011301,True,accepted_return_check_disabled,0.1,1,1.2727359486497667e-09,-0.022664654862554406,100,5.0,0.11332932477996416,0.04775524331957302,0.0008426807864755359,0.004117813483492094,0.022836359620352915,0.03897510080184318
T-L,AN,mc_learned_baseline,False,48,19,13528,4864,4864,0,0,3800,6764,27056,262144,0.779296875,0.7940999999999999,0.8180251412511719,0.015483542494588165,0.00022226741637076128,public_state_tabular_independent_mc,0,0.40057813196079844,0.7769066999899223,True,accepted_return_check_disabled,0.1,1,1.911336435429878e-09,-0.04582583320746989,100,5.0,0.17567591951914904,0.07407246246122795,-0.0006620035927416001,0.0008206618418994723,0.045794508685345695,0.039621026286833824
T-L,AN,mc_learned_baseline,False,48,20,14240,5120,5120,0,0,4000,7120,28480,262144,0.8343750000000001,0.9006000000000001,0.8288703730769326,0.010845231825760693,0.00011764371270494061,public_state_tabular_independent_mc,0,0.3926611563706891,0.8217451999662444,True,accepted_return_check_disabled,0.1,1,2.306478572978997e-09,-0.024439037994127173,100,5.0,0.1268720186848286,0.0500125310025648,0.002890813552140492,0.0016329768585718171,0.024134376476665272,0.03518435825069488
T-L,AN,mc_learned_baseline,False,48,21,14952,5376,5376,0,0,4200,7476,29904,262144,0.8622656250000003,0.8543999999999998,0.8390629725119909,0.010192599435058347,0.00011262645171710521,public_state_tabular_independent_mc,0,0.3851671090690666,0.8662993999896571,True,accepted_return_check_disabled,0.1,1,8.384468216964961e-10,-0.022366044572083355,100,5.0,0.11738243644716277,0.045587184992078436,0.0018369061534706521,0.0014156055702166895,0.023215951246048038,0.03275600826056564
T-L,AN,mc_learned_baseline,False,48,22,15664,5632,5632,0,0,4400,7832,31328,262144,0.7889062500000001,0.8097000000000001,0.855181494838247,0.0161185223262561,0.00031425911802386293,public_state_tabular_independent_mc,0,0.3727896206262913,0.9035292000044137,True,accepted_return_check_disabled,0.1,1,2.75300332932835e-09,-0.06660781094663742,100,5.0,0.184049244749021,0.07611564549478639,-0.00110655614779831,0.006490106466205299,0.06647883027423962,0.025089576874345376
T-L,AN,mc_learned_baseline,False,48,23,16376,5888,5888,0,0,4600,8188,32752,262144,0.809296875,0.8460000000000002,0.8689463676004302,0.013764872762183189,0.0002636567501143012,public_state_tabular_independent_mc,0,0.3613854450979321,0.9489983000094071,True,accepted_return_check_disabled,0.1,1,3.257500571672777e-09,-0.056546433118864335,100,5.0,0.15607640167600004,0.06252651336432047,0.009444041836059514,0.0050241959686737805,0.05575611729766207,0.02235651558446812
T-L,AN,mc_learned_baseline,False,48,24,17088,6144,6144,0,0,4800,8544,34176,262144,0.8850000000000002,0.8421,0.8763365636255456,0.00739019602511537,9.046449177549526e-05,public_state_tabular_independent_mc,0,0.35500409137999256,1.0323034999892116,True,accepted_return_check_disabled,0.1,1,1.3633731024738912e-09,-0.018611001437605818,100,5.0,0.08624308435822618,0.035830221388729516,-0.04848768930788894,0.0017330225017728248,0.01861031764540015,0.022047383444632487
T-L,AN,mc_learned_baseline,False,48,25,17800,6400,6400,0,0,5000,8900,35600,262144,0.8634375000000001,0.9336,0.8855466794677721,0.00921011584222653,0.00016738209699887203,public_state_tabular_independent_mc,0,0.3468438422586496,1.0872961999848485,True,accepted_return_check_disabled,0.1,1,2.7909720086699767e-09,-0.03661674965489569,100,5.0,0.09959718553461558,0.03687567057267646,0.001444591356149716,0.004939379929205797,0.03510433865565308,0.016886219149286
T-L,AN,mc_learned_baseline,False,48,26,18512,6656,6656,0,0,5200,9256,37024,262144,0.8803125000000002,0.8364,0.892895198226528,0.007348518758755862,0.00011243060957834259,public_state_tabular_independent_mc,0,0.3397622335633697,1.1249372999882326,True,accepted_return_check_disabled,0.1,1,1.2882023349696809e-09,-0.023906005303756327,100,5.0,0.08317965460883248,0.030246378258714825,0.015597974590793817,0.0017906726032102397,0.023523235036604626,0.017527051865993744
T-L,AN,mc_learned_baseline,False,48,27,19224,6912,6912,0,0,5400,9612,38448,262144,0.9060937500000001,0.9273,0.9006651021627918,0.007769903936263867,0.0001346698451372832,public_state_tabular_independent_mc,0,0.3320866746216629,1.1611014000372961,True,accepted_return_check_disabled,0.1,1,1.6835655007541394e-10,-0.02616752699893718,100,5.0,0.08133724746468796,0.03135327523758295,0.0027048588819804653,0.0019131489075781363,0.028229522859575223,0.015483252690061927
T-L,AN,mc_learned_baseline,False,48,28,19936,7168,7168,0,0,5600,9968,39872,262144,0.9288281250000002,0.9429000000000001,0.9052545764876057,0.004589474324813825,6.131710142564314e-05,public_state_tabular_independent_mc,0,0.32709255173232654,1.1972174999536946,True,accepted_return_check_disabled,0.1,1,1.1144421346970753e-09,-0.011380108225423236,100,5.0,0.04754809713919721,0.01615190160042541,0.010788344074610157,0.0026716730484619452,0.012570892985244076,0.012662431929981078
T-L,AN,mc_learned_baseline,False,48,29,20648,7424,7424,0,0,5800,10324,41296,262144,0.8847656250000001,0.8985,0.9115485429317773,0.006293966444171684,0.00010693688471234588,public_state_tabular_independent_mc,0,0.3204611904100912,1.2358891000039876,True,accepted_return_check_disabled,0.1,1,1.004036320329473e-09,-0.022280531386758617,100,5.0,0.06897422688802085,0.026531454335412687,0.004783136439099334,0.0012696936767762393,0.022429297112277757,0.012927031955702342
