experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-A,AN,mc_raw,table,2048,10,AN,False,forward_kl_exact,1.1759372477912978e-05,9.770138128756306e-06,10,6.8919466212335215e-06,1.8404096270112703e-05,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,10,AN,False,old_new_kl,0.00042292087713199087,0.00019915706149991675,10,0.0003145375160044915,0.0005474039464772285,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,10,AN,False,direction_realization_residual,0.002410546658023956,0.002046429948752064,10,0.001394253222453756,0.0037954150911158795,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,10,AN,False,seconds,0.0009178200736641884,0.00010498708194677595,10,0.0008710370201151818,0.00098699192982167,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,10,AN,False,learned_q_0,0.047796754880908406,0.05223633653812122,10,0.01711915834341735,0.07872300189482168,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,10,AN,False,learned_q_1,0.36525904506792617,0.04451961442341994,10,0.3389202291671817,0.3925180948558074,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,10,AN,False,candidate_p_0,0.30335991910782134,0.002515986114075968,10,0.30158380836117316,0.30458210560821564,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,10,AN,False,candidate_p_1,0.7162326003457278,0.004019480581573134,10,0.7138645436968225,0.7186959489745882,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,10,,False,source_steps_total,2548.0,0.0,10,2548.0,2548.0,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,10,,False,actual_return_gain,0.1674326967430129,0.026336398169142766,10,0.15077585514529035,0.17576137318832732,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,10,,False,realized_path_derivative,0.11808766017805124,0.007645213865283124,10,0.11325236027572601,0.12050535513680163,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,10,,False,old_new_kl,0.009298452552318075,0.00011330666999306022,10,0.009226763001195135,0.009334327166931595,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,10,,False,candidate_p_0,0.35416870265555417,0.039681876967859596,10,0.3290714347455515,0.3667175956055304,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,10,,False,candidate_p_1,0.7587679780739081,7.773559843415708e-10,10,0.7587679775973523,0.7587679785272378,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,source_steps_total,2548.0,0.0,10,2548.0,2548.0,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,eta,0.1,0.0,10,0.1,0.1,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,ideal_return_gain,0.028095038930868323,0.003819092414698901,10,0.025932588426519534,0.030450052617563,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,actual_return_gain,0.028104703934187607,0.003793563569885694,10,0.02596348430170198,0.030434935512751025,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,learned_direction_derivative,0.2689447348620944,0.03406325569789694,10,0.24942490920208993,0.29005128375369194,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,projected_direction_derivative,0.2689447348620944,0.03406325569789694,10,0.24942490920208993,0.29005128375369194,training_seed_or_data_batch,False
