condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
pg,40,222822,222208,217,1.9608462741621528
pg,40,235929,235520,230,1.9609974944987068
pg,40,249036,248832,243,1.961127625205241
pg,40,262144,262144,256,1.961242732645375
pg,41,0,0,0,0.38376000000000016
pg,41,13107,12288,12,1.1386913896812294
pg,41,26214,25600,25,1.7788713633515219
pg,41,39321,38912,38,1.9244542333102026
pg,41,52428,52224,51,1.947769615501252
pg,41,65536,65536,64,1.9535813820015246
pg,41,78643,77824,76,1.9557799690615665
pg,41,91750,91136,89,1.9571214139371234
pg,41,104857,104448,102,1.958013078783774
pg,41,117964,117760,115,1.9586798356163906
pg,41,131072,131072,128,1.9592053830037788
pg,41,144179,143360,140,1.9596030188760023
pg,41,157286,156672,153,1.9599566463089473
pg,41,170393,169984,166,1.9602510678438279
pg,41,183500,183296,179,1.9605026906421572
pg,41,196608,196608,192,1.9607161449904333
pg,41,209715,208896,204,1.9608843519287804
pg,41,222822,222208,217,1.9610428819529155
pg,41,235929,235520,230,1.9611795824655907
pg,41,249036,248832,243,1.9612987128915322
pg,41,262144,262144,256,1.961403473004614
pg,42,0,0,0,0.38375999999999993
pg,42,13107,12288,12,1.1746306785052378
pg,42,26214,25600,25,1.7966794833470399
pg,42,39321,38912,38,1.9274806340072177
pg,42,52428,52224,51,1.9485889882483736
pg,42,65536,65536,64,1.9539917395867648
pg,42,78643,77824,76,1.9560582394116606
pg,42,91750,91136,89,1.957333247307541
pg,42,104857,104448,102,1.9582163766954321
pg,42,117964,117760,115,1.9588820887496716
pg,42,131072,131072,128,1.959395718698755
pg,42,144179,143360,140,1.9597762644605592
pg,42,157286,156672,153,1.9601118833406104
pg,42,170393,169984,166,1.9603913125224517
pg,42,183500,183296,179,1.960628990357773
pg,42,196608,196608,192,1.9608298984661887
pg,42,209715,208896,204,1.9609911950634291
pg,42,222822,222208,217,1.961143924877314
pg,42,235929,235520,230,1.9612780467352153
pg,42,249036,248832,243,1.9613949955726595
pg,42,262144,262144,256,1.9614968652740956
