condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J,J_se,coverage_se,distance_se
no_checks,40,0,0,100,1.0555582216811474,0.0,0.0,0.0484,0.0242,-96.11731785503582,1.9148972312599184,0.0,0.030424650697575727
no_checks,40,500000,499200,100,0.3690572266078968,0.0475,0.0,0.12530000000000002,0.06265000000000001,-52.79564402428508,0.8874927568964697,0.011063978315308478,0.011190773248817048
no_checks,40,1000000,1000000,100,0.28857245459335806,0.1225,0.0,0.1508,0.0754,-47.60560523978455,1.0352444349486747,0.01685312368013057,0.010267092050473143
no_checks,40,1500000,1499200,100,0.28744120420972874,0.11,0.0,0.1612,0.0806,-45.41785192274048,1.015146067502422,0.014788065075826137,0.010419508519654534
no_checks,40,2000000,2000000,100,0.2598570055948077,0.1325,0.0,0.14179999999999998,0.07089999999999999,-44.31829439587363,1.159119768612992,0.018954690792263085,0.011060370827841774
no_checks,40,2500000,2499200,100,0.25857081208685434,0.14,0.0,0.147,0.0735,-43.967275983798224,1.1906104278675753,0.016017667013821225,0.011052579630108096
no_checks,40,3000000,3000000,100,0.24263199771683056,0.1425,0.0,0.1681,0.08405,-42.468042546653514,1.0384246917321325,0.017499999999999998,0.009339033645128211
no_checks,40,3500000,3499200,100,0.24824105016331185,0.17,0.01,0.14550000000000002,0.07275000000000001,-42.6774872981444,1.0878970383457476,0.02068278940998476,0.010236214176607658
no_checks,40,4000000,4000000,100,0.24428410789569446,0.1375,0.0,0.16549999999999998,0.08274999999999999,-42.51271308254714,1.0120254144531682,0.016428218516819273,0.009464165495004425
no_checks,40,4500000,4499200,100,0.2422196569945089,0.185,0.0,0.15510000000000004,0.07755000000000002,-42.015178794470145,1.2349363282443533,0.01933881844865138,0.009924749123538421
no_checks,40,5000000,5000000,100,0.22658304566324958,0.1975,0.0,0.1471,0.07355,-41.17122216066684,1.0951217938626212,0.019557930009656603,0.008777554101857809
no_checks,40,5500000,5499200,100,0.24634708174073938,0.17,0.0,0.15839999999999999,0.07919999999999999,-41.7755426990044,1.2847855987041188,0.01974586006987262,0.011131513180196312
no_checks,40,6000000,6000000,100,0.23059107257261924,0.1575,0.0,0.16270000000000004,0.08135000000000002,-40.32971533433694,1.3002999274574525,0.019021187017522215,0.01093830972805601
no_checks,40,6500000,6499200,100,0.23190783496947062,0.1925,0.0,0.16310000000000002,0.08155000000000001,-40.80450882427238,1.227423899785893,0.01973786547054502,0.012189712383649043
no_checks,40,7000000,7000000,100,0.2286849465339738,0.2025,0.01,0.16630000000000003,0.08315000000000002,-40.260874246179675,1.2853635137741537,0.02181620887544327,0.010685595880193185
no_checks,40,7500000,7499200,100,0.21384405566855094,0.21,0.0,0.17489999999999997,0.08744999999999999,-39.941600260997134,1.276536529574115,0.020633893858348108,0.009937161266392568
no_checks,40,8000000,8000000,100,0.22944938879706311,0.2375,0.01,0.15149999999999997,0.07574999999999998,-40.259412845556405,1.4631531297249283,0.02143082599972066,0.012802043558863935
no_checks,40,8500000,8499200,100,0.21476508979874492,0.2525,0.02,0.1581,0.07905,-39.6780402053785,1.376046354134393,0.023702437755546486,0.012202276320583929
no_checks,40,9000000,9000000,100,0.22980943844472748,0.225,0.02,0.15669999999999998,0.07834999999999999,-39.65728750715277,1.2553144262997142,0.02396862427205512,0.010944272462608071
no_checks,40,9500000,9499200,100,0.20872392685861368,0.23,0.0,0.1501,0.07505,-38.5326732891525,1.3057245985811203,0.022099408100305275,0.009877396524952587
no_checks,40,10000000,10000000,100,0.208979570794655,0.2825,0.02,0.1524,0.0762,-40.43180071627534,1.3902543017604523,0.025784411154530146,0.012329273847987621
