experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-E,AN,mc_raw,32,False,exact_score,0.0017315405843279098,0.07087894998605478,20,-0.028469603138576948,0.031489074297547874,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,validation_score,-0.005811133673751309,0.08459332014345633,20,-0.04129016839233675,0.027266781162232207,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,validation_score_variance,1.0568238458779795,1.0039557627387494,20,0.6532930989747803,1.5068871658423926,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,validation_gradient_trace_variance,4.377306703819204,0.5817106316982161,20,4.136509167366358,4.640485848873376,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,fixed_oracle_q_score_variance,0.4050907372226358,0.05484456740289366,20,0.38217442588059475,0.4280005640706608,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,fixed_oracle_q_gradient_trace_variance,4.347070418869183,0.5456023281521774,20,4.117857955950275,4.591044564897178,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,curvature_min,0.8400000000000001,1.1390647892519134e-16,20,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,curvature_max,0.8400000000000001,0.0,20,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,optimization_seconds,0.005263095046393574,0.00030553563696971266,20,0.005145309176878072,0.005409047820139676,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,direction_loss,-0.15714823682127793,0.12199699942335328,20,-0.210599833327936,-0.10606280814344886,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,direction_steps,100.0,0.0,20,100.0,100.0,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,q_bound,5.0,0.0,20,5.0,5.0,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,q_coefficient_0,0.16184827478767766,0.31791117053584295,20,0.023236487353917673,0.2944675496373465,training_seed_or_data_batch,False
P-E,AN,mc_raw,32,False,q_coefficient_1,0.4201783399511534,0.2384559228736152,20,0.31036816819630375,0.5151219333292392,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,source_steps_total,532.0,0.0,20,532.0,532.0,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,source_steps_training,32.0,0.0,20,32.0,32.0,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,source_steps_validation,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,direction_error,0.06568326895319002,0.068727679921646,20,0.0373486762128535,0.09470547366981856,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,direction_norm,0.16550039596305274,0.12014396411828882,20,0.11516814517219252,0.2183684867740745,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,exact_score,0.0008447310468099143,0.06872767992164598,20,-0.02817747366981865,0.02917932378714638,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,validation_score,-0.005493334677781456,0.07836145619804472,20,-0.03926991329233019,0.026097595687704405,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,validation_score_variance,1.084058844937411,0.9596940826221888,20,0.6948184975679802,1.5116600015256456,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,validation_gradient_trace_variance,4.785118858490659,0.5932981032847872,20,4.5335763437243415,5.0410343130519655,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,fixed_oracle_q_score_variance,0.42844914418879465,0.05874765070063967,20,0.4038881740169211,0.45310458089325933,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,fixed_oracle_q_gradient_trace_variance,4.675192220119044,0.5899435452481282,20,4.430561001342416,4.9333038275276415,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,curvature_min,0.36000000000000004,5.695323946259567e-17,20,0.36000000000000004,0.36000000000000004,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,curvature_max,1.9599999999999997,0.0,20,1.9599999999999997,1.9599999999999997,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,optimization_seconds,0.004937579948455095,0.00017094841376163948,20,0.004869759615394286,0.0050123662885744125,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,direction_loss,-0.16081932700130133,0.12124561629073857,20,-0.21325529867013704,-0.10991960093292173,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,direction_steps,100.0,0.0,20,100.0,100.0,training_seed_or_data_batch,False
