seed,method,sample_episodes,requested_kl,dataset_sha256,q_0,q_1,reachable,eta,actual_kl,candidate_p_0,candidate_p_1,return_gain,normalized_derivative
1000,AN,2048,0.0001,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,0.025098154207281936,0.3814397540873379,True,0.05228892966457894,0.00010000000000000121,0.30055147853820724,0.7083095365496257,0.014898454215439949,0.06971440777042537
1000,AN,2048,0.0003,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,0.025098154207281936,0.3814397540873379,True,0.09074820236073323,0.0003000000000000278,0.3009574678389044,0.7143340939701354,0.026244384324418446,0.06971440777042537
1000,AN,2048,0.001,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,0.025098154207281936,0.3814397540873379,True,0.1663467858125444,0.0010000000000000159,0.3017564218759993,0.7259559373414652,0.04942769185238527,0.06971440777042537
1000,SA,2048,0.0001,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,0.02528541146045822,0.3759454320384219,True,0.05304966156309859,0.00010000000000000568,0.3005636827661981,0.7083089999753465,0.014900630222551448,0.06872129308409407
1000,SA,2048,0.0003,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,0.02528541146045822,0.3759454320384219,True,0.09206842498910663,0.0003000000000000024,0.3009786645232574,0.7143331682744385,0.026249133190118845,0.06872129308409407
1000,SA,2048,0.001,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,0.02528541146045822,0.3759454320384219,True,0.16876668728608282,0.00100000000000001,0.30179533437373657,0.7259542614713079,0.049439853642603726,0.06872129308409407
1000,DA,2048,0.0001,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,1.379764191839305,1.09353055910852,True,0.012684287798168721,0.00010000000000003097,0.30740161652423625,0.7057931621525929,0.012094560130617493,0.22622623075213005
1000,DA,2048,0.0003,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,1.379764191839305,1.09353055910852,True,0.021965426489825288,0.0003000000000000152,0.3128811988673531,0.7099904345243097,0.02172465813586605,0.22622623075213005
1000,DA,2048,0.001,e81afc630eeb7b22822342c9089cca27df0635ad66839c19bf4cc1b03d781509,1.379764191839305,1.09353055910852,True,0.04008889706606287,0.0010000000000000148,0.32373244291796355,0.7180834592454274,0.0424262833162285,0.22622623075213005
1001,AN,2048,0.0001,26ce3980071b40e3e715bbd00fa28a3732d226eff3a9fd18ae2c0888efc92723,0.03203113943622061,0.39824811905859925,True,0.05004615025533709,0.00010000000000002932,0.3006737062040007,0.708303631158768,0.01491930535538416,0.07290388649302643
1001,AN,2048,0.0003,26ce3980071b40e3e715bbd00fa28a3732d226eff3a9fd18ae2c0888efc92723,0.03203113943622061,0.39824811905859925,True,0.08685542176047802,0.0003000000000000147,0.3011697715529313,0.7143239056530832,0.026290295691451138,0.07290388649302643
1001,AN,2048,0.001,26ce3980071b40e3e715bbd00fa28a3732d226eff3a9fd18ae2c0888efc92723,0.03203113943622061,0.39824811905859925,True,0.15920958551947864,0.0010000000000000135,0.30214621845434403,0.7259374912316653,0.04954643725250463,0.07290388649302643
1001,SA,2048,0.0001,26ce3980071b40e3e715bbd00fa28a3732d226eff3a9fd18ae2c0888efc92723,0.033356456380172095,0.4019992800733024,True,0.04957225138366524,0.00010000000000001548,0.3006949519722319,0.7083024841281199,0.014922715959986232,0.0736112155371242
1001,SA,2048,0.0003,26ce3980071b40e3e715bbd00fa28a3732d226eff3a9fd18ae2c0888efc92723,0.033356456380172095,0.4019992800733024,True,0.08603288889519713,0.00030000000000002757,0.3012066778024322,0.714321926645408,0.02629790158450407,0.0736112155371242
