experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
T-L,DA,mc_learned_baseline,False,unused_budget,1172.0,899.2500579186341,10,637.6,1715.2,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,updates,92.7,1.5670212364724212,10,91.7,93.5,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,accepted_updates,92.7,1.5670212364724212,10,91.7,93.5,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,direction_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,final_source_return_diagnostic,1.0493187828826769,0.0002128286634069337,10,1.0491939805546375,1.0494421660032354,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,best_source_empirical_monitor_return,1.0500000000000003,2.340555645717801e-16,10,1.0500000000000003,1.0500000000000003,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,seconds,1.2467015400179662,0.05934556918894592,10,1.2125682107845206,1.2807052705035313,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,source_report_only_steps,1000.0,0.0,10,1000.0,1000.0,training_seed_or_data_batch,False
T-L,DA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,budget,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,direction_rejections,0.9,5.425249610233001,10,-2.4,4.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_training,25.6,890.4973891034157,10,-537.6,537.6,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,unused_budget,440.8,1600.4374957422667,10,-614.4,1277.6,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_critic,25.6,890.4973891034157,10,-537.6,537.6,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,updates,0.1,3.4785054261852175,10,-2.1,2.1,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_direction_check,102.4,3561.9895564136627,10,-2150.4,2150.4,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_monitor,20.0,695.7010852370435,10,-420.0,420.0,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,final_source_return_diagnostic,-0.0026004913382772442,0.0032011996353941384,10,-0.004364609344505143,-0.0005955899869881986,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_total,-440.8,1600.4374957422667,10,-1277.6,614.4,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,source_steps_return_check,-614.4,6334.469848903433,10,-4096.0,3481.6,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,seconds,-0.0173597700195387,0.11098818247052065,10,-0.08446607576595852,0.048245065497758324,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,accepted_updates,-0.8,2.2997584414213788,10,-2.2,0.5,paired_training_seed_or_data_batch,False
T-L,AN - SA,mc_learned_baseline,False,best_source_empirical_monitor_return,0.0020999999999999795,0.008491171886141478,10,-0.0021000000000000246,0.007199999999999996,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,budget,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,direction_rejections,14.0,2.1081851067789197,10,12.7,15.2,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_training,-4608.0,435.1163318265843,10,-4864.64,-4377.6,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,unused_budget,1244.8,1015.8579078241646,10,639.2,1828.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,target_report_only_steps,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,return_rejections,0.0,0.0,10,0.0,0.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_critic,-4608.0,435.1163318265843,10,-4864.64,-4377.6,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,updates,-18.0,1.699673171197595,10,-19.0025,-17.1,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_direction_check,76492.8,1369.5933540856408,10,75776.0,77312.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_monitor,-3600.0,339.93463423951897,10,-3800.5,-3420.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,final_source_return_diagnostic,-0.08733488161093482,0.005318449831724895,10,-0.09062487049447371,-0.08422997424924787,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_total,-1244.8,1015.8579078241646,10,-1828.0,-639.2,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,source_steps_return_check,-64921.6,2739.1867081712817,10,-66360.31999999999,-63283.2,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,seconds,2.1336403699708173,0.09761780544621164,10,2.076283421223343,2.1899090719659577,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,accepted_updates,-32.1,1.9119507199599979,10,-33.3,-31.0,paired_training_seed_or_data_batch,False
T-L,AN - DA,mc_learned_baseline,False,best_source_empirical_monitor_return,-0.0624,0.01084435336938078,10,-0.06869999999999998,-0.055799999999999975,paired_training_seed_or_data_batch,False
