condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
ours,40,0,0,0,0.38376000000000016
ours,40,6553,4096,1,0.6298393222705263
ours,40,13107,12288,3,1.2196327188003693
ours,40,19660,16384,4,1.4756293001891483
ours,40,26214,24576,6,1.8071403576419065
ours,40,32768,32768,8,1.9528183768111598
ours,40,39321,38912,9,1.9626527136645362
ours,40,45875,45056,10,1.9626655775967359
ours,40,52428,51200,11,1.9626655966446385
ours,40,58982,57344,12,1.9626655966446385
ours,40,65536,63488,13,1.9626655966446385
ours,40,72089,69632,14,1.9626655981909007
ours,40,78643,77824,16,1.962665599318218
ours,40,85196,83968,17,1.9626655994284357
ours,40,91750,88064,18,1.9626655995506688
ours,40,98304,96256,20,1.9626655996809683
ours,40,104857,100352,21,1.9626655997220666
ours,40,111411,110592,23,1.9626655997535436
ours,40,117964,114688,24,1.9626655997781346
ours,40,124518,118784,25,1.9626655997988147
ours,40,131072,129024,27,1.9626655998154883
ours,41,0,0,0,0.38376000000000016
ours,41,6553,4096,1,0.620483375132551
ours,41,13107,12288,3,1.1926604377346899
ours,41,19660,16384,4,1.4391922645427513
ours,41,26214,24576,6,1.804653999111622
ours,41,32768,32768,8,1.9554645667316857
ours,41,39321,36864,9,1.9626607161012406
ours,41,45875,43008,10,1.9626607161012406
ours,41,52428,47104,11,1.9626655894956013
ours,41,58982,53248,12,1.9626655894956013
ours,41,65536,65536,14,1.9626655894956013
ours,41,72089,71680,15,1.962665597046077
ours,41,78643,77824,16,1.962665597046077
ours,41,85196,81920,17,1.962665598762462
ours,41,91750,90112,19,1.9626655994125926
ours,41,98304,96256,20,1.9626655994125926
ours,41,104857,104448,22,1.9626655996175686
ours,41,111411,108544,23,1.9626655996730804
ours,41,117964,114688,24,1.9626655996730804
ours,41,124518,120832,25,1.9626655996993951
ours,41,131072,131072,27,1.9626655997343045
ours,42,0,0,0,0.38375999999999993
ours,42,6553,4096,1,0.6109195264240047
ours,42,13107,12288,3,1.2075688604513195
ours,42,19660,16384,4,1.4622810156630204
ours,42,26214,24576,6,1.8130419294508144
ours,42,32768,32768,8,1.954170364920068
ours,42,39321,36864,9,1.9626605015537177
ours,42,45875,40960,10,1.962665591308761
ours,42,52428,51200,12,1.9626655987648374
ours,42,58982,55296,13,1.9626655992068256
ours,42,65536,65536,15,1.9626655994906888
ours,42,72089,71680,16,1.9626655995478866
ours,42,78643,75776,17,1.9626655996266915
ours,42,85196,81920,18,1.9626655996266915
ours,42,91750,88064,19,1.9626655996581972
ours,42,98304,94208,20,1.9626655996581972
ours,42,104857,104448,22,1.9626655997238873
ours,42,111411,110592,23,1.9626655997238873
ours,42,117964,114688,24,1.9626655997552984
ours,42,124518,118784,25,1.9626655997800946
ours,42,131072,131072,27,1.96266559980343
no_direction_check,40,0,0,0,0.38376000000000016
no_direction_check,40,6553,6144,2,0.9273281961732183
no_direction_check,40,13107,12288,4,1.4992969766066118
no_direction_check,40,19660,18432,6,1.8256795340199654
no_direction_check,40,26214,24576,8,1.958432170065693
no_direction_check,40,32768,30720,10,1.9626655931925774
no_direction_check,40,39321,38912,12,1.9626655987782002
no_direction_check,40,45875,44032,13,1.9626655990562356
no_direction_check,40,52428,49152,14,1.9626655990562356
no_direction_check,40,58982,54272,15,1.9626655990562356
no_direction_check,40,65536,64512,17,1.9626655993691893
no_direction_check,40,72089,69632,18,1.9626655994620203
no_direction_check,40,78643,77824,20,1.9626655995635347
no_direction_check,40,85196,83968,22,1.9626655996899136
no_direction_check,40,91750,89088,23,1.9626655996899136
no_direction_check,40,98304,97280,25,1.962665599744234
no_direction_check,40,104857,100352,26,1.9626655997722824
no_direction_check,40,111411,108544,28,1.9626655998039222
no_direction_check,40,117964,116736,30,1.9626655998209306
no_direction_check,40,124518,121856,31,1.9626655998284381
no_direction_check,40,131072,130048,33,1.9626655998284381
no_direction_check,41,0,0,0,0.38376000000000016
no_direction_check,41,6553,6144,2,0.9336590378163925
no_direction_check,41,13107,12288,4,1.4835887236369547
no_direction_check,41,19660,18432,6,1.8227006811102644
no_direction_check,41,26214,24576,8,1.9578968693362735
no_direction_check,41,32768,30720,10,1.962665593468252
no_direction_check,41,39321,36864,12,1.9626655990410689
no_direction_check,41,45875,45056,14,1.9626655994162565
no_direction_check,41,52428,50176,15,1.9626655994925382
no_direction_check,41,58982,58368,17,1.9626655996339244
no_direction_check,41,65536,64512,19,1.9626655997253448
no_direction_check,41,72089,67584,20,1.962665599756799
