experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,43,1,3784,256,256,1024,2048,200,1892,7568,65536,0.33867187499999996,0.3651,0.35114753196626175,0.03213353196626173,0.0004039880098585914,public_state_tabular_independent_mc,0,0.6165910240681081,0.03720320004504174,True,accepted_empirical,0.1,1,2.5993828362522916e-09,-0.08262701639452141,100,5.0,0.08813451066176647,empirical,0.030058593750000005,empirical,0.00828143709454022,0.4135412025087122,0.17384849581629686,0.0072863136355793,0.00017901287270024403,0.08220326440439141,0.08856854786624713
T-L,AN,mc_learned_baseline,False,43,2,7568,512,512,2048,4096,400,3784,15136,65536,0.43921875,0.42719999999999997,0.38151838025501633,0.03037084828875458,0.0003601176764770228,public_state_tabular_independent_mc,0,0.607750827558933,0.07711660000495613,True,accepted_empirical,0.1,1,5.217359106098387e-09,-0.07388397316524155,100,5.0,0.08987901603402854,empirical,0.02560546875,empirical,0.007582112347936906,0.41829543575107575,0.1678430425723455,-0.012483565659398232,0.0009979663637632026,0.07348734373183864,0.08840718528816786
T-L,AN,mc_learned_baseline,False,43,3,11352,768,768,3072,6144,600,5676,22704,65536,0.4167187499999999,0.5057999999999999,0.4134589449523888,0.03194056469737244,0.0004117675014986072,public_state_tabular_independent_mc,0,0.5986301787452224,0.11624330002814531,True,accepted_empirical,0.1,1,2.3923363380811054e-09,-0.08305227728258696,100,5.0,0.08554345911628143,empirical,0.0355078125,empirical,0.008731080146319677,0.3959749884592553,0.1835112497473516,-0.0022519822189686067,0.002935818732512515,0.08370538653424789,0.08662217697050414
T-L,AN,mc_learned_baseline,False,43,4,15136,1024,1024,4096,8192,800,7568,30272,65536,0.380390625,0.4604999999999999,0.4483790229792608,0.034920078026872026,0.00048204840920188077,public_state_tabular_independent_mc,0,0.586715417005516,0.15738360001705587,True,accepted_empirical,0.1,1,2.1675362544429825e-09,-0.09864899219220163,100,5.0,0.08959775972864185,empirical,0.042363281249999996,empirical,0.010652885953460828,0.4201859086916143,0.18314957877984983,-0.015025318477779992,0.0004679931247299824,0.09860963209234466,0.08863631509580655
T-L,AN,mc_learned_baseline,False,43,5,18920,1280,1280,5120,10240,1000,9460,37840,65536,0.474140625,0.4869,0.4811612072073498,0.032782184228088984,0.00043427292702424446,public_state_tabular_independent_mc,0,0.5750215114518024,0.20016290002968162,True,accepted_empirical,0.1,1,4.7211089884152906e-09,-0.08830961270289808,100,5.0,0.09660849991120338,empirical,0.01822265625,empirical,0.00767143500861334,0.3900395022931785,0.16191826543861926,0.014084330974403092,0.0008787695926886576,0.08797101531010762,0.08717738095076868
T-L,AN,mc_learned_baseline,False,43,6,22704,1536,1536,6144,12288,1200,11352,45408,65536,0.49992187499999996,0.42899999999999994,0.5102552519859483,0.02909404477859856,0.0003583686923064101,public_state_tabular_independent_mc,0,0.5632395817503837,0.24034080002456903,True,accepted_empirical,0.1,1,5.111651072197895e-09,-0.07382719939330926,100,5.0,0.07916462516711535,empirical,0.040546875,empirical,0.010921500191993184,0.3721171812287395,0.15308310375453463,0.05002312536778952,0.0035494547837565367,0.07324610937431786,0.08304988980143924
T-L,AN,mc_learned_baseline,False,43,7,26488,1792,1792,7168,14336,1400,13244,52976,65536,0.536015625,0.5325,0.5410837188023563,0.03082846681640794,0.0004032622222497875,public_state_tabular_independent_mc,0,0.5516816296230467,0.2810477000894025,True,accepted_empirical,0.1,1,2.241715616662104e-09,-0.08151338065972431,100,5.0,0.09678873151124832,empirical,0.031757812499999996,empirical,0.008466547802568634,0.3616441434547114,0.15207662492573734,0.007114392327030816,0.001144613910866068,0.08208152625898427,0.08376033797867463
T-L,AN,mc_learned_baseline,False,43,8,30272,2048,2048,8192,16384,1600,15136,60544,65536,0.5990625,0.5801999999999999,0.5693408243093843,0.02825710550702798,0.00034708226339246644,public_state_tabular_independent_mc,0,0.5399427846436355,0.32008530001621693,True,accepted_empirical,0.1,1,2.9628219521682903e-09,-0.07133351743478132,100,5.0,0.07633191320346988,empirical,0.011015625,empirical,0.006543462588977273,0.3359334166644371,0.14032735552201284,0.007319349403198228,0.0007519178366232872,0.0711325249117545,0.08156573265199728
T-L,AN,mc_learned_baseline,False,43,9,34056,2304,2304,9216,18432,1800,17028,68112,65536,0.56296875,0.45449999999999996,0.5974567988868381,0.02811597457745385,0.00035580400908910993,public_state_tabular_independent_mc,0,0.5279000454673075,0.3620604000752792,True,accepted_empirical,0.1,1,5.38761045450854e-09,-0.07207676755425439,100,5.0,0.07850007835408712,empirical,0.0287109375,empirical,0.008027496495548852,0.34112398712558734,0.14242548359823343,0.007819417078611779,0.0002596596769804383,0.07225074001292217,0.07925664894531922
T-L,AN,mc_learned_baseline,False,43,10,37840,2560,2560,10240,20480,2000,18920,75680,65536,0.559921875,0.7208999999999999,0.6263162917820226,0.028859492895184524,0.00040590498851898635,public_state_tabular_independent_mc,0,0.5144171957792202,0.4014683000277728,True,accepted_empirical,0.1,1,3.987136139006948e-09,-0.08590916304565188,100,5.0,0.0727992380400343,empirical,0.0350390625,empirical,0.008934531845249592,0.36476997501047503,0.14752952077761577,0.0033122633368197762,0.0029213052069870394,0.08347518408511123,0.0733884034427843
