experiment,method,direction_method,label,seed,actor_class,fit_steps,sample_episodes,source_steps_total,eta,ideal_return_gain,actual_return_gain,learned_direction_derivative,projected_direction_derivative,projection_reference,realized_path_derivative,forward_kl_training,forward_kl_validation,forward_kl_exact,old_new_kl,direction_realization_residual,seconds,learned_q_0,learned_q_1,candidate_p_0,candidate_p_1,direction_status
P-A,AN,AN,mc_raw,43,table,1,2048,2548,0.1,0.026029682736395388,0.012670567971176105,0.2518334550248369,0.2518334550248369,exact_population_Fisher_projection_diagnostic,0.1209573652085749,0.00013155162564904452,0.000130780958212525,0.0001317591485097927,9.440666566917986e-05,0.026768083825383263,0.0003951997496187687,0.002848272509224363,0.3466762708466892,0.30633622835537344,0.706261951345649,
P-A,DA,,mc_raw,43,table,1,2048,2548,,,0.012670894064644389,,,,0.012095966580495936,,,,9.442052682839801e-05,,,,,0.3063373804410244,0.706261957894944,not_applicable
P-A,AN,AN,mc_raw,43,table,10,2048,2548,0.1,0.026029682736395388,0.027320794531559334,0.2518334550248369,0.2518334550248369,exact_population_Fisher_projection_diagnostic,0.2607165455461711,9.71241270875164e-06,9.985964986172958e-06,9.63875142700458e-06,0.0003170397405820785,0.0019236780764626574,0.00086240004748106,0.002848272509224363,0.3466762708466892,0.3033016778243965,0.7145126275317072,
P-A,DA,,mc_raw,43,table,10,2048,2548,,,0.17575966431751888,,,,0.12050505380068674,,,,0.009334127795663538,,,,,0.3667158614772685,0.7587679778385149,not_applicable
P-A,AN,AN,mc_raw,43,table,100,2048,2548,0.1,0.026029682736395388,0.025939777170433553,0.2518334550248369,0.2518334550248369,exact_population_Fisher_projection_diagnostic,0.2509660322146038,4.494599792843381e-09,4.437737534612032e-09,4.509911479749567e-09,0.00029788408160463375,9.24664631068702e-07,0.006500400137156248,0.002848272509224363,0.3466762708466892,0.3001449392095407,0.7143040735895259,
P-A,DA,,mc_raw,43,table,100,2048,2548,,,2.8709487685719477,,,,0.9049031160509267,,,,0.5540467662852203,,,,,0.8712645237983627,0.9541024342271341,not_applicable
P-A,AN,AN,mc_raw,43,table,1000,2048,2548,0.1,0.026029682736395388,0.026029682736395388,0.2518334550248369,0.2518334550248369,exact_population_Fisher_projection_diagnostic,0.2518334550248365,0.0,0.0,0.0,0.00030004799288833953,2.94064080232665e-31,0.06343210022896528,0.002848272509224363,0.3466762708466892,0.30011964107296724,0.7143555831757242,
P-A,DA,,mc_raw,43,table,1000,2048,2548,,,4.003070355813398,,,,2.2940861557669026,,,,2.1718180990170746,,,,,0.9969699363198826,0.9983917913980646,not_applicable
P-A,AN,AN,mc_raw,43,shared_offset,1,2048,2548,0.1,0.026029682736395388,0.012670926224281398,0.2518334550248369,0.16865458566703737,exact_population_Fisher_projection_diagnostic,0.12095985963322918,0.00013156712396852625,0.00013079689582429365,0.0001317745285380534,9.44223433677881e-05,0.02677114125858377,0.0002414998598396778,0.002848272509224363,0.3466762708466892,0.3063375425932021,0.7062619513862931,
P-A,DA,,mc_raw,43,shared_offset,1,2048,2548,,,0.012670940081010884,,,,0.01209599861912852,,,,9.44225408696285e-05,,,,,0.306337549263077,0.7062619578980066,not_applicable
P-A,AN,AN,mc_raw,43,shared_offset,10,2048,2548,0.1,0.026029682736395388,0.009529703751420426,0.2518334550248369,0.16865458566703737,exact_population_Fisher_projection_diagnostic,0.09197036226826637,0.00015369921034619286,0.0001517548637906692,0.000154222777763691,5.459777061547228e-05,0.031428780182133555,0.000685499981045723,0.002848272509224363,0.3466762708466892,0.3048118662410254,0.7047681638285336,
P-A,DA,,mc_raw,43,shared_offset,10,2048,2548,,,0.1752374847819364,,,,0.12041609026071201,,,,0.009273023701874964,,,,,0.3661784087296541,0.7587701852267015,not_applicable
P-A,AN,AN,mc_raw,43,shared_offset,100,2048,2548,0.1,0.026029682736395388,0.017566821523514853,0.2518334550248369,0.16865458566703737,exact_population_Fisher_projection_diagnostic,0.16498606749357778,0.00011866459251126034,0.00011968341904230106,0.00011839024616378378,0.00017561149115445895,0.0238500711917086,0.006100399885326624,0.002848272509224363,0.3466762708466892,0.30866270982958155,0.7085220919070448,
P-A,DA,,mc_raw,43,shared_offset,100,2048,2548,,,2.4923690900216013,,,,0.8835896757257724,,,,0.43322638102960503,,,,,0.7931707239750057,0.9542939253606293,not_applicable
P-A,AN,AN,mc_raw,43,shared_offset,1000,2048,2548,0.1,0.026029682736395388,0.017650905586518217,0.2518334550248369,0.16865458566703737,exact_population_Fisher_projection_diagnostic,0.16573053244557448,0.00011866102506327912,0.00011971017720586527,0.0001183785127321842,0.00017719895528199304,0.023843731365594555,0.05576819973066449,0.002848272509224363,0.3466762708466892,0.3087021113719869,0.7085602218408854,
P-A,DA,,mc_raw,43,shared_offset,1000,2048,2548,,,3.9698530004567605,,,,2.257133115074058,,,,1.8839033766576225,,,,,0.9914288947598052,0.9984146227639351,not_applicable
