experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-EA,AN,mc_raw,table,2048,10,AN,False,learned_q_1,0.3692935409644048,0.021207155992480905,20,0.360408145998457,0.378259362282867,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,10,AN,False,candidate_p_0,0.30460358828750533,0.0012075837463638127,20,0.30410356214505024,0.3051212709313909,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,10,AN,False,candidate_p_1,0.7165985193525788,0.0019512707491699047,20,0.7157806807991711,0.7174229474475944,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,10,AN,False,source_direction_error,0.0006553232254683497,0.0004983222221628919,20,0.00046233315134882756,0.0008889429804766495,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,10,AN,False,source_exact_score,0.06587267677453158,0.000498322222162897,20,0.06563905701952329,0.0660656668486511,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,10,AN,False,additional_training_environment_steps,0.0,0.0,20,0.0,0.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,10,AN,False,replayed_source_episodes,2048.0,0.0,20,2048.0,2048.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,10,AN,False,report_validation_episodes,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,source_steps_total,2548.0,0.0,20,2548.0,2548.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,ideal_return_gain,0.02868671818466374,0.0017334661156398752,20,0.027960674022591375,0.029437710358190376,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,actual_return_gain,0.028718642231081355,0.0018141819254814202,20,0.027952491685796374,0.029510216415657282,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,learned_direction_derivative,0.27366246459616006,0.015679426830761744,20,0.2670607318741485,0.2804244984776837,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,projected_direction_derivative,0.27366246459616006,0.015679426830761744,20,0.2670607318741485,0.2804244984776837,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,realized_path_derivative,0.2739580182517989,0.016455455123690794,20,0.26701039319968106,0.2810680138617994,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,forward_kl_training,3.966410869697105e-09,2.185109595185556e-09,20,2.997345127823873e-09,4.852445713028413e-09,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,forward_kl_validation,3.959003754986822e-09,2.181201451713657e-09,20,2.9939484268988703e-09,4.854340184105793e-09,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,forward_kl_exact,3.961519620742997e-09,2.1774719602097854e-09,20,2.9979643082829366e-09,4.8448697596148864e-09,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,old_new_kl,0.0003522019387872869,4.149491469534491e-05,20,0.00033465936198250583,0.0003702609647724751,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,direction_realization_residual,8.155710918979134e-07,4.4970956833414273e-07,20,6.172234648620005e-07,9.98636682326892e-07,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,seconds,0.02035965499235317,0.0030396996075353813,20,0.019071572498214662,0.021702651752275415,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,learned_q_0,0.0699898847449624,0.03371911298896812,20,0.056316260990376996,0.08453654727028094,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,learned_q_1,0.3692935409644048,0.021207155992480905,20,0.360408145998457,0.378259362282867,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,candidate_p_0,0.30294779586811293,0.0014167048868156495,20,0.3023742757790958,0.3035592632665465,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,candidate_p_1,0.7152936517288933,0.0009092562029512533,20,0.7149114644917653,0.7156766065477501,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,source_direction_error,0.0006553232254683497,0.0004983222221628919,20,0.00046233315134882756,0.0008889429804766495,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,source_exact_score,0.06587267677453158,0.000498322222162897,20,0.06563905701952329,0.0660656668486511,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,additional_training_environment_steps,0.0,0.0,20,0.0,0.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,replayed_source_episodes,2048.0,0.0,20,2048.0,2048.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,100,AN,False,report_validation_episodes,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,source_steps_total,2548.0,0.0,20,2548.0,2548.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,ideal_return_gain,0.02868671818466374,0.0017334661156398752,20,0.027960674022591375,0.029437710358190376,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,actual_return_gain,0.02868671818466375,0.0017334661156398442,20,0.027960674022591392,0.02943771035819039,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,learned_direction_derivative,0.27366246459616006,0.015679426830761744,20,0.2670607318741485,0.2804244984776837,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,projected_direction_derivative,0.27366246459616006,0.015679426830761744,20,0.2670607318741485,0.2804244984776837,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,realized_path_derivative,0.2736624645961604,0.01567942683076181,20,0.26706073187414875,0.2804244984776838,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,forward_kl_training,1.6046209771597286e-17,2.885636878917518e-17,20,3.4312303519433217e-18,2.8641934015935505e-17,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,forward_kl_validation,1.6301830104940704e-17,2.8909950652608604e-17,20,3.5920821169242614e-18,2.891074586795695e-17,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,forward_kl_exact,1.6030930400189354e-17,2.888742911493009e-17,20,3.3701236596890834e-18,2.861598976256535e-17,training_seed_or_data_batch,False
